phi,O2_molecules,CPT_frac,N2_frac,O2_frac,C5H8(522),C5H8O(825),CPT(563),O2(6),N2,H2(2),H2O(5),CO(12),CO2(13),CH4(33),CH3CHO(41),C2H4(52),C3H6(131),C3H4O(165),C4H6(227),C4H8(253),C5H6(478),C6H6(970),HO2(8),OH(4)
3.0,0.12233,0.005,0.9825,0.0125,411.8301717942107,11.712214738560585,3703.467254802865,11323.879224289994,980943.1229971355,352.3310240167245,1119.4910959589915,540.6712594474127,15.210925874849298,93.98655788713062,6.2104880951690555,694.7142435276717,107.51123955204913,219.6318594659758,5.379728516840175,18.74253590460481,105.83484975160934,0.7294563406522906,0.9301205870303674,0.0002617516669575792
2.0,0.1835,0.005,0.97625,0.01875,560.2776955808503,23.75988805166197,2948.7650927656964,16353.877660336022,973619.4727313763,471.5454447413458,2199.468249626428,1222.6548448433832,61.99970587712783,216.46666049352535,12.698529704496455,987.1601003453936,143.37968360638715,282.35500578315487,10.75458540496788,28.176935909162466,153.4440484579999,2.1319876549409793,1.7520117761535692,0.0005644124638665907
1.75,0.20962,0.005,0.973571429,0.021428571,593.672983784876,27.56542461859102,2731.066527362229,18577.955804819834,970608.9230307222,496.6959716284303,2592.2503162124863,1479.6266727137133,87.87765974556373,256.5565232684445,14.58676340749459,1045.6861895121535,148.5050819855677,289.92450258746044,12.50113916126761,29.257241314013545,165.75262513407327,2.6270417884147426,2.0585127284675524,0.0006871155215510903
1.5,0.24456,0.005,0.97,0.025,624.3243918839362,31.64674596260509,2505.7563742770594,21614.81270197379,966688.8904942777,515.75537036321,3049.97961542328,1775.2930481972426,124.68041410399543,297.8166807380543,16.38868481870147,1089.71208774027,150.40388190379073,291.6137616639856,14.40031455648068,29.273427550849274,178.46299499048314,3.138963552855997,2.42953383250148,0.0008387461324876536
1.25,0.29347,0.005,0.965,0.03,652.2683162820671,36.00203510252632,2278.2212995391515,25994.418598102136,961342.9267727617,523.9202692464909,3576.815469923939,2100.4592051862805,176.7383756143719,336.2211539999288,17.87177184625899,1111.9194000048808,147.7412133503592,285.5029982369008,16.44694815510693,27.90488359453929,192.32864531630312,3.6081272265838424,2.88347942753927,0.0010247716477398046
1.1,0.33349,0.005,0.960909091,0.034090909,668.1944734897297,38.77693928883168,2143.7836986722236,29672.769630049483,957060.4693496538,520.5932726474384,3925.0915509949095,2299.8355674226377,217.40986137745261,355.16834088817,18.468318523929774,1110.9637629599006,143.28719307611195,277.1764944143606,17.756868272909923,26.313169902229703,201.91769866682148,3.8337198913682795,3.2049888771509916,0.0011544242678564352
1.0,0.36699,0.005,0.9575,0.0375,678.7853362166602,40.720070932680024,2056.221723193305,32791.564183087605,953537.6292763796,513.6625282987033,4169.277568839173,2429.0265939825,249.12557761709775,364.85744733783946,18.687023360667137,1102.9558558264157,138.8875383850375,269.36711113892426,18.676235185822552,24.914139150484804,209.258609123159,3.9472665608624804,3.4433149392923053,0.0012484311305489334
0.9,0.40744,0.005,0.953333333,0.041666667,689.630797707695,42.76306192126249,1970.996036783456,36657.1874896182,949273.891225462,502.08939081149094,4421.72465679614,2550.8943747665953,284.8041522952352,371.30345475876135,18.72635266830021,1088.1564283396433,133.19925148680386,259.56887105914905,19.645477207402347,23.24720303660912,217.73027001942256,4.02324262408635,3.703100297496193,0.0013482460543843406
0.75,0.48933,0.005,0.945,0.05,707.0332447344313,46.08322497576935,1848.669007290141,44521.996594545795,940839.3097630336,474.1853272468089,4812.714124522155,2709.938393583536,345.85483140741763,372.8558037798456,18.37693560479686,1051.2917825636619,121.96821111883202,240.81105963669222,21.23129912981562,20.272596771948834,233.5951923874638,4.051516669604577,4.138008772940604,0.001507952947415162
0.65,0.56436,0.005,0.937307692,0.057692308,719.8780017041862,48.524956713212106,1771.301503532888,51892.27399195342,933119.7893760289,447.2490460275862,5079.482571296431,2792.7203187301584,391.1093597728073,366.8600510291717,17.822658927946982,1015.3430721784006,112.49155185829039,225.40662805611584,22.41293300799592,18.008355239358412,247.2763020867792,4.00314899261596,4.46214794250625,0.0016203755517728625
