phi,O2_molecules,CPT_frac,N2_frac,O2_frac,C5H8(522),C5H8O(825),CPT(563),O2(6),N2,H2(2),H2O(5),CO(12),CO2(13),CH4(33),CH3CHO(41),C2H4(52),C3H6(131),C3H4O(165),C4H6(227),C4H8(253),C5H6(478),C6H6(970),HO2(8),OH(4)
3.0,0.12233,0.005,0.9825,0.0125,467.84652904086295,27.871891624782112,2147.290459922555,8119.047029768154,978203.5137056597,776.8651776478054,3685.2843977256466,2572.288851571593,243.1014960876706,274.99808920316985,42.397274794702874,1579.9112943346965,123.8520223549279,347.4266631782731,23.502902417500827,40.30372829499622,66.0738059489809,2.660131065062493,2.214334617115614,0.001147498077870174
2.0,0.1835,0.005,0.97625,0.01875,445.7636076205645,32.32516013556364,1477.3629785140106,11790.71381891115,970374.4756875818,911.1422037138401,5705.20551257525,4265.494823993126,545.9599515718335,347.424332006953,51.18134184522307,1743.8312687383404,106.2459877438655,309.8959053160915,23.407216656947753,30.78656960126374,60.944863937359045,3.0188382702968255,3.7736447796265646,0.002151884660624822
1.75,0.20962,0.005,0.973571429,0.021428571,444.97771115587204,33.703264312242126,1351.1326210450868,13811.54093406339,967453.5529051744,900.8827386362918,6234.159932885349,4604.678063971318,646.0348910848464,341.6815564834109,49.753989628571766,1714.8651132018995,95.67797158798547,289.2329465885346,22.711956331227825,26.3789574033612,60.10994585839221,2.807510486890406,4.284721597895621,0.0024604402477840757
1.5,0.24456,0.005,0.97,0.025,451.5752290449148,35.62420325157385,1250.994746031105,16812.28636297075,963796.8941324604,856.6664665821311,6710.183938175879,4804.699816694153,743.209580619832,321.61133025931116,46.18058872747719,1646.1715876211438,83.35952653963616,264.3991029815587,22.009873292360297,21.705887494312872,60.52584089282113,2.4974093803502178,4.819832360063084,0.002752983070433396
1.25,0.29347,0.005,0.965,0.03,468.039806912361,38.336061019383024,1178.5300792684693,21387.85085560386,958914.0351023487,774.4084606584032,7093.532510259251,4812.101723643624,822.07973517609,287.2411287531197,40.59620342654747,1533.678696971766,70.02803547139152,235.64563719533544,21.395379961754937,17.08274119665162,62.73519392539324,2.1248052217087996,5.352519670203039,0.0029989056998983273
1.1,0.33349,0.005,0.960909091,0.034090909,483.3468103734722,40.425446081096986,1147.9242983119952,25315.284207255296,955002.5975552507,707.5837316619028,7265.682699326355,4709.858721467002,852.391934390367,260.51775337967103,36.47512655535062,1443.4248755175431,61.81201989032823,216.5798769185024,21.047464042366897,14.42675963602548,65.10918868109954,1.8852275222220511,5.659115636586578,0.00311356861810747
1.0,0.36699,0.005,0.9575,0.0375,495.938465499669,42.03022007205245,1132.533130412557,28658.473355244336,951760.6409313024,656.6834530514084,7353.377976784981,4595.250554468455,862.5521430207452,240.56735489420205,33.49436148002968,1373.0439530439398,56.30632383707534,203.130079454805,20.79557176075458,12.723714388353669,67.17902342914743,1.72222815689594,5.854497833476132,0.003174212687173818
0.9,0.40744,0.005,0.953333333,0.041666667,510.47725310132154,43.81243771838254,1120.9078556989393,32795.80456374702,947799.7333830326,601.4544451924687,7418.297728736146,4443.301507972371,862.922087904539,219.18497281648956,30.380652476776827,1293.9503379317302,50.801538279325996,189.09920694987972,20.50168200631051,11.08121456744442,69.66429299276383,1.5579090600635521,6.040828884822048,0.003221681207447972
0.75,0.48933,0.005,0.945,0.05,535.985458746074,46.831232410428235,1110.0891739695692,41156.6878632369,939848.9604736795,512.1056341537075,7471.309024280623,4145.737162156963,841.6940345922042,184.9786490298847,25.560055031913926,1157.6798884663604,42.57732601048849,166.9850786299433,19.920628916704217,8.740594160973094,74.22010283913566,1.310502654562518,6.3001465006581245,0.0032679454341193576
0.65,0.56436,0.005,0.937307692,0.057692308,555.4984671655732,49.08331158266102,1107.0577472244643,48916.5997956474,932463.0228675574,449.3096412925438,7475.86491243619,3901.0897027386986,810.6081472919179,161.12057856452822,22.307699291079224,1054.0189401251992,37.13199707695204,151.54062309903588,19.39449403353332,7.269110991531282,77.84618468718732,1.145456513555979,6.45752591271527,0.003282247141525209
0.6,0.61116,0.005,0.9325,0.0625,566.0247595672319,50.284385267939086,1106.7640609980947,53773.14293754014,927824.952627982,417.2168788009375,7468.474741125373,3764.7714961379584,789.3182724771931,148.9650106739813,20.683893683588416,998.0171197622682,34.42356819438864,143.60678764121283,19.078134467861886,6.562230976523613,79.84760499243522,1.0629059545267896,6.531051956539815,0.003284452367472876
0.55,0.66697,0.005,0.926818182,0.068181818,577.0769121699063,51.53753357652245,1107.2874754870236,59513.88951285083,922324.5326045407,384.7720343389624,7454.348660957378,3618.952463261184,763.8730458932408,136.69395131041327,19.066845400742018,939.0628052631706,31.72550069428072,135.52814500247774,18.721506464712807,5.875797802165394,81.98139858583409,0.9802806110285238,6.600913194481112,0.003283338433141679
0.5,0.73349,0.005,0.92,0.075,588.6680011807289,52.844869390313185,1108.6428237725443,66401.01960888546,915700.4628132974,352.04884801516846,7433.181036143189,3463.3995857365726,734.0081285607226,124.33012454886294,17.45967111766038,877.0095027701575,29.038064771486916,127.29867716141874,18.321545430414744,5.210844169648601,84.2540413770274,0.8974962844719306,6.666952617743175,0.0032788561075015386
0.45,0.81519,0.005,0.911666667,0.083333333,600.8140829660246,54.20914553893948,1110.8586279267151,74813.11604359046,907575.2976633973,319.11041074130424,7404.564867649724,3297.7625958902886,699.4370808921898,111.89167113827848,15.864675670925875,811.6929604976272,26.36105450999283,118.9083230132906,17.87573019207262,4.56847836712393,86.6735880988221,0.8144234559002745,6.729033318405505,0.0032709173562087378
0.4,0.91709,0.005,0.90125,0.09375,613.5331728463104,55.63391814590585,1113.980433604815,85317.88277118026,897382.8084994515,286.00568193618864,7367.954638615354,3121.5354403805964,659.8462758156651,99.39042806640525,14.283096333855077,742.9267914812484,23.693554632136937,110.34107130759509,17.382165613556367,3.949833190097249,89.25014959208751,0.7308710035709662,6.7870620614386805,0.003259383208199937
0.35,1.0482,0.005,0.887857143,0.107142857,626.841513022912,57.1236582726369,1118.0743712747526,98807.1643715818,884233.0733548604,252.76441485016198,7322.61320886814,2934.003220692971,614.8892094024943,86.82956696278261,12.714714230496192,670.4961281848749,21.033586019808446,101.5720505251671,16.83954695541339,3.355980981960854,91.9963130081311,0.6465610113451501,6.841038154390774,0.003244051515481675
0.31,1.18334,0.005,0.874032258,0.120967742,637.9160254034862,58.36575335975241,1122.108693574503,112713.84209629546,870619.3361286807,226.07594872509767,7279.387617403339,2775.1775000004204,574.8024216220848,76.73259154283178,11.468059348741368,609.7446865842219,18.908688834183344,94.38637251758155,16.369437555264568,2.899352113122578,94.32536239517256,0.5783016424212915,6.88142153109445,0.0032288705382576047
