phi,O2_molecules,CPT_frac,N2_frac,O2_frac,C5H8(522),C5H8O(825)rs,CPT(563),O2(6),N2,H2(2),H2O(5),CO(12),CO2(13),CH4(33),CH3CHO(41),C2H4(52),C3H6(131),C3H4O(165),C4H6(227),C4H8(253),C5H6(478),C6H6(970),HO2(8),OH(4)
3.0,0.12233,0.005,0.9825,0.0125,39.52292268823551,2.7080093176418827,4911.50409116496,12449.906818697293,982411.089757839,30.2290967112428,46.68518192045189,13.492624983059128,0.033869385327310576,4.065942812330407,0.046909736685188046,45.790290747050385,6.474366302909075,17.3432936041569,0.07689895419522715,1.9955613671399381,1.2551254759964507,0.0004501531227880072,0.039429752504859326,9.929793016716516e-6
2.0,0.1835,0.005,0.97625,0.01875,386.2443994523362,66.32455385707915,2679.5508056367607,15827.16454345117,973097.7847483726,589.6202180890069,2566.5700321747586,1593.5961430090608,46.010597025137955,166.43052350579723,18.00656137415019,1423.3443238709442,147.00972474998426,406.2281181316618,13.082918421973934,39.50625774897568,66.25602294796279,1.3928216381714618,1.3946361311154847,0.0007327241213226601
1.75,0.20962,0.005,0.973571429,0.021428571,389.58521811760784,74.71601926209003,2188.1785070415735,17346.676575695394,969438.0892884645,708.4007980837598,3516.2735411133467,2436.569774479526,88.70651613743162,242.86221811733628,24.78170706772878,1665.378402393366,160.65537717048127,429.2263516792983,16.051505328005646,43.627192957552225,74.54511244769891,2.2567354825668895,1.9886829584173877,0.0011160959380386918
1.5,0.24456,0.005,0.97,0.025,381.8316427520409,80.50512523609004,1825.1708896585951,19810.670186879495,965047.4952861302,789.6289255759237,4417.803638490871,3256.6961035183062,145.20934609198383,302.922643124489,29.65647742394137,1788.4267009129928,161.36889005150368,425.3951644405093,17.758426818827417,42.46255407362276,78.64532038929448,2.8816083536959765,2.614599090555338,0.001540894641990958
1.25,0.29347,0.005,0.965,0.03,374.33717185125056,86.14083115979311,1552.8911596561609,23766.45545009057,959414.2416517069,830.060016345011,5273.465551044333,3988.4067855160984,215.77700588070797,342.28207850979294,32.18023243067163,1813.1149221520195,153.09794748183677,405.4819637958207,18.845675191759636,38.188952505438166,81.81752398847975,3.211200557936424,3.2782821678669416,0.001998244264347819
1.1,0.33349,0.005,0.960909091,0.034090909,372.9351957584424,90.20810038745277,1424.3415257834504,27275.25567188261,955055.2752536102,830.8236788658145,5756.7186566913315,4350.34366280714,264.33136713574623,354.68070671039845,32.44581015401402,1784.2085333275509,144.881017614871,387.927368340593,19.46607027354007,34.80187760109688,84.30049851750243,3.276109977303944,3.6929049288011355,0.002278793347309945
1.0,0.36699,0.005,0.9575,0.0375,374.065573591461,93.42366269417435,1351.0597866931441,30320.192786222266,951523.6030316553,819.9712223013896,6062.633156798788,4547.11478182482,298.9119971216331,357.93395087615653,32.09210770166512,1747.0921280867435,138.2584079056546,374.1371243582839,19.95300565934695,32.34820796379784,86.49633868629303,3.270069636807041,3.9757503019583442,0.0024642054365212
0.9,0.40744,0.005,0.953333333,0.041666667,377.28389979448406,97.16652265160492,1286.7767390855208,34145.27782360119,947286.0244921464,799.0238514797323,6352.987029034324,4700.400796020814,334.90780329169473,356.9410632013105,31.315827783749025,1695.5105484653552,130.76745937160376,358.627183016352,20.547813415433534,29.788437899410933,89.30083042049132,3.2271526566417683,4.263917308838055,0.0026455067419830025
0.75,0.48933,0.005,0.945,0.05,386.98187358024416,104.03016381802071,1205.8763899413257,42016.32859643604,938959.9646078779,746.5318094003218,6753.162499240457,4831.159540647261,390.46232584848485,346.8107878143244,29.360061917031825,1589.7614727078621,117.85417220348228,331.7101548419906,21.736207728775224,25.794560095688894,95.03702997276034,3.0945988660778734,4.7074147057210896,0.002903512300071452
0.65,0.56436,0.005,0.937307692,0.057692308,397.50442088590535,109.64743413573827,1161.6924024931918,49440.39993193737,931363.4466246807,695.8751338049841,6990.799402611144,4837.577944329944,427.32419539315526,333.60050784778014,27.51809780680756,1498.7354532269433,107.99752727267126,310.80845024229114,22.788627221610955,23.029081834070656,100.20506346987545,2.9580648273115395,5.01202397283072,0.0030612047963704367
