phi,O2_molecules,CPT_frac,N2_frac,O2_frac,C5H8(522),C5H8O(825)rs,CPT(563),O2(6),N2,H2(2),H2O(5),CO(12),CO2(13),CH4(33),CH3CHO(41),C2H4(52),C3H6(131),C3H4O(165),C4H6(227),C4H8(253),C5H6(478),C6H6(970),HO2(8),OH(4)
3.0,0.12233,0.005,0.9825,0.0125,463.93245710870053,27.86696387796064,2114.1359291059116,8013.602525226728,978137.3515879064,778.4850701743947,3769.602658460541,2643.1772720044073,250.04350727444373,281.3299630558128,43.30949101937295,1582.8632758565852,124.58390181981407,354.2129550371299,24.466820664705907,40.67998556962781,66.3531269147948,2.7285005249846934,2.2690888486515344,0.0011820326907379757
2.0,0.1835,0.005,0.97625,0.01875,441.16850950784413,32.13428974864908,1461.9573851264156,11704.810048277703,970338.0257105698,906.2945186702744,5774.207212138038,4322.905091325831,552.5550074841365,349.88314322331,51.7074411349134,1731.532376757642,106.20523386902997,314.3941686069522,24.443978039989442,30.885089624458875,60.877369416114455,3.0266213635859556,3.825967630685402,0.0021869745582063747
1.75,0.20962,0.005,0.973571429,0.021428571,440.5187251612417,33.49663619436339,1339.1802104795,13734.45159389433,967426.3921322663,894.3856098394873,6296.519685725737,4654.496213164319,651.9245002683199,343.1767212920066,50.18073842185422,1700.1728013557251,95.60467586335902,293.28239071547824,23.8264895285079,26.499643443079663,60.04502456648551,2.806635084588831,4.333840626023803,0.0024932585231447124
1.5,0.24456,0.005,0.97,0.025,447.12832675319976,35.397539261897826,1241.7402311485225,16744.139131266045,963777.587616858,849.0560937116832,6765.566349210055,4847.343844792256,748.1454999221284,322.3462953845242,46.54022548017084,1630.2410075009248,83.31580339192739,268.0373233311373,23.236937707274162,21.87549943686206,60.46286779747828,2.4922964087848998,4.864459612972008,0.00278282504122831
1.25,0.29347,0.005,0.965,0.03,463.2948843159963,38.06783906181205,1171.0495740525619,21326.599008392925,958899.0295571268,766.6472584096889,7143.002084507879,4850.470579360212,826.0759897622594,287.5072033779821,40.93241271266545,1517.9182212772027,70.05028067392875,238.91718564480138,22.769821336937163,17.31467065119201,62.63995585118898,2.118865762266235,5.3919515106136915,0.0030261774483059303
1.1,0.33349,0.005,0.960909091,0.034090909,478.1955424881607,40.113689796679665,1141.014025296772,25256.06768095104,954987.6649697088,700.2993945253564,7312.83733572181,4748.078006162461,856.0378629964175,260.6558818197847,36.81611748847674,1428.5192031929348,61.87872918815531,219.66322164612487,22.525894057101823,14.696441141946858,64.96214250060358,1.8798583868111876,5.695536051116295,0.003140116335410382
1.0,0.36699,0.005,0.9575,0.0375,490.397118022554,41.67886676028769,1125.7842721734119,28599.366009249483,951744.546874358,649.9500550385357,7399.736005810214,4634.622617746243,866.1404983595269,240.68041037637366,33.84359200649,1359.0394136861662,56.401289153166076,206.10605153197247,22.349028515900716,13.016658712799293,66.9783252434671,1.7175237971503152,5.889138769142257,0.003200821497120189
0.9,0.40744,0.005,0.953333333,0.041666667,504.4368844293351,43.41134411591365,1114.1374029711117,32735.60878554297,947781.4816016699,595.4368129485699,7464.57659284231,4484.904793115635,866.6452108513828,219.31513728893643,30.739779348935308,1281.1179254774434,50.92226405173094,191.98498482934278,22.133851470766036,11.394587409419946,69.39130155185202,1.5540298720889663,6.073988922841614,0.0032488894813769856
0.75,0.48933,0.005,0.945,0.05,528.9651085943302,46.3330087312079,1102.9216505517754,41092.268431722696,939825.6839353658,507.40105019515283,7519.013578388135,4192.730413610074,846.0653334300496,185.19588131411018,25.93174863626024,1147.1138370014005,42.73026293132919,169.77142655755068,21.674453398578127,9.07629761985206,73.79706241037012,1.3080667540800275,6.331874711315102,0.003297237987274468
0.65,0.56436,0.005,0.937307692,0.057692308,547.649839900907,48.502598860108385,1099.3609143064461,48847.43137641815,932435.3621797722,445.57863722531283,7525.661341765468,3952.962313465557,815.7474818173034,161.4209619308829,22.68233301744202,1045.2908417848907,37.30138756551618,154.28540531748067,21.227571040539026,7.6116557693774025,77.2907169216882,1.1440660368883917,6.488979976210167,0.0033138300816757203
