phi,O2_molecules,CPT_frac,N2_frac,O2_frac,C5H8(522),C5H8O(825),CPT(563),O2(6),N2,H2(2),H2O(5),CO(12),CO2(13),CH4(33),CH3CHO(41),C2H4(52),C3H6(131),C3H4O(165),C4H6(227),C4H8(253),C5H6(478),C6H6(970),HO2(8),OH(4)
3.0,0.12233,0.005,0.9825,0.0125,162.71185057692858,4.886551838345084,3235.4925986789576,8839.097811076228,979108.1733659639,681.2136268813869,2881.5724975637904,2529.5959319764643,309.73711215240445,219.17490041845312,22.204346512568048,900.9586465268825,57.51412784514249,151.61809058959636,13.027977862159645,19.260580828567328,44.85938474892911,4.444445683315896,2.213021534572401,0.0036887846541082655
2.0,0.1835,0.005,0.97625,0.01875,168.19203870011984,6.094522100151253,2905.10560442537,13615.60004820302,972112.3944568875,710.7333987234424,4033.8549310401504,3387.6293866416613,552.3174264937708,226.08901108858225,22.863606451349796,946.896495274431,45.579304331426094,135.6239762624304,11.430345532249188,13.097187601558966,40.35081666951013,3.3777855336327,3.4293125858104885,0.005080611689456032
1.75,0.20962,0.005,0.973571429,0.021428571,171.75107932385296,6.497547545569886,2843.0971386189785,15961.133915793964,969362.2873566953,684.312778064057,4303.594952693739,3509.436379255691,619.7615732404448,215.7926272490863,21.709124782936858,928.9446093037905,40.993019432165504,127.9768672850932,10.999410412109189,11.229065685420606,40.246766398757096,3.014724815097959,3.7799254927004786,0.005426351350328702
1.5,0.24456,0.005,0.97,0.025,176.66901391067674,6.964043341479291,2792.2119039917084,19240.73205674553,965793.6731120778,639.4270748125645,4547.437316617415,3565.200755240587,683.5432690498992,200.04780098661112,19.952925481594548,895.3543354526788,35.92880073561405,118.60275365905296,10.596193455537607,9.34111107953075,40.76025254275411,2.6397419094723564,4.1402451107424065,0.0057540709459957635
1.25,0.29347,0.005,0.965,0.03,183.09278659429498,7.501449997474625,2752.5655608237475,24003.90242209827,960884.0049293179,575.0686359340592,4756.926966265137,3542.1312383385957,737.6601425167186,178.9158531386597,17.63245128833117,843.4844396344902,30.483464903478684,107.36207659581119,10.203231532133435,7.4771887881318655,41.98302728277825,2.2597865561060404,4.504775857583634,0.006059276749250424
1.1,0.33349,0.005,0.960909091,0.034090909,187.68713082985127,7.857947489231487,2733.8164709016955,27984.82347355577,956894.987944623,527.1073488098026,4863.1435282623215,3485.474001415363,761.9639875699487,163.73234502102304,16.000438129945383,801.9639486683096,27.06708126116911,99.66940454449072,9.946956872330976,6.38360809374321,43.09206071207226,2.0303274958881095,4.723101106318928,0.006232271824526641
1.0,0.36699,0.005,0.9575,0.0375,191.04711162699624,8.108339879768987,2723.1959742606373,31336.02025677507,953575.9744398805,491.3338770599819,4924.912639800238,3428.0752548019364,773.1946280859835,152.59713368845254,14.825668340313305,769.1775487286357,24.736075804743592,94.1323950372019,9.75237755276075,5.667875705124163,43.99766201024733,1.876437886927746,4.867576163367828,0.006344565745420148
0.9,0.40744,0.005,0.953333333,0.041666667,194.62769081130054,8.367009581833228,2713.9146309599123,35458.60081008942,949518.9107044743,452.60204145407124,4978.807456311436,3353.6373227693944,779.2503428317193,140.66500540551996,13.58974538142932,731.6929162472669,22.36669061690395,88.2631266487019,9.526110508166314,4.964161514850859,45.0405507115951,1.7213392674526478,5.010505885083244,0.006455657544791169
0.75,0.48933,0.005,0.945,0.05,,,,,,,,,,,,,,,,,,,,
0.65,0.56436,0.005,0.937307692,0.057692308,,,,,,,,,,,,,,,,,,,,
0.6,0.61116,0.005,0.9325,0.0625,,,,,,,,,,,,,,,,,,,,
0.55,0.66697,0.005,0.926818182,0.068181818,,,,,,,,,,,,,,,,,,,,
0.5,0.73349,0.005,0.92,0.075,,,,,,,,,,,,,,,,,,,,
0.45,0.81519,0.005,0.911666667,0.083333333,,,,,,,,,,,,,,,,,,,,
0.4,0.91709,0.005,0.90125,0.09375,,,,,,,,,,,,,,,,,,,,
0.35,1.0482,0.005,0.887857143,0.107142857,,,,,,,,,,,,,,,,,,,,
0.31,1.18334,0.005,0.874032258,0.120967742,,,,,,,,,,,,,,,,,,,,
0.28,1.31012,0.005,0.861071429,0.133928571,,,,,,,,,,,,,,,,,,,,
0.25,1.46734,0.005,0.845,0.15,,,,,,,,,,,,,,,,,,,,
0.23,1.59493,0.005,0.831956522,0.163043478,,,,,,,,,,,,,,,,,,,,
0.2,1.83417,0.005,0.8075,0.1875,,,,,,,,,,,,,,,,,,,,
0.19,1.93071,0.005,0.797631579,0.197368421,,,,,,,,,,,,,,,,,,,,
0.17,2.15785,0.005,0.774411765,0.220588235,,,,,,,,,,,,,,,,,,,,
0.15,2.44557,0.005,0.745,0.25,,,,,,,,,,,,,,,,,,,,
0.13,2.75147,0.005,0.706538462,0.288461538,,,,,,,,,,,,,,,,,,,,
0.11,3.33486,0.005,0.654090909,0.340909091,,,,,,,,,,,,,,,,,,,,
0.1,3.66835,0.005,0.62,0.375,,,,,,,,,,,,,,,,,,,,
