phi,O2_molecules,CPT_frac,N2_frac,O2_frac,C5H8(522),C5H8O(825),CPT(563),O2(6),N2,H2(2),H2O(5),CO(12),CO2(13),CH4(33),CH3CHO(41),C2H4(52),C3H6(131),C3H4O(165),C4H6(227),C4H8(253),C5H6(478),C6H6(970),HO2(8),OH(4)
3.0,0.12233,0.005,0.9825,0.0125,481.2688649659589,27.754057014223292,2336.9027824796794,8587.715973504884,978552.2549170471,740.0128013070691,3278.100883959698,2253.767194039474,234.38939813578378,261.57101804178393,39.05594389774527,1491.2790485355574,120.0125496177761,343.6281469708597,21.847496118046454,40.6331923710425,81.04227240249831,2.972013900471328,1.964259370075646,0.0009697350979028784
2.0,0.1835,0.005,0.97625,0.01875,465.72100961258735,33.29745553926359,1599.2001105669538,12207.75386583412,970593.8854869938,908.6206807859717,5300.135033115715,3986.3757815693807,555.9229938795622,356.7440824047853,50.586214329323276,1740.7007371412406,109.02300144811845,317.71038466907925,22.761487244893495,33.15032023828227,74.06190900999735,3.6725093639117556,3.4507877937441966,0.001899261928139435
1.75,0.20962,0.005,0.973571429,0.021428571,462.7843346297357,34.693625978506375,1452.9423466576268,14164.913488144943,967594.2713562307,915.4842279922412,5860.020943128314,4389.532215390038,669.6387063062133,358.65029925367014,50.32566318816157,1739.5867826788326,99.57447798861925,298.49971985906035,22.15281573480197,28.76950656574228,72.1741705304174,3.4759041269853475,3.958454714411531,0.0022032855193624364
1.5,0.24456,0.005,0.97,0.025,466.1737006380498,36.52748105327484,1334.1155822369774,17076.3706463411,963841.4774310719,890.5034923924253,6382.196976992185,4677.610662190658,787.4309517146169,345.76290322161844,47.91513997542128,1699.5862468062007,87.92615980405188,274.5374608762317,21.469630926587463,23.94113407227808,71.56983992592379,3.140492821002842,4.5019420081026125,0.002502791900493231
1.25,0.29347,0.005,0.965,0.03,478.8406057121312,39.08206237358637,1244.9532388198234,21536.44032092237,958850.8529998569,826.7518789953514,6827.10852316461,4792.175755056596,895.6771909358449,317.20164290440994,43.31987353805115,1616.1498343526769,74.83602488529172,246.20027992976233,20.876570505373433,19.05205120608226,72.93079189541052,2.7109935932927116,5.0582049051108084,0.0027682613590731373
1.1,0.33349,0.005,0.960909091,0.034090909,491.75196261736585,41.059523791772946,1205.2094116150736,25382.09559105472,954872.7303881461,769.0589107979497,7043.760437512594,4760.29932502546,948.0048305153066,292.87829778762244,39.642140525956926,1543.1904133503513,66.58464642424353,227.18367789569663,20.585176949494763,16.211021112289984,74.91526737479006,2.4263998277332797,5.387964518894767,0.0029006706057259114
1.0,0.36699,0.005,0.9575,0.0375,502.73073437459016,42.58620992602097,1183.958631709615,28665.71577166931,951586.9572156097,722.835233257562,7164.468499756677,4693.941010135009,974.4078068165859,273.91945520531107,36.876111268826904,1484.0019576862255,60.98490240735279,213.67025604495856,20.403407913539894,14.379263631603836,76.78120145727901,2.2299243913016733,5.603238872570455,0.002975694709130403
0.9,0.40744,0.005,0.953333333,0.041666667,,,,,,,,,,,,,,,,,,,,
0.75,0.48933,0.005,0.945,0.05,,,,,,,,,,,,,,,,,,,,
0.65,0.56436,0.005,0.937307692,0.057692308,,,,,,,,,,,,,,,,,,,,
0.6,0.61116,0.005,0.9325,0.0625,,,,,,,,,,,,,,,,,,,,
0.55,0.66697,0.005,0.926818182,0.068181818,,,,,,,,,,,,,,,,,,,,
0.5,0.73349,0.005,0.92,0.075,,,,,,,,,,,,,,,,,,,,
0.45,0.81519,0.005,0.911666667,0.083333333,,,,,,,,,,,,,,,,,,,,
0.4,0.91709,0.005,0.90125,0.09375,,,,,,,,,,,,,,,,,,,,
0.35,1.0482,0.005,0.887857143,0.107142857,,,,,,,,,,,,,,,,,,,,
0.31,1.18334,0.005,0.874032258,0.120967742,,,,,,,,,,,,,,,,,,,,
0.28,1.31012,0.005,0.861071429,0.133928571,,,,,,,,,,,,,,,,,,,,
0.25,1.46734,0.005,0.845,0.15,,,,,,,,,,,,,,,,,,,,
0.23,1.59493,0.005,0.831956522,0.163043478,,,,,,,,,,,,,,,,,,,,
0.2,1.83417,0.005,0.8075,0.1875,,,,,,,,,,,,,,,,,,,,
0.19,1.93071,0.005,0.797631579,0.197368421,,,,,,,,,,,,,,,,,,,,
0.17,2.15785,0.005,0.774411765,0.220588235,,,,,,,,,,,,,,,,,,,,
0.15,2.44557,0.005,0.745,0.25,,,,,,,,,,,,,,,,,,,,
0.13,2.75147,0.005,0.706538462,0.288461538,,,,,,,,,,,,,,,,,,,,
0.11,3.33486,0.005,0.654090909,0.340909091,,,,,,,,,,,,,,,,,,,,
0.1,3.66835,0.005,0.62,0.375,,,,,,,,,,,,,,,,,,,,
