phi,O2_molecules,CPT_frac,N2_frac,O2_frac,C5H8(522),C5H8O(825),CPT(563),O2(6),N2,H2(2),H2O(5),CO(12),CO2(13),CH4(33),CH3CHO(41),C2H4(52),C3H6(131),C3H4O(165),C4H6(227),C4H8(253),C5H6(478),C6H6(970),HO2(8),OH(4)
3.0,0.12233,0.005,0.9825,0.0125,503.6056768238063,27.604723511651923,2500.700855034622,8962.666949694078,978907.4969127199,662.43171205054,2950.776697768496,1935.610156097394,255.1625568923248,257.4089009193536,34.07556296756965,1421.5963181756656,115.99575717314308,335.71231427656886,20.185353992604128,43.12568151359642,62.99708573156067,2.1860506130167856,1.7475073707844149,0.0008442067649558096
2.0,0.1835,0.005,0.97625,0.01875,489.1795339589147,34.07508153147551,1667.1810717962874,12406.397982983832,970738.5332094035,867.9320219345973,5072.263821470236,3778.395182372858,628.1015403617379,376.11613787629557,48.31840953171829,1782.809714493308,112.72995404921191,322.867227648496,22.233048567651156,36.63533516704585,59.723183877952906,3.0920340153499057,3.2458388931985294,0.0017800747570574586
1.75,0.20962,0.005,0.973571429,0.021428571,483.0717284308321,35.43324910872968,1500.1529113448553,14282.977375344504,967656.6661562857,890.0353591982979,5678.619771004699,4249.046161290177,763.074921341482,383.5292410544373,49.03293208097569,1810.837619170567,104.19283189988685,304.86478517905573,21.680968067976664,31.84754489639275,58.882093385624536,3.0233584616088987,3.773517743771156,0.0021009289484101683
1.5,0.24456,0.005,0.97,0.025,483.33663616864106,37.18261978506368,1365.2888328544243,17107.50435572686,963819.8644638003,880.7147694841593,6248.687560458493,4610.677786432659,906.9526982687756,374.98830489266385,47.52301615039317,1798.567202105632,92.90591737859496,281.3916960875113,20.982163135585242,26.49104956269108,59.388407566949894,2.8302415454222416,4.342111939225987,0.002420909838591544
1.25,0.29347,0.005,0.965,0.03,493.57884095809106,39.66684262054625,1264.893045152476,21476.79917623567,958746.8777750739,831.7620433553911,6739.692573924675,4799.792946119884,1047.1731757606178,349.55164357383865,43.69905670688074,1742.5090751978532,79.78006538276506,253.06870395757974,20.372959977676143,21.068716386253165,62.029297203306,2.5479395783771315,4.926762196174853,0.0027066361706107886
1.1,0.33349,0.005,0.960909091,0.034090909,505.49418555457345,41.6277692045924,1220.2965442439333,25264.82988343498,954719.6848177564,782.1671034621857,6983.540403670106,4813.388393321293,1121.879007741744,326.54619229057266,40.42420979643284,1686.410197213193,71.38580057293449,233.9093125110145,20.107538311518002,17.93710012937116,64.95503119088703,2.350109650944306,5.275188502221476,0.002849971135318769
1.0,0.36699,0.005,0.9575,0.0375,515.9956101598066,43.15717040109621,1196.3604840385944,28507.44337219214,951400.7168200978,740.9260805816184,7123.0301462543475,4778.562854445504,1164.5732055345861,308.2249588694067,37.907090018845985,1638.7251152709766,65.6532722415012,220.25147801209948,19.970080860148855,15.928410890026576,67.57149814890451,2.2095622861401534,5.504027651714481,0.0029318040302917683
0.9,0.40744,0.005,0.953333333,0.041666667,528.5618470825174,44.87266951210335,1176.5060592394532,32537.169176332267,947363.5364012445,693.4870476173943,7244.01270661958,4708.519177514651,1199.367889284314,287.661928540441,35.171182893028,1581.8503881116765,59.833932396916694,205.8844847988549,19.851097222639723,13.990113883292166,70.7906701359713,2.06297539972804,5.729231651891268,0.00300256912419968
0.75,0.48933,0.005,0.945,0.05,551.2219923916412,47.799231774890075,1153.1530568849441,40721.61631557175,939301.7331740538,611.4723790269446,7391.989257438449,4537.949447427849,1231.495889097732,252.82939039206107,30.745444166961143,1476.3595796498705,50.95045304689598,182.9962959323222,19.66106447574483,11.217750083211435,76.91270678297592,1.8318008743357685,6.059350374278215,0.003089529671948409
0.65,0.56436,0.005,0.937307692,0.057692308,568.7730729258359,49.980272131176086,1140.9531963606667,48352.974072260906,931846.5014013706,550.0173643925956,7469.518365400095,4380.438663510796,1234.905004977891,227.01568857535983,27.631672932136727,1389.5729998910083,44.914036520207404,166.84112916701073,19.481518459337824,9.457497033492917,81.99688343538256,1.668975482772769,6.274079921045225,0.0031367754217245395
0.6,0.61116,0.005,0.9325,0.0625,578.2440149562566,51.13590083530484,1135.6058112719963,53141.96060618215,927176.3266773904,517.3343785816271,7502.220461209509,4288.117837382452,1229.5918533402169,213.31994059347826,26.035803529486333,1340.1208748821357,41.855741532916745,158.49356862430767,19.36079281461846,8.602728749309778,84.88697342881832,1.5842804157635797,6.379816672660723,0.003157934383016547
