phi,O2_molecules,CPT_frac,N2_frac,O2_frac,C5H8(522),C5H8O(825),CPT(563),O2(6),N2,H2(2),H2O(5),CO(12),CO2(13),CH4(33),CH3CHO(41),C2H4(52),C3H6(131),C3H4O(165),C4H6(227),C4H8(253),C5H6(478),C6H6(970),HO2(8),OH(4)
3.0,0.12233,0.005,0.9825,0.0125,481.26886496604385,27.754057014250435,2336.902782479009,8587.715973505085,978552.2549170482,740.012801307209,3278.1008839595606,2253.767194037761,234.38939813588055,261.57101804156343,39.05594389775323,1491.2790485359494,120.01254961778545,343.6281469710041,21.8474961180737,40.633192371068326,81.04227240254423,2.9720139004668056,1.964259370076109,0.0009697350979033847
2.0,0.1835,0.005,0.97625,0.01875,465.72100960949365,33.29745553678633,1599.2001106150374,12207.753865734636,970593.8854869452,908.6206807661066,5300.135033204782,3986.3757817205037,555.9229939141072,356.74408239990294,50.58621432805942,1740.700737109437,109.02300144600238,317.71038466057524,22.761487242645526,33.150320236558514,74.06190900742607,3.672509364275082,3.450787793642445,0.0018992619280418825
1.75,0.20962,0.005,0.973571429,0.021428571,462.78433462990336,34.69362597853136,1452.942346657841,14164.913488147282,967594.2713562325,915.4842279922162,5860.020943126501,4389.532215387857,669.6387063058719,358.6502992535875,50.32566318815131,1739.5867826787241,99.57447798861794,298.4997198591436,22.152815734811696,28.769506565748397,72.17417053045148,3.475904126981101,3.958454714411711,0.0022032855193625496
1.5,0.24456,0.005,0.97,0.025,466.1737006380473,36.52748105327389,1334.1155822370115,17076.370646340965,963841.4774310704,890.5034923927451,6382.1969769922425,4677.610662191478,787.4309517145797,345.76290322177636,47.9151399754217,1699.5862468062278,87.92615980405178,274.53746087623,21.469630926585776,23.941134072277237,71.56983992592035,3.140492821002408,4.50194200810256,0.0025027919004931543
1.25,0.29347,0.005,0.965,0.03,478.84060571145346,39.08206237350725,1244.95323881846,21536.44032091447,958850.8529998485,826.7518789975583,6827.108523169745,4792.175755064959,895.6771909371188,317.20164290532824,43.31987353810685,1616.1498343538344,74.83602488532598,246.2002799295669,20.87657050536557,19.05205120608247,72.9307918953009,2.710993593299125,5.058204905112343,0.0027682613590749843
1.1,0.33349,0.005,0.960909091,0.034090909,491.75196261903983,41.05952379199501,1205.2094116194057,25382.095591047306,954872.7303881097,769.0589108122961,7043.760437514612,4760.29932504547,948.0048305308228,292.8782977934729,39.642140525944164,1543.190413351894,66.58464642434708,227.18367789632126,20.58517694948446,16.2110211123043,74.9152673749549,2.4263998277109207,5.387964518889888,0.002900670605718213
1.0,0.36699,0.005,0.9575,0.0375,502.7307343683544,42.58620992560818,1183.9586316938912,28665.715771615487,951586.957215558,722.8352332759174,7164.468499785638,4693.941010166094,974.4078068326633,273.9194552101681,36.87611126937052,1484.0019576992383,60.98490240789998,213.67025604434474,20.403407913758407,14.379263631787799,76.78120145661435,2.229924391304653,5.603238872600899,0.002975694709166027
0.9,0.40744,0.005,0.953333333,0.041666667,515.6480562855234,44.288176378787554,1166.5286211792447,32739.663872521334,947583.8244997674,670.81138954553,7265.270923350277,4590.515956019998,991.8764066690568,252.9416891936032,33.90365802321975,1415.5035795227473,55.32788962962449,199.4823101931426,20.211722772969015,12.60428762351861,79.10806992981763,2.0296966885620837,5.81347403580308,0.0030397325197395173
0.75,0.48933,0.005,0.945,0.05,538.6814454856109,47.17907195738732,1146.7585453472616,40999.311702760555,939575.4423956991,582.8710787956743,7377.925961159292,4364.290635460522,996.5200286820559,218.03084547019174,29.14216484316276,1292.938856820079,46.75491845651317,176.9163874874636,19.847662420474315,10.05453426830655,83.50807385557204,1.7240096288564348,6.11704034515579,0.003115597412411039
0.65,0.56436,0.005,0.937307692,0.057692308,556.4696327168057,49.33400435452242,1137.29427098104,48688.985251741615,932157.5061556896,518.3300043461957,7426.344898064904,4164.360576200067,981.3209982687638,192.67487731426166,25.817793234882227,1195.8430583525608,40.98566407900136,160.9972080353521,19.50271794687237,8.43207958155801,87.07676138174415,1.5169204876780553,6.309994246720389,0.003153513758978391
0.6,0.61116,0.005,0.9325,0.0625,566.090755574085,50.47965788360497,1133.5491238697336,53510.22126978705,927506.3081159341,484.4553645468598,7442.104270786576,4048.8319343002686,966.9795263407142,179.41983065331596,24.122067093555998,1141.9385785989723,38.08468290004148,152.7669287746986,19.283715375529894,7.644699180622604,89.05897149354685,1.4122375830032277,6.4031857231860325,0.003168948629144589
0.55,0.66697,0.005,0.926818182,0.068181818,576.1967557049669,51.67058131958102,1130.415592684045,59216.00872542396,921995.2718099742,449.5780021860635,7451.869861674392,3922.283404328534,947.446871145388,165.79632906998452,22.407967406675343,1084.0410295054637,35.17242179758611,144.34989297301638,19.025795930147698,6.873715197396972,91.17630833839827,1.306627219862162,6.493932868988119,0.0031821530138669957
