phi,O2_molecules,CPT_frac,N2_frac,O2_frac,C5H8(522),C5H8O(825)rs,CPT(563),O2(6),N2,H2(2),H2O(5),CO(12),CO2(13),CH4(33),CH3CHO(41),C2H4(52),C3H6(131),C3H4O(165),C4H6(227),C4H8(253),C5H6(478),C6H6(970),HO2(8),OH(4)
3.0,0.12233,0.005,0.9825,0.0125,484.6930252207081,13.017684595850906,2346.579966503,8598.096513976281,978548.4893065218,732.6401275058681,3281.188904142372,2248.200500438162,237.6011608139218,264.04670264294924,38.048012442826305,1491.9527000137643,121.18294874452121,346.0882210618034,22.24313060842931,41.39597560900906,82.19028696298518,3.0198904575451735,1.9514178588623379,0.0009617117265683826
2.0,0.1835,0.005,0.97625,0.01875,469.81125780680253,12.617125981626588,1603.3101871109725,12199.746573953134,970560.0048067445,900.9368102266268,5325.751762938084,3997.884709903881,563.9496207981073,362.1665843626163,49.34122756711689,1753.8573758628338,111.46340183651479,322.143865681637,23.514366956789697,34.1596254562585,75.53553170645834,3.79301081759672,3.4301463629332996,0.0018919589378422307
1.75,0.20962,0.005,0.973571429,0.021428571,466.45298893079183,12.577131830442719,1454.35791697957,14142.663288506794,967544.3112639707,909.0879586306128,5898.336026169452,4414.143518213978,680.5297782328508,365.09277040922245,49.135547888026196,1757.6493115767944,102.20179194820084,303.1500722551737,22.944008657774166,29.739647615046966,73.5741088273743,3.6052543832315376,3.939620445610962,0.0022003862450016443
1.5,0.24456,0.005,0.97,0.025,469.2886398264313,12.767323805562528,1332.9000782475048,17036.10596795309,963773.0093362457,885.8877218804645,6435.814391648285,4718.098342277517,802.229445109802,353.12095277651355,46.817402377404264,1722.7762269980649,90.60890148810594,279.2209832019217,22.2757599196299,24.824643669159553,72.85986360490456,3.269501982139506,4.487736123299174,0.0025063129781240172
1.25,0.29347,0.005,0.965,0.03,481.44522762461077,13.293214343909833,1241.5901095623717,21476.38358982825,958763.7146011632,824.0790358972573,6897.057581536492,4848.751787028913,915.3053818012839,325.23111885909924,42.33646947454489,1644.363392409728,77.43958960225736,250.7339903859593,21.68785046194899,19.817855416669744,74.11265985876307,2.83175429842449,5.051230935666887,0.0027788475220095503
1.1,0.33349,0.005,0.960909091,0.034090909,494.14925426696874,13.803705445945106,1200.9252616353144,25310.297333223596,954775.3602459076,767.4925042642068,7123.198719182841,4825.476511571912,970.7861317255001,301.1514882216257,38.73623511520166,1574.2315285600444,69.08031870435373,231.54003274776954,21.400194139782794,16.897955906365993,76.04659772414928,2.5395556967359405,5.386251707109788,0.0029149222016770612
1.0,0.36699,0.005,0.9575,0.0375,505.0560793609987,14.232868509862328,1179.2462838387212,28586.419560213002,951483.4931442008,721.9507634710676,7249.861830622273,4764.111837799037,999.2985788341695,282.27649338321214,36.02713411270553,1516.7842583039626,63.383596612224416,217.8706731151469,21.22163627106972,15.011241247676029,77.8878062907869,2.3372376490021693,5.60527961623208,0.002991842122301871
0.9,0.40744,0.005,0.953333333,0.041666667,,,,,,,,,,,,,,,,,,,,
0.75,0.48933,0.005,0.945,0.05,,,,,,,,,,,,,,,,,,,,
0.65,0.56436,0.005,0.937307692,0.057692308,,,,,,,,,,,,,,,,,,,,
0.6,0.61116,0.005,0.9325,0.0625,,,,,,,,,,,,,,,,,,,,
0.55,0.66697,0.005,0.926818182,0.068181818,,,,,,,,,,,,,,,,,,,,
0.5,0.73349,0.005,0.92,0.075,,,,,,,,,,,,,,,,,,,,
0.45,0.81519,0.005,0.911666667,0.083333333,,,,,,,,,,,,,,,,,,,,
0.4,0.91709,0.005,0.90125,0.09375,,,,,,,,,,,,,,,,,,,,
0.35,1.0482,0.005,0.887857143,0.107142857,,,,,,,,,,,,,,,,,,,,
0.31,1.18334,0.005,0.874032258,0.120967742,,,,,,,,,,,,,,,,,,,,
0.28,1.31012,0.005,0.861071429,0.133928571,,,,,,,,,,,,,,,,,,,,
0.25,1.46734,0.005,0.845,0.15,,,,,,,,,,,,,,,,,,,,
0.23,1.59493,0.005,0.831956522,0.163043478,,,,,,,,,,,,,,,,,,,,
0.2,1.83417,0.005,0.8075,0.1875,,,,,,,,,,,,,,,,,,,,
0.19,1.93071,0.005,0.797631579,0.197368421,,,,,,,,,,,,,,,,,,,,
0.17,2.15785,0.005,0.774411765,0.220588235,,,,,,,,,,,,,,,,,,,,
0.15,2.44557,0.005,0.745,0.25,,,,,,,,,,,,,,,,,,,,
0.13,2.75147,0.005,0.706538462,0.288461538,,,,,,,,,,,,,,,,,,,,
0.11,3.33486,0.005,0.654090909,0.340909091,,,,,,,,,,,,,,,,,,,,
0.1,3.66835,0.005,0.62,0.375,,,,,,,,,,,,,,,,,,,,
