phi,O2_molecules,CPT_frac,N2_frac,O2_frac,C5H8(522),C5H8O(825)rs,CPT(563),O2(6),N2,H2(2),H2O(5),CO(12),CO2(13),CH4(33),CH3CHO(41),C2H4(52),C3H6(131),C3H4O(165),C4H6(227),C4H8(253),C5H6(478),C6H6(970),HO2(8),OH(4)
3.0,0.12233,0.005,0.9825,0.0125,481.27055952277834,27.754060864419657,2336.9159813213187,8587.74001385836,978552.2756915569,740.0048917173209,3278.074878928616,2253.746749616102,234.39574117409055,261.5735871612837,39.0555971123331,1491.2754977242623,120.01215253403288,343.6281019127357,21.847149256623492,40.633601792915805,81.04264484883204,2.972024983077619,1.9642498935757327,0.0009697237849452006
2.0,0.1835,0.005,0.97625,0.01875,465.7238340726508,33.29753843875543,1599.211480947495,12207.775058217407,970593.8990403368,908.6122355202716,5300.10210797351,3986.352664431192,555.938622733898,356.7490760698106,50.58607399636675,1740.706839483789,109.02319067359724,317.711439247499,22.76120922035464,33.15074026484965,74.0625381602727,3.6725474629755075,3.450775861546517,0.0018992403886413107
1.75,0.20962,0.005,0.973571429,0.021428571,462.78735208654047,34.693725008787915,1452.9531841940686,14164.931112161872,967594.2802294872,915.4760558616954,5859.986467203406,4389.51032666567,669.6588908685727,358.656099404508,50.32563559185842,1739.5970992165994,99.5748032673256,298.50094693421175,22.152549760703053,28.769890872701296,72.17482563937341,3.4759468828873645,3.9584435739717234,0.00220326042200872
1.5,0.24456,0.005,0.97,0.025,466.17700142853784,36.52760542439868,1334.1262914403012,17076.38427275986,963841.4811018074,890.4956385748319,6382.1598077086865,4677.589622208233,787.4574145325604,345.76951145486976,47.915240076420176,1699.6018699987246,87.92659202763433,274.538784836739,21.469372922250297,23.941467355282917,71.57052940939518,3.1405377929486837,4.501932692117632,0.0025027622230929017
1.25,0.29347,0.005,0.965,0.03,478.8444362963179,39.08223993052756,1244.9646032094345,21536.451178353553,958850.8520076216,826.7442651866564,6827.065593852826,4792.153246208091,895.7123060376315,317.20900083039237,43.320109908871586,1616.1723811841596,74.8365380084655,246.20162164218297,20.876320797892987,19.052324353934985,72.93154929499563,2.7110386489900122,5.0581983348057475,0.002768224888912534
1.1,0.33349,0.005,0.960909091,0.034090909,491.7563153022303,41.05975929081971,1205.2217379571057,25382.10638323445,954872.7273046784,769.051408417527,7043.71138926949,4760.273797462356,948.0466374653577,292.88606147157714,39.642464053006215,1543.2182725107925,66.58520115246513,227.18499316940026,20.584934425836007,16.211256756357425,74.91609143548436,2.4264442390414223,5.387959865475595,0.002900628199624695
1.0,0.36699,0.005,0.9575,0.0375,,,,,,,,,,,,,,,,,,,,
0.9,0.40744,0.005,0.953333333,0.041666667,,,,,,,,,,,,,,,,,,,,
0.75,0.48933,0.005,0.945,0.05,,,,,,,,,,,,,,,,,,,,
0.65,0.56436,0.005,0.937307692,0.057692308,,,,,,,,,,,,,,,,,,,,
0.6,0.61116,0.005,0.9325,0.0625,,,,,,,,,,,,,,,,,,,,
0.55,0.66697,0.005,0.926818182,0.068181818,,,,,,,,,,,,,,,,,,,,
0.5,0.73349,0.005,0.92,0.075,,,,,,,,,,,,,,,,,,,,
0.45,0.81519,0.005,0.911666667,0.083333333,,,,,,,,,,,,,,,,,,,,
0.4,0.91709,0.005,0.90125,0.09375,,,,,,,,,,,,,,,,,,,,
0.35,1.0482,0.005,0.887857143,0.107142857,,,,,,,,,,,,,,,,,,,,
0.31,1.18334,0.005,0.874032258,0.120967742,,,,,,,,,,,,,,,,,,,,
0.28,1.31012,0.005,0.861071429,0.133928571,,,,,,,,,,,,,,,,,,,,
0.25,1.46734,0.005,0.845,0.15,,,,,,,,,,,,,,,,,,,,
0.23,1.59493,0.005,0.831956522,0.163043478,,,,,,,,,,,,,,,,,,,,
0.2,1.83417,0.005,0.8075,0.1875,,,,,,,,,,,,,,,,,,,,
0.19,1.93071,0.005,0.797631579,0.197368421,,,,,,,,,,,,,,,,,,,,
0.17,2.15785,0.005,0.774411765,0.220588235,,,,,,,,,,,,,,,,,,,,
0.15,2.44557,0.005,0.745,0.25,,,,,,,,,,,,,,,,,,,,
0.13,2.75147,0.005,0.706538462,0.288461538,,,,,,,,,,,,,,,,,,,,
0.11,3.33486,0.005,0.654090909,0.340909091,,,,,,,,,,,,,,,,,,,,
0.1,3.66835,0.005,0.62,0.375,,,,,,,,,,,,,,,,,,,,
