phi,O2_molecules,CPT_frac,N2_frac,O2_frac,C5H8(522),C5H8O(825)rs,CPT(563),O2(6),N2,H2(2),H2O(5),CO(12),CO2(13),CH4(33),CH3CHO(41),C2H4(52),C3H6(131),C3H4O(165),C4H6(227),C4H8(253),C5H6(478),C6H6(970),HO2(8),OH(4)
3.0,0.12233,0.005,0.9825,0.0125,535.7389073751224,16.935588955797304,2424.3961937487243,8845.13114669142,978750.0724481556,691.3455580376946,3039.2658930186544,2052.821526910629,255.7710392749563,263.8456277515634,35.48600503213813,1481.387579087855,119.7059876055548,345.2219299653526,20.587091109091702,43.37385129432874,58.66061920361867,2.084346111312486,1.8156466588141187,0.0009050223674778409
2.0,0.1835,0.005,0.97625,0.01875,528.3850618338703,17.255413772658912,1606.3485011255004,12284.96931035377,970566.3803899027,903.1148519858408,5161.826130293351,3939.001008878772,621.4208183229001,379.4133196399026,49.28938144312194,1829.6907376260667,114.2965390035631,328.16378657929084,22.181732159104754,36.08504999156115,54.31310901135614,2.818262477096862,3.3518955652847344,0.001893391637160514
1.75,0.20962,0.005,0.973571429,0.021428571,525.7703591208254,17.32717739764074,1447.769181353501,14183.3233130328,967501.2653241609,923.7238041700108,5752.771370467118,4399.529886411258,751.7700183649665,384.9563291958616,49.66849325036173,1849.7894983191566,105.24706833324288,309.4626394288466,21.53771225053609,31.268772659981636,53.44229598601357,2.7284666638442467,3.8812689453788947,0.0022223604314799707
1.5,0.24456,0.005,0.97,0.025,530.8328943560153,17.723716082878536,1321.1183244683666,17038.178179997918,963686.9542530148,912.0421281289796,6301.374495531167,4742.9030446731995,889.7034521388517,374.7832155270968,47.82813045453094,1829.3540191876486,93.65646386358699,285.664924541201,20.792241157178932,25.978811553338875,53.887065871767525,2.534986300410648,4.446023273997513,0.002545297184710305
1.25,0.29347,0.005,0.965,0.03,547.4548722560858,18.611765080097598,1227.8395588476046,21442.92382036786,958638.2347807116,860.5762180961814,6767.191793531143,4909.700772586189,1022.9835593705574,348.3098686058849,43.747220154629375,1765.4863419876688,80.429499975104,257.3182418855188,20.173751844840115,20.678367656736476,56.313330190731726,2.2701136715205865,5.021761132894774,0.0028287514131861737
1.1,0.33349,0.005,0.960909091,0.034090909,564.1059217724095,19.43444672854439,1186.8812092740047,25253.33557540479,954625.2303006276,809.5979398274998,6995.039589608354,4909.428391354819,1093.3576909472554,325.0322706903555,40.36811947177063,1704.9180437390296,72.04223123935874,238.22288923181216,19.91366095223488,17.627790693446837,58.98648735461572,2.0888420164494534,5.362934278750402,0.0029684984988300246
1.0,0.36699,0.005,0.9575,0.0375,578.2075889499388,20.116080309361806,1165.1455684493008,28511.083429131388,951315.4373127266,767.487624293842,7123.622394327789,4865.355264926617,1133.2483896819167,306.6717161757296,37.80217129642965,1654.3313173892218,66.33015529948767,224.61250972127763,19.781938679432407,15.671586480818926,61.366881453192995,1.9611270046657796,5.5863312912390235,0.00304708381025031
0.9,0.40744,0.005,0.953333333,0.041666667,594.7760935708727,20.90889668072775,1147.3617477611015,32556.08755363175,947287.2624124337,719.190818043558,7233.4699894468495,4786.014319181359,1165.4232537180685,286.1729953406672,35.032134987290874,1594.617921240521,60.5371239343855,210.27812906209084,19.66918383119825,13.782604608865514,64.2859688695977,1.8285049265667481,5.805694122748926,0.0031139046230225825
0.75,0.48933,0.005,0.945,0.05,624.3068695906888,22.310988417195986,1127.0039820827321,40763.82339242461,939238.9127387103,635.811115833056,7364.0626536594355,4601.09418418505,1194.2599180448613,251.60565010303483,30.577758168233885,1485.0362502863827,51.692474951017886,187.36884655896796,19.48682406338507,11.075741044113787,69.81562770205065,1.6201083454659175,6.126420215093237,0.0031934937327497285
0.65,0.56436,0.005,0.937307692,0.057692308,647.1118163978584,23.38708753127533,1116.837115382165,48411.06119729724,931792.8322405838,573.3062861972543,7429.273619521514,4433.445736947472,1196.1800191061718,226.06278876358752,27.4563934994308,1395.7216288147788,45.67422227614237,171.1180936010826,19.30888473356019,9.352339201387133,74.39102162079735,1.4737078095395535,6.334528721144952,0.003234664074536617
0.6,0.61116,0.005,0.9325,0.0625,659.4420842739304,23.96632320244167,1112.5500703193288,53208.10871436072,927127.3384429404,540.0294993631348,7455.508429804405,4335.7995759160995,1190.4397217660612,212.52603370869,25.859392624127793,1345.108504188777,42.62078024404211,162.6870403839569,19.18694900058691,8.513740362174191,76.98609719432179,1.3976676458552921,6.436866200108538,0.0032523638374827787
0.55,0.66697,0.005,0.926818182,0.068181818,672.3850537260846,24.571909391681263,1108.6878085328624,58887.44318889108,921602.105682169,505.39614367642025,7477.477011781459,4228.400659405984,1179.3216405763853,198.45558869752492,24.240422706170442,1289.8619599224633,39.53335367823261,154.0448764255155,19.034292567767302,7.689987070821925,79.80951964069281,1.3192987218191763,6.5380467653466985,0.003268512850000939
0.5,0.73349,0.005,0.92,0.075,685.9353160077376,25.20264120536941,1105.1690590152969,65711.57415994514,914956.7570598089,469.37718005091085,7495.040325862179,4110.554378067491,1161.9444207844829,183.82122506503842,22.599662028632626,1229.3441406857585,36.408134713498406,145.18401371926055,18.843482019765123,6.880757535376675,82.88294913485589,1.2381381383772228,6.638033604571847,0.0032834198262717035
0.45,0.81519,0.005,0.911666667,0.083333333,700.0869405450883,25.85698475623266,1101.91410738454,74059.6643869849,906815.123266285,431.9181928553856,7507.880578341003,3981.2062720788954,1137.2013657312032,168.57921003936102,20.93556301621438,1162.7661244607054,33.24093191350012,136.09387292608554,18.606431989368726,6.085880984170885,86.23241388267839,1.1535663700750725,6.736744705687177,0.00329740421713325
0.4,0.91709,0.005,0.90125,0.09375,714.8337735714288,26.53309405981265,1098.8502374570053,84500.39033520968,896612.7700986642,392.93266674867414,7515.387062030336,3838.772614319362,1103.6777958204184,152.66844808305575,19.244145582036005,1089.1427096379002,30.027141357412695,126.75894124385874,18.3145241750666,5.3054207599810725,89.88953485353142,1.06474428049516,6.834021933925531,0.0033107735515611144
0.35,1.0482,0.005,0.887857143,0.107142857,730.1693240078635,27.22891538212351,1095.9226266562107,97927.19169989559,883462.3467572508,352.29395513593073,7516.46417960594,3680.8766197676537,1059.5331990764387,136.00564644025613,17.517875257321432,1007.2317432046356,26.761699283041484,117.15549100284895,17.95883959752916,4.539788572798159,93.89296086345273,0.9705175419462636,6.929584965921928,0.003323777993770384
0.31,1.18334,0.005,0.874032258,0.120967742,742.8558109856784,27.798422644106378,1093.6660886911584,111786.70467848552,869857.1391298042,318.4764511768799,7511.450981937623,3541.0692435367855,1014.9599313681789,122.0604296910383,16.103318814986515,934.6884840831123,24.108421627348623,109.25473947054704,17.622417411953798,3.938556916769001,97.37625830344075,0.8901796602027627,7.004496129053251,0.0033339958561599764
0.28,1.31012,0.005,0.861071429,0.133928571,752.6088449471223,28.23253669237346,1092.0377947524096,124777.9015119657,857080.0966667134,292.27700564099086,7503.275769906664,3426.663601736,975.1007811719574,111.19700958329456,15.016365529792001,875.5457222081145,22.092562111405407,103.18334791367036,17.336998253115144,3.494711434733202,100.17027359956619,0.8263204725878157,7.059559138222512,0.0033415071910947594
0.25,1.46734,0.005,0.845,0.15,762.5563614560837,28.67250998711959,1090.4970582847377,140883.21691567908,841212.9330323321,265.2969452749912,7490.249647032938,3302.4147037431567,928.8135860817171,99.94848086071143,13.900385533900586,811.7930829736183,20.05294838151815,96.96722618439837,17.021297498676528,3.0574690883208873,103.13333974388063,0.7587044872983356,7.113453983994995,0.003348763023564062
0.23,1.59493,0.005,0.831956522,0.163043478,769.286704127691,28.969166589742347,1089.54563109079,153950.8953333541,828319.5887340179,246.8446046328024,7478.206268768578,3213.1527205991833,893.8975083154809,92.2169632436601,13.136236800582717,766.4484419425052,18.679285265966723,92.73047364299804,16.793166502278172,2.769966561050117,105.2080677205648,0.7111733544784524,7.148630357206502,0.003353348526721329
0.2,1.83417,0.005,0.8075,0.1875,779.4996580440444,29.419545494695132,1088.298343589732,178444.91385175294,804114.6624509,218.4160524330083,7453.726583289565,3067.7607773039517,834.581439136509,80.24323655758845,11.951698417015946,693.6908731435896,16.596786627462404,86.2106364054593,16.42299662247908,2.3453468904785915,108.4740360133533,0.6355301052790168,7.2001220826422845,0.0033595716468683597
0.19,1.93071,0.005,0.797631579,0.197368421,782.9238185018212,29.571223793328016,1087.9493931115405,188325.69459925563,794338.6312463887,208.7293335367171,7443.49682266913,3015.774010446725,812.7657049590476,76.14671635221998,11.54458676715563,668.070582047467,15.896523920062904,83.98658459456001,16.291736418754688,2.2057396207307844,109.60342925241686,0.6090030006749507,7.216931094615511,0.0033613905759809297
0.17,2.15785,0.005,0.774411765,0.220588235,789.7709021413523,29.877079628230334,1087.3893674298497,211568.80984074637,771319.4199549182,189.0249142945489,7419.243546717746,2905.691475537972,765.7528723440362,67.7907841238583,10.708146503569743,614.6140535775985,14.486506657664181,79.44878401931875,16.016418950348633,1.9297306941982355,111.91938550471126,0.5537236203879972,7.250040572785993,0.0033644806506898713
0.15,2.44557,0.005,0.745,0.25,796.5530058255301,30.186300142670447,1087.0670070713345,240999.59259994535,742134.1354234092,168.86451799066353,7388.946681957202,2786.3613392919483,713.8588060184433,59.21756261550819,9.83679460711906,558.0160151812623,13.063441448120612,74.7711551992923,15.722037651596548,1.658430214506975,114.29966834251488,0.49517350120440395,7.282614998689654,0.0033665992194270456
0.13,2.75147,0.005,0.706538462,0.288461538,803.1350427657289,30.498329921595882,1087.0593954153228,279470.9187126269,703933.1618479241,148.235435211278,7351.1147252197225,2656.2348168838034,656.6350951041297,50.437905356075966,8.922815850859417,498.05934106004133,11.626835263135957,69.92131928440195,15.404194543177526,1.3925023041604634,116.71442775454209,0.4329943574877695,7.315089964781634,0.0033673897386312297
0.11,3.33486,0.005,0.654090909,0.340909091,809.251665199733,30.810873794179244,1087.4531657835819,331909.5804429673,651793.3624796357,127.13478759337364,7303.778296189467,2513.4831298390654,593.682616161677,41.48506303049863,7.956643829176221,434.55886628716905,10.176111041412316,64.85294163108875,15.053878897496872,1.1328579824013851,119.09932073070247,0.3668982969354991,7.3485199121281655,0.003366424648716204
0.1,3.66835,0.005,0.62,0.375,811.9833929637439,30.965563882732397,1087.8272518945864,365983.6855038017,617880.576510407,116.41111946704085,7275.742696215583,2436.7253792278425,559.9733252469733,36.96471669406642,7.450433920652969,401.4420986337623,9.445209796151714,62.2163377876396,14.8612082159813,1.005784235100165,120.24200907151749,0.3323438895522384,7.36626455368816,0.0033651354113922983
