phi,O2_molecules,CPT_frac,N2_frac,O2_frac,C5H8(522),C5H8O(825)rs,CPT(563),O2(6),N2,H2(2),H2O(5),CO(12),CO2(13),CH4(33),CH3CHO(41),C2H4(52),C3H6(131),C3H4O(165),C4H6(227),C4H8(253),C5H6(478),C6H6(970),HO2(8),OH(4)
3.0,0.12233,0.005,0.9825,0.0125,481.2705595227782,27.75406086441968,2336.9159813213173,8587.74001385836,978552.2756915569,740.0048917173212,3278.0748789286195,2253.746749616105,234.3957411740911,261.57358716128414,39.05559711233312,1491.2754977242616,120.01215253403264,343.6281019127359,21.84714925662345,40.63360179291576,81.04264484883204,2.9720249830776106,1.9642498935757349,0.000969723784945201
2.0,0.1835,0.005,0.97625,0.01875,465.7238340726506,33.29753843875546,1599.2114809474936,12207.775058217401,970593.8990403368,908.6122355202717,5300.102107973509,3986.352664431194,555.9386227338989,356.7490760698105,50.58607399636675,1740.7068394837897,109.02319067359711,317.7114392474986,22.76120922035461,33.15074026484956,74.06253816027244,3.6725474629755035,3.450775861546517,0.0018992403886413096
1.75,0.20962,0.005,0.973571429,0.021428571,462.7873520865379,34.69372500878768,1452.9531841940566,14164.931112161825,967594.2802294872,915.4760558616952,5859.9864672034555,4389.510326665699,669.658890868582,358.65609940450736,50.32563559185876,1739.5970992166058,99.57480326732619,298.50094693421227,22.15254976070313,28.76989087270146,72.17482563937324,3.475946882887424,3.958443573971744,0.0022032604220087516
1.5,0.24456,0.005,0.97,0.025,466.17700142052246,36.527605422402814,1334.1262914421404,17076.384272608233,963841.4811017226,890.4956385636879,6382.159807835541,4677.589622360966,787.4574145574591,345.7695114554898,47.91524007633812,1699.6018699925098,87.92659202664518,274.5387848308736,21.46937292114282,23.941467354553446,71.57052940719,3.140537793196563,4.501932692070931,0.002502762223053956
1.25,0.29347,0.005,0.965,0.03,478.84443629599735,39.08223993022292,1244.9646032133733,21536.45117832775,958850.8520075795,826.744265196943,6827.065593871926,4792.1532462571,895.7123060438537,317.2090008348877,43.320109908792304,1616.172381182662,74.83653800826279,246.2016216414291,20.876320797643068,19.052324353792066,72.93154929464626,2.711038649002242,5.058198334791468,0.002768224888897727
1.1,0.33349,0.005,0.960909091,0.034090909,491.7563153018778,41.05975929076744,1205.2217379562424,25382.106383235503,954872.727304687,769.0514084140634,7043.7113892697935,4760.273797458205,948.0466374623635,292.8860614703615,39.64246405300707,1543.218272510442,66.58520115243869,227.1849931692566,20.58493442583471,16.211256756352373,74.91609143544731,2.4264442390479557,5.387959865476441,0.002900628199626139
1.0,0.36699,0.005,0.9575,0.0375,502.73555492506927,42.58650094194339,1183.9719138568648,28665.727562712316,951586.9531189264,722.8278255377576,7164.413766186746,4693.912236916088,974.4548745267825,273.9274707600549,36.876497336230464,1484.0340319164668,60.98548427450995,213.671539333961,20.40317120601731,14.379474522489147,76.78208270703372,2.229968209947673,5.603235535709075,0.002975647221580936
0.9,0.40744,0.005,0.953333333,0.041666667,515.6534655534637,44.28854126891001,1166.5431678286905,32739.677712163546,947583.8196906048,670.8041316102021,7265.208876295018,4590.482766912333,991.9295318026046,252.9499445214661,33.904112458775224,1415.5405648712017,55.3284994047035,199.48355138542257,20.211492141457594,12.604474354901349,79.1090185579061,2.029739862249584,5.8134720140366785,0.003039678798397466
0.75,0.48933,0.005,0.945,0.05,538.6880277960422,47.179595118239206,1146.7757143908411,40999.330941359796,939575.4369423671,582.864256046916,7377.849097738741,4364.248309977054,996.584220075094,218.03944813387972,29.142739290213267,1292.9849453726076,46.755573548912594,176.91755112335605,19.847438471291934,10.05468649232972,83.50913962566915,1.7240519235762553,6.1170403026946785,0.0031155315550867634
0.65,0.56436,0.005,0.937307692,0.057692308,556.4772503849142,49.33467738044774,1137.3138107442053,48689.00979390206,932157.5003430299,518.3237042315619,7426.254930185961,4164.310296828004,981.3944223678637,192.68371299350886,25.818465721664968,1195.8967973824322,40.98635267089138,160.99831502165736,19.502492897102957,8.432210271588756,87.07791121484175,1.5169624356674485,6.309995636956996,0.003153437386371426
0.6,0.61116,0.005,0.9325,0.0625,566.0989889129205,50.480423876798866,1133.570085889123,53510.2489707561,927506.3020480836,484.44942365554454,7442.006569654493,4048.777081804771,967.0583418427478,179.428786113275,24.122796401375727,1141.9967755946539,38.085389336417315,152.76800760042894,19.283486301241727,7.644819585649182,89.06016304970626,1.412279500276212,6.4031879386255595,0.0031688660718856313
0.55,0.66697,0.005,0.926818182,0.068181818,576.2056837625485,51.67145529905773,1130.438165595277,59216.03988733879,921995.2653689786,449.57249976148063,7451.763522981389,3922.2235730653892,947.5317430099689,165.80540763812994,22.408760286045876,1084.104206239081,35.1731467591727,144.35094472034237,19.0255591649317,6.873825627558121,91.17754003432826,1.3066692493546717,6.493936049895533,0.0031820635348128734
0.5,0.73349,0.005,0.92,0.075,586.7997177011645,52.90771892616395,1127.8945851212345,66069.08487122983,915363.682921794,413.7348843090493,7455.098155226803,3783.9274472418056,922.1863503967346,151.8218716047536,20.678474238129272,1021.8381151175897,32.249215403488385,135.73958657368038,18.722524637765854,6.119819684293098,93.43247999927341,1.1999339521730619,6.5820029215091225,0.003193091499424138
0.45,0.81519,0.005,0.911666667,0.083333333,597.8865953457633,54.18943064072084,1125.9311812146523,74448.68949221035,907234.866165313,376.9698583908064,7451.386885326606,3632.8899466394655,890.2821954091544,137.48230754468452,18.933082369547275,954.7536972630196,29.313043414631625,126.92261897761945,18.368179717982887,5.383629406128837,95.82745347766513,1.091801626667489,6.667098452529942,0.003201963912460952
0.4,0.91709,0.005,0.90125,0.09375,609.4763412510874,55.51737004126978,1124.5638996377122,84923.56828560465,897043.5672241884,339.29996929301274,7439.71834401548,3467.732014620373,850.9379853390457,122.78559643826118,17.172392535293806,882.3293535020948,26.363832893855438,117.8828449395498,17.95653119461359,4.666368022942704,98.36490377144275,0.9819041663684519,6.748864697209736,0.003208610959756412
0.35,1.0482,0.005,0.887857143,0.107142857,621.58466259106,56.89335320619519,1123.8470538203294,98386.99657569376,883901.151040419,300.73484697768026,7418.752268264104,3286.5462920345426,803.0942005777462,107.72423134044114,15.394306594662213,803.9511784171101,23.40034622273874,108.5938144081123,17.48205819030595,3.969477185078007,101.04692397660304,0.8697463763881326,6.826864160586052,0.003212821532987269
0.31,1.18334,0.005,0.874032258,0.120967742,631.6584449119861,58.03104926808903,1123.8169571573296,112277.24917288839,870298.8101415809,269.2350187546029,7393.975883874087,3128.3087740401115,757.8470887333565,95.40296964385541,13.956124992289993,736.4796003829315,21.017960650789167,100.95607806510858,17.053961288953474,3.427827543663881,103.29712151313151,0.7779529327089564,6.886210026033477,0.003214147263560757
0.28,1.31012,0.005,0.861071429,0.133928571,639.4461249272786,58.90773515975068,1124.175140045705,125291.99439903458,857520.8409724509,245.22591077963847,7369.80155973367,3000.720379636864,719.3443978531832,85.99655776098727,12.865568118894922,682.817246705158,19.22339783696053,95.08740058941093,16.70310060296385,3.031546577133906,105.0447836777773,0.7076211071106653,6.928759884032723,0.003213704194831696
0.25,1.46734,0.005,0.845,0.15,647.4338052809693,59.80641726656786,1124.9294554752503,141420.86466819904,841649.0584593097,220.87967516650718,7339.92922390704,2864.4294000644895,676.5179658864845,76.44298984674604,11.761763774080507,626.3113119128917,17.421112576653385,89.07806624863366,16.32558008051594,2.6443669368032166,106.84114082875928,0.6357681768049064,6.969524771234425,0.003211758860044786
0.23,1.59493,0.005,0.831956522,0.163043478,652.8661711495815,60.418818948857876,1125.6951763406348,154503.97918764106,828749.9396283149,204.45698753949642,7316.324921633672,2768.1529113848346,645.3651607964911,69.99020297295708,11.01665989476641,586.9538667133305,16.214656334277226,84.98148566100909,16.05841174911761,2.391579178645696,108.06291543746953,0.5868938244028943,6.995691062202892,0.0032094608802049306
0.2,1.83417,0.005,0.8075,0.1875,661.1553337922794,61.35902768416585,1127.32290533058,179020.19239738214,804530.9894211867,179.52700929202823,7274.3689552591195,2614.5608159648714,594.4141141339022,60.18461827189041,9.881346027647204,525.2173851856111,14.396283523236173,78.67643347605218,15.63270162326159,2.0208461467561447,109.92282088546726,0.5119113153283463,7.033494040128509,0.003204179821523979
