phi,O2_molecules,CPT_frac,N2_frac,O2_frac,H2(2),OH(4),H2O(5),O2(6),N2,HO2(8),CO(12),CO2(13),CH4(33),CH3CHO(41),C2H4(52),C3H6(131),C3H4O(165),C4H6(227),C4H8(253),C5H6(478),C5H8(522),CPT(563),C5H8O(825),C6H6(970)
3.0,0.12233,0.005,0.9825,0.0125,739.9667394533802,0.0009699874290929884,3278.657362623961,8587.331666848333,978551.6793950046,1.9646669736618292,2254.1363928214587,234.4534328959913,261.5359231960751,39.032714914392656,1491.718664841927,120.0383041871505,343.50778678525126,21.846757141571896,40.62526624518349,81.03125078730082,481.236047206437,2336.686727153099,27.748964717392965,2.9725029037112476
2.0,0.1835,0.005,0.97625,0.01875,908.566212285262,0.0018999819133520704,5301.229710979563,12206.878518222402,970592.950244961,3.451433623426444,3987.1346593551893,556.0761601609007,356.6861438877397,50.56749224677974,1741.208174570999,109.05705803541908,317.5773503583744,22.756769166621723,33.142534864315486,74.05204053606947,465.64029163467507,1598.884731240635,33.283978777103734,3.672937893307839
1.75,0.20962,0.005,0.973571429,0.021428571,915.4336732346371,0.002204237652933048,5861.341618047935,14163.802893696073,967593.1960877574,3.959214889628453,4390.471219877559,669.8361679165669,358.59136215332427,50.30990690086165,1740.088200414459,99.60840378219623,298.3663753084495,22.146380757952063,28.76199589801258,72.16344051370686,462.6817756634329,1452.5911746886875,34.676905629203546,3.4763275671884166
1.5,0.24456,0.005,0.97,0.025,890.4565742243286,0.0025040256636463813,6383.769841397046,17074.986856302818,963840.2682047032,4.502849481148448,4678.743608499972,787.6829079335731,345.70516659667777,47.90284714189836,1700.0630894231474,87.95857276017007,274.4054308168314,21.461181249309185,23.933905352866397,71.5573379439698,466.0431332281951,1333.7260491823035,36.50675131400781,3.1409164758795156
1.25,0.29347,0.005,0.965,0.03,826.704049860769,0.0027698062083053544,6828.930923549179,21534.77617026511,958849.5549484439,5.0592952774459965,4793.480145875268,895.987185042923,317.14656906116556,43.31118367142383,1616.5790580298378,74.86546223395392,246.07169473048802,20.86594256066353,19.045158334864546,72.91529586162227,478.6735640550258,1244.5240661488385,39.05627086735796,2.711424057513741
1.1,0.33349,0.005,0.960909091,0.034090909,769.0060094367105,0.0029024026942330414,7045.710646849333,25380.28261048384,954871.4252641749,5.389182364743426,4761.673718208453,948.3447603702773,292.82497551895386,39.635492697397204,1543.5777480492734,66.61157513197239,227.05836882687368,20.57326709053569,16.204395092151127,74.89715656956103,491.5573097723877,1204.756590568083,41.03002694873261,2.4268339384385027
1.0,0.36699,0.005,0.9575,0.0375,722.7761745129128,0.002977546325641866,7166.484332936533,28663.82337641383,951585.6780467598,5.604549368462563,4695.338595134447,974.7619935811545,273.8671080368149,36.870705899560505,1484.3546416561435,61.00984570047136,213.54765919838684,20.39070678413628,14.372857716766957,76.76087940269446,502.5144447182531,1183.4905756318353,42.55389945502613,2.230357246060781
0.9,0.40744,0.005,0.953333333,0.041666667,670.7433642768244,0.003041695474861521,7267.32757428843,32737.718219772498,947582.6050913801,5.814883552222371,4591.910162128246,992.237177063372,252.8899703536551,33.89935484940927,1415.8151530296775,55.35058770115875,199.3628282894058,20.198324521786066,12.598143192025985,79.08505117393045,515.4068577619742,1166.0462980247028,44.25273648701322,2.0301218077168817
0.75,0.48933,0.005,0.945,0.05,582.7829959069826,0.0031177013229994393,7379.9697539079725,40997.36632295085,939574.4018083217,6.118610864385217,4365.608063954739,996.8677844808881,217.97895830098406,29.139146540008504,1293.1735340455382,46.773742317704595,176.80219756132502,19.83350661070234,10.04886767042094,83.47978612976031,538.3949145188801,1146.2586577797108,47.13826820026838,1.7244010033845107
0.65,0.56436,0.005,0.937307692,0.057692308,518.2230365824315,0.003155682607070649,7428.3003863729255,48687.12762160044,932156.6701862105,6.311680716444089,4165.556366432426,981.6366374777424,192.6217621226024,25.81529183070884,1196.0132993142272,41.00155658202867,160.88676311400664,19.48834295491971,8.426785247574845,87.0438290316837,556.1458254172895,1136.7878118875753,49.28913625424874,1.517265227006768
0.6,0.61116,0.005,0.9325,0.0625,484.3369521907131,0.003171136152398833,7443.979009951093,53508.44797964079,927505.6099696993,6.40493277864521,4049.936825104038,967.2691123941598,179.36565594589402,24.119688710674914,1142.0715954512727,38.09900362432393,152.6583297469918,19.269343653204476,7.639602626371181,89.0232549830966,565.7455598660239,1133.0421159573316,50.43260723908945,1.4125485333011056
0.55,0.66697,0.005,0.926818182,0.068181818,449.4466288619515,0.0031843462186817964,7453.630522228841,59214.35670752824,921994.741500097,6.495742220633687,3923.2713823287086,947.7019399410135,165.74074641702217,22.40560095090207,1084.132888525958,35.18510037920271,144.24305425185995,19.011514099971066,6.86881996234948,91.13741809264089,575.8279423199865,1129.9107715917642,51.62125245554538,1.306895553215148
0.5,0.73349,0.005,0.92,0.075,413.5938605239264,0.00319537029728593,7456.817694166323,66067.56696830495,915363.3637578064,6.583871854023373,3784.8315629747112,922.304979215653,151.75529224905358,20.67512327906485,1021.8155895011204,32.259438817005254,135.63332100446559,18.70867495793373,6.115023667071574,93.38867075304388,586.3949484621738,1127.3713314252948,52.855026534505235,1.2001068508135195
0.45,0.81519,0.005,0.911666667,0.083333333,376.811772321121,0.0032042161606285814,7452.903626869636,74447.39933756401,907234.7962415745,6.669031370616474,3633.610504048206,890.3359861174454,137.41339881010066,18.929371509381554,954.6742139691053,29.32147028481684,126.81771046848273,18.354626427536367,5.379034776949311,95.77936475980204,597.451555958822,1125.4171180887188,54.13416162543131,1.0919084877302219
0.4,0.91709,0.005,0.90125,0.09375,339.12277947341374,0.0032108047630329518,7440.958024463914,84922.58966107033,897043.8012115661,6.7508625504423465,3468.2183422608405,850.9109020728808,122.71394781966468,17.16811671419869,882.186454819738,26.370403015287238,117.77887688523317,17.943369754991526,4.661957915683916,98.31177063081579,609.0070849467603,1124.0663024551225,55.45946854426136,0.9819301698795646
0.35,1.0482,0.005,0.887857143,0.107142857,300.53645339358957,0.0032149108154867234,7419.612996978836,98386.44444333,883901.7561785841,6.828927611078752,3286.7331657818036,802.9668999276078,107.64948546812803,15.389212238355746,803.7377684588051,23.4050109420576,108.4901563678136,17.469361345157978,3.965224153831872,100.98771579289269,621.076259734213,1123.3766278856592,56.83282000839387,0.8696744102675396
0.31,1.18334,0.005,0.874032258,0.120967742,269.01822266662566,0.0032161050715663743,7394.432827692839,112277.15200009826,870299.7705053617,6.888326346336737,3128.196114815133,757.6231555713404,95.3255910425838,13.950150474830423,736.2044296589908,21.02108036004248,100.85200838407353,17.041652128849368,3.423672509597829,103.23202730296312,631.1142237146763,1123.379550217668,57.968476536690254,0.7777889031874659
0.28,1.31012,0.005,0.861071429,0.133928571,244.99461451674935,0.00321552445375052,7369.877333002943,125292.32743375823,857522.1069103797,6.9309162262478,3000.3397488349174,719.0370715690043,85.91722173025735,12.858774878146818,682.4927227822984,19.225359483239075,94.98249453198332,16.691055827086554,3.027445251324216,104.97445054155799,638.8717199052561,1123.7717866081402,58.84372334646859,0.70737968844018
0.25,1.46734,0.005,0.845,0.15,220.63351150712757,0.0032133966890348156,7339.536931470048,141421.7274450273,841650.6664516088,6.9717218578752735,2863.736388029811,676.1170565850609,76.36185223181008,11.75399237677969,625.9351843177955,17.421932527981138,88.97173517077063,16.31373148143352,2.640300900111753,106.76460677407945,646.8256389053997,1124.5709747744443,59.741100027639895,0.6354424960463789
0.23,1.59493,0.005,0.831956522,0.163043478,204.20089466389427,0.0032109451413229123,7315.560600234312,154505.2646092542,828751.796261659,6.997916126483934,2767.2233056115,644.8959712221923,69.90805229196856,11.00813614718263,586.5424327852348,16.21473549477917,84.8738019030069,16.046623539820114,2.3875268388380477,107.98154277918573,652.2330445920896,1125.3743850406104,60.35273986042978,0.5865086658186646
0.2,1.83417,0.005,0.8075,0.1875,179.25647734718487,0.0032053715711663384,7272.933453983805,179022.24529776446,804533.2470966531,7.035763547836311,2613.2280605405754,593.8337663625058,60.10146920102784,9.87152578706047,524.752628109401,14.395309172131867,78.5659817091457,15.620821421253092,2.016803288513408,109.8327471001958,660.4800676728098,1127.0739412223718,61.29203573447866,0.5114337848240593
0.19,1.93071,0.005,0.797631579,0.197368421,170.86126038544498,0.0032029219182068496,7256.689804853263,188910.3271619315,794750.9067675377,7.048039731270395,2559.1898402990546,575.6199556897792,56.79974140886643,9.486927762335872,503.4013323578614,13.786213850715464,76.41408376915297,15.471573181614092,1.8955787527451073,110.45331463964166,663.2562667844235,1127.7941669292734,61.611249922873306,0.4859186570800095
0.17,2.15785,0.005,0.774411765,0.220588235,153.94791841555406,0.003196981292812371,7220.67723921278,212167.28215335283,771715.7545080105,7.0722289508541785,2446.633697041734,537.3089133048609,50.15010848308586,8.707327289874375,459.5159673706748,12.563505763316767,72.02418126991991,15.160554436663435,1.6568241731085764,111.69101047536606,668.8237428706672,1129.5038028183453,62.258985170914556,0.4340904277572231
0.15,2.44557,0.005,0.745,0.25,136.8687458531683,0.0031894561452601063,7179.314820113784,241610.60777757905,742509.1150583017,7.0962537657190925,2327.58105424055,496.3964608479777,43.44646338118249,7.911366662829743,414.00222844093753,11.333971735759281,67.50198155148972,14.829829414057855,1.4232221177318534,112.90724372237075,674.3579370567794,1131.6207822743274,62.91842429431819,0.38114241203134747
0.13,2.75147,0.005,0.706538462,0.288461538,119.6228908205618,0.003180095250810706,7131.65220258578,280092.87533961976,704279.818358257,7.120806159461565,2201.353597148314,452.8092047224942,36.70547600180662,7.095480034332413,366.8114862220608,10.096456110160553,62.82058185281841,14.47328333646519,1.1951199959687608,114.0675700787577,679.7454333603158,1134.2049506461299,63.586680109764266,0.32704409055332284
0.11,3.33486,0.005,0.654090909,0.340909091,102.21289686764212,0.0031686575308138916,7076.47387074512,332540.75662816653,652102.5101719027,7.147232354015826,2067.2522507403364,406.55392711105395,29.958639036407824,6.255405531951842,317.9255000822624,8.849534547180967,57.943322985698536,14.079584693866114,0.9730266876751854,115.10712260227866,684.767245477564,1137.3075472992207,64.25601429831735,0.27185044071036585
0.1,3.66835,0.005,0.62,0.375,93.44888535877507,0.003162099335147799,7045.578402317016,366618.9274098185,618166.5313732343,7.161906311184092,1997.0480965009253,382.4698812748648,26.599724741316752,5.824807577959315,292.85720609055517,8.22200707405424,55.415776666222854,13.86263199573845,0.864474495382163,115.54540525496914,687.0181864653599,1139.0618288426033,64.58603364838434,0.24390443834340592
