phi,O2_molecules,CPT_frac,N2_frac,O2_frac,H2(2),H2O(5),O2(6),N2,HO2(8),CO(12),CO2(13),CH4(33),CH3CHO(41),C2H4(52),C3H6(131),C3H4O(165),C4H6(227),C4H8(253),C5H6(478),CPT(563),C5H8O(825),C6H6(970),OH(4),C5H8(522)
3.0,0.12233,0.005,0.9825,0.0125,735.1840800325216,3282.057901500588,8592.46492737304,978549.8394889821,1.9529766379582365,2251.9189328395423,233.5428948575469,261.7355564950454,39.228275260044754,1493.7575746113496,121.81086423381066,347.85650789304697,22.399459127788884,41.321516345412384,81.68195919720961,2336.326496508033,27.657535760119863,3.0079347911593075,0.0009712523614656413,480.75716097502345
2.0,0.1835,0.005,0.97625,0.01875,905.6404991699699,5331.314196850953,12183.63330529489,970557.2854031767,3.4394320486495396,4014.496717203949,558.2616784249298,360.1312047789194,50.99919546532369,1751.647215282807,111.94624810673648,323.52353562262317,23.575191077018477,34.12792536560866,74.59976633501338,1590.4106801143575,33.03129081647022,3.7756105393223627,0.0019172876720572713,463.3877704860424
1.75,0.20962,0.005,0.973571429,0.021428571,914.1381164795924,5904.75237470286,14124.207341109948,967541.0959648027,3.9516835642605734,4434.168811383328,674.4443465302328,363.09160591925354,50.80714290917788,1754.121205483321,102.59099635081164,304.42358575392325,22.95899631359265,29.70073682637737,72.53742635559696,1441.3169879043594,34.334324402616,3.584822040098891,0.0022315729976488054,459.398375220622
1.5,0.24456,0.005,0.97,0.025,891.0410950046864,6442.678839835568,17015.72355494022,963769.7574884836,4.502892830879333,4741.131515811852,795.7138509527102,351.1222351717366,48.431234939349075,1718.2922392524245,90.90158583167135,280.41953635498766,22.23674386463096,24.781159059695568,71.71976755569582,1319.6707430874837,36.05228914314063,3.2472582028540544,0.0025441186078082037,461.52697509477196
1.25,0.29347,0.005,0.965,0.03,829.0190256199543,6903.838829493652,21454.512688085742,958760.9255015642,5.069771517517675,4874.309675311249,908.2846307791235,323.21671082521823,43.817717926741345,1639.545080416247,77.64955833294252,251.90140599146957,21.587302540319914,19.782372721113184,72.85264238056179,1227.9434581285502,38.4720018567806,2.8096397548235372,0.002824015697145064,472.7960783448995
1.1,0.33349,0.005,0.960909091,0.034090909,772.1438883340553,7129.6672990689085,25287.682178436986,954773.0711630019,5.4069397037876445,4852.366914054837,963.4034076724986,299.13251871119365,40.10494567870636,1569.548226621634,69.25473727333228,232.71594561122822,21.26014994725553,16.879456447778974,74.69988519985075,1186.8469112580513,40.36096481105416,2.5185272713978564,0.0029648986696011862,484.8255066131799
1.0,0.36699,0.005,0.9575,0.0375,726.3463426941137,7256.02752942895,28563.330194958296,951481.622368981,5.627439891835218,4791.848084820036,991.6400472069979,280.26268933236105,37.309234901155435,1512.3128266651595,63.54251412567179,219.06614903972022,21.05506064247895,15.011886787719249,76.47489626283583,1164.7822864932295,41.82585179876404,2.317323791652094,0.0030452212218121714,495.20184103804024
0.9,0.40744,0.005,0.953333333,0.041666667,674.6447621900904,7361.995966767836,32629.68721339634,947473.6621776388,5.843041942639309,4693.51781757325,1010.8367085630646,259.3111369810212,34.30550231342915,1445.6597275783417,57.75930001271617,204.72333086372709,20.84063692536678,13.20734249711988,78.7112592998617,1146.61470492667,43.464058149566114,2.112134471685517,0.003114136696299417,507.50675322404925
0.75,0.48933,0.005,0.945,0.05,586.9754618161938,7481.223259333368,40878.87840460354,939460.1617615338,6.154729693360268,4473.276803075613,1017.6588299141574,224.29549918887204,29.502149291062295,1325.3840196379697,48.9676396450202,181.89191926173797,20.442733341781285,10.628226500732188,82.97650753932074,1125.9084958560932,46.25697194210211,1.7984865802509782,0.0031962520191834965,529.6114690606511
0.65,0.56436,0.005,0.937307692,0.057692308,522.4528915648115,7532.9440638807455,48562.45568927091,932040.7938239854,6.352966190414215,4275.943744574225,1003.4333896765464,198.7415322908976,26.1591440758387,1229.2162832160302,43.02870472739125,165.77521773154166,20.07406113054123,8.99830520394392,86.4572245586964,1115.9762870094353,48.347139948128415,1.5855275573980692,0.0032373725631132657,546.7891479446266
0.6,0.61116,0.005,0.9325,0.0625,488.53006112758493,7549.896765672165,53381.02969805906,927389.7017368432,6.448688851205854,4161.16874865459,989.3615941091243,185.33615412397302,24.458421642108597,1175.4952373273961,40.034266039049605,157.44052139852255,19.842296999087736,8.211337965638965,88.39681331584262,1112.0655692054343,49.461665422167925,1.4776384419226558,0.003254018342891682,556.1157788721191
0.55,0.66697,0.005,0.926818182,0.068181818,453.5605369328159,7560.450005949392,59084.50958515025,921879.4706340161,6.541844843270655,4034.9186046199316,969.9089694221715,171.5200508842762,22.742851931709303,1117.533848749616,37.0220750961126,148.91546595488447,19.57068917825517,7.443714144974026,90.4731089700185,1108.8287542714995,50.62315045470232,1.3685727077775058,0.003268099039397192,565.9409322887686
0.5,0.73349,0.005,0.92,0.075,417.58097897607934,7564.063353167537,65935.70868380739,915249.5467497434,6.632144597826059,3896.371921804256,944.404328744305,157.29401269131193,21.01498300058797,1054.8955943859237,33.99117170203258,140.19248626782084,19.252761249475704,6.696088377643122,92.68928847353789,1106.2611553105048,51.8325076061495,1.2580662934391642,0.003279594653799083,576.2742538409793
0.45,0.81519,0.005,0.911666667,0.083333333,380.61864914331926,7559.954551323559,74314.09002136183,907123.4390214996,6.719226778496806,3744.39649599939,912.0556355128922,142.65343167868872,19.276320006616466,987.0705874068474,30.940482948087006,131.25995620686624,18.881989629225387,5.9692205860226535,95.04877894947148,1104.3810024393206,53.09131013503695,1.1457670171038614,0.00328840459115253,587.1312848726757
0.4,0.91709,0.005,0.90125,0.09375,342.6896138000266,7546.985975406787,84788.59327852244,896936.1549589257,6.802636049496761,3577.4326371218804,871.9187765038997,127.587321054757,17.52692663415922,913.461966794114,27.868754334051392,122.09980707432767,18.45203601847228,5.263902103282071,97.55518071130706,1103.2417933399183,54.402256465510256,1.031211733749853,0.003294296021433352,598.5358347618786
0.35,1.0482,0.005,0.887857143,0.107142857,303.79714380077894,7523.4884644083995,98252.82035195665,883799.3923344163,6.881801143607339,3393.326456116967,822.8594558475552,112.07759543003084,15.76480370923023,833.3708698811463,24.77439253380582,112.6836448188113,17.95701419500679,4.580763750683604,100.21181287365214,1102.9522873386545,55.76989917443348,0.9137962083290804,0.0032968216008875994,610.522375710464
0.31,1.18334,0.005,0.874032258,0.120967742,271.9828362484356,7495.477798984024,112144.87582095394,870203.0440935391,6.941614560384057,3231.725282404788,776.277576902948,99.3338806905274,14.342670833332795,764.086875621708,22.28112892673787,104.93674919170236,17.51059481236497,4.050289193562772,102.44638445103631,1103.460772084171,56.90975194938866,0.8172856934729951,0.003295900146044735,620.560986167891
