phi,O2_molecules,CPT_frac,N2_frac,O2_frac,C5H8(522),C5H8O(825),CPT(563),O2(6),N2,H2(2),H2O(5),CO(12),CO2(13),CH4(33),CH3CHO(41),C2H4(52),C3H6(131),C3H4O(165),C4H6(227),C4H8(253),C5H6(478),C6H6(970),HO2(8),OH(4)
3.0,0.12233,0.005,0.9825,0.0125,451.70824154316387,21.777543378598295,2589.037241070786,8900.12579574583,978789.3736519263,743.3547896905454,2988.5818651368163,2131.299992038889,216.5224268956046,236.89504679415023,37.44687283756613,1392.604047107309,68.74888309008998,339.6373980640048,17.703598387120355,27.858193072890792,66.44310563760205,1.8341504380580944,2.308992399170203,0.0008465597326780478
2.0,0.1835,0.005,0.97625,0.01875,466.58519279470096,27.36175542369513,1835.146635095461,12723.7451566115,970936.9573778117,895.7498652298044,4881.242006605815,3686.1048379393847,502.63832713642745,333.6701158563258,46.98587297608179,1661.9452379711045,62.82389345817283,325.7127840063002,20.087772547470998,23.85859982771871,67.7769267171479,2.5856880572698273,3.7357290617557974,0.001645523648537099
1.75,0.20962,0.005,0.973571429,0.021428571,475.12403508812395,29.20397816889732,1706.2223118847787,14841.044501328408,968043.9542010896,884.5714244105129,5329.782957079372,3957.545082496655,591.6049549988595,334.735329889967,45.634526225137165,1655.2748963418514,55.97949574376611,308.4115669146956,19.835815337449013,20.63805352020584,68.40343750757985,2.4781361233256964,4.185036139224969,0.0018618116301799001
1.5,0.24456,0.005,0.97,0.025,26.89344276683114,0.5135345258164319,4964.571880994655,24977.75454128542,969975.5853784697,6.712722192243131,26.506001072599314,2.748029259450724,0.044461204106014195,0.2295246099003685,0.01401025750264496,7.756572944144373,0.18277513469459164,3.936954417529546,0.05770332531254313,0.003546020449104296,0.6314970503385638,9.837071483340794e-7,0.4983533847239603,5.609916428517399e-6
1.25,0.29347,0.005,0.965,0.03,,,,,,,,,,,,,,,,,,,,
1.1,0.33349,0.005,0.960909091,0.034090909,,,,,,,,,,,,,,,,,,,,
1.0,0.36699,0.005,0.9575,0.0375,,,,,,,,,,,,,,,,,,,,
0.9,0.40744,0.005,0.953333333,0.041666667,,,,,,,,,,,,,,,,,,,,
0.75,0.48933,0.005,0.945,0.05,,,,,,,,,,,,,,,,,,,,
0.65,0.56436,0.005,0.937307692,0.057692308,,,,,,,,,,,,,,,,,,,,
0.6,0.61116,0.005,0.9325,0.0625,,,,,,,,,,,,,,,,,,,,
0.55,0.66697,0.005,0.926818182,0.068181818,,,,,,,,,,,,,,,,,,,,
0.5,0.73349,0.005,0.92,0.075,,,,,,,,,,,,,,,,,,,,
0.45,0.81519,0.005,0.911666667,0.083333333,,,,,,,,,,,,,,,,,,,,
0.4,0.91709,0.005,0.90125,0.09375,,,,,,,,,,,,,,,,,,,,
0.35,1.0482,0.005,0.887857143,0.107142857,,,,,,,,,,,,,,,,,,,,
0.31,1.18334,0.005,0.874032258,0.120967742,,,,,,,,,,,,,,,,,,,,
0.28,1.31012,0.005,0.861071429,0.133928571,,,,,,,,,,,,,,,,,,,,
0.25,1.46734,0.005,0.845,0.15,,,,,,,,,,,,,,,,,,,,
0.23,1.59493,0.005,0.831956522,0.163043478,,,,,,,,,,,,,,,,,,,,
0.2,1.83417,0.005,0.8075,0.1875,,,,,,,,,,,,,,,,,,,,
0.19,1.93071,0.005,0.797631579,0.197368421,,,,,,,,,,,,,,,,,,,,
0.17,2.15785,0.005,0.774411765,0.220588235,,,,,,,,,,,,,,,,,,,,
0.15,2.44557,0.005,0.745,0.25,,,,,,,,,,,,,,,,,,,,
0.13,2.75147,0.005,0.706538462,0.288461538,,,,,,,,,,,,,,,,,,,,
0.11,3.33486,0.005,0.654090909,0.340909091,,,,,,,,,,,,,,,,,,,,
0.1,3.66835,0.005,0.62,0.375,,,,,,,,,,,,,,,,,,,,
