phi,O2_molecules,CPT_frac,N2_frac,O2_frac,C5H8(522),C5H8O(825),CPT(563),O2(6),N2,H2(2),H2O(5),CO(12),CO2(13),CH4(33),CH3CHO(41),C2H4(52),C3H6(131),C3H4O(165),C4H6(227),C4H8(253),C5H6(478),C6H6(970),HO2(8),OH(4)
3.0,0.12233,0.005,0.9825,0.0125,458.60414558518164,26.40921500769321,2240.8083760147374,8206.63513952707,978207.4866587757,783.9782701266839,3481.7974555393416,2545.441794419987,328.0938492748625,328.53048275384856,43.08639367785451,1605.823300162213,97.84623488603482,360.2701730163968,24.90804138614267,46.750017772061696,58.14457016106211,2.9781162045091554,1.9798424241149268,0.001058460953625495
2.0,0.1835,0.005,0.97625,0.01875,420.4031783935208,30.396223554573677,1484.3648896990649,11476.393562874795,969960.3694028587,1005.9632891195696,5693.553752367962,4607.2462200149785,745.2104382511599,451.2104146655823,56.2917048520102,1898.6175713274072,80.64405630223891,329.81455910277526,23.17729811224944,33.40720566313802,48.442476491928,3.2896229579236063,3.6395143425020238,0.0021419158785544903
1.75,0.20962,0.005,0.973571429,0.021428571,415.38353920007603,31.546514794970555,1347.9118103866315,13383.501402656659,966938.9375680684,1016.7094294880098,6269.916023252846,5042.644923871176,889.7832764152109,454.2234621610945,55.45894106864608,1900.1163003272727,70.31098137162276,308.9590645866214,21.862360847980344,27.876140173146037,47.20704350150474,3.0589784344080932,4.188723992125353,0.002476663505356236
1.5,0.24456,0.005,0.97,0.025,418.6195512747896,33.27240085071135,1243.2600340537222,16274.794256049056,963197.5606111072,988.1856052027799,6782.517742919546,5321.475436964907,1041.3147386013263,439.88623659181496,52.1632855740793,1864.8804211955971,58.91115470827533,283.6782028275389,20.69792958960018,22.35071502669727,47.588887560220364,2.7580738255807424,4.757517621734624,0.0027871895622346163
1.25,0.29347,0.005,0.965,0.03,,,,,,,,,,,,,,,,,,,,
1.1,0.33349,0.005,0.960909091,0.034090909,,,,,,,,,,,,,,,,,,,,
1.0,0.36699,0.005,0.9575,0.0375,,,,,,,,,,,,,,,,,,,,
0.9,0.40744,0.005,0.953333333,0.041666667,,,,,,,,,,,,,,,,,,,,
0.75,0.48933,0.005,0.945,0.05,,,,,,,,,,,,,,,,,,,,
0.65,0.56436,0.005,0.937307692,0.057692308,,,,,,,,,,,,,,,,,,,,
0.6,0.61116,0.005,0.9325,0.0625,,,,,,,,,,,,,,,,,,,,
0.55,0.66697,0.005,0.926818182,0.068181818,,,,,,,,,,,,,,,,,,,,
0.5,0.73349,0.005,0.92,0.075,,,,,,,,,,,,,,,,,,,,
0.45,0.81519,0.005,0.911666667,0.083333333,,,,,,,,,,,,,,,,,,,,
0.4,0.91709,0.005,0.90125,0.09375,,,,,,,,,,,,,,,,,,,,
0.35,1.0482,0.005,0.887857143,0.107142857,,,,,,,,,,,,,,,,,,,,
0.31,1.18334,0.005,0.874032258,0.120967742,,,,,,,,,,,,,,,,,,,,
0.28,1.31012,0.005,0.861071429,0.133928571,,,,,,,,,,,,,,,,,,,,
0.25,1.46734,0.005,0.845,0.15,,,,,,,,,,,,,,,,,,,,
0.23,1.59493,0.005,0.831956522,0.163043478,,,,,,,,,,,,,,,,,,,,
0.2,1.83417,0.005,0.8075,0.1875,,,,,,,,,,,,,,,,,,,,
0.19,1.93071,0.005,0.797631579,0.197368421,,,,,,,,,,,,,,,,,,,,
0.17,2.15785,0.005,0.774411765,0.220588235,,,,,,,,,,,,,,,,,,,,
0.15,2.44557,0.005,0.745,0.25,,,,,,,,,,,,,,,,,,,,
0.13,2.75147,0.005,0.706538462,0.288461538,,,,,,,,,,,,,,,,,,,,
0.11,3.33486,0.005,0.654090909,0.340909091,,,,,,,,,,,,,,,,,,,,
0.1,3.66835,0.005,0.62,0.375,,,,,,,,,,,,,,,,,,,,
