phi,O2_molecules,CPT_frac,N2_frac,O2_frac,C5H8(522),C5H8O(825),CPT(563),O2(6),N2,H2(2),H2O(5),CO(12),CO2(13),CH4(33),CH3CHO(41),C2H4(52),C3H6(131),C3H4O(165),C4H6(227),C4H8(253),C5H6(478),C6H6(970),HO2(8),OH(4)
3.0,0.12233,0.005,0.9825,0.0125,481.2688649609548,27.754057013579533,2336.9027824812842,8587.715973462826,978552.2549170121,740.012801307031,3278.100883989734,2253.7671940895325,234.38939814257455,261.5710180451317,39.05594389809829,1491.2790485352932,120.01254961868777,343.62814696731124,21.847496117722745,40.63319237089072,81.04227240120944,2.9720139007089155,1.9642593700676663,0.0009697350978938955
2.0,0.1835,0.005,0.97625,0.01875,465.72100961264283,33.2974555392675,1599.2001105671272,12207.753865834764,970593.8854869942,908.6206807859842,5300.135033115242,3986.3757815690988,555.9229938794398,356.744082404797,50.58621432931658,1740.7007371411376,109.02300144811119,317.71038466909243,22.761487244892283,33.15032023828082,74.06190901000434,3.6725093639103688,3.4507877937440643,0.0018992619281392828
1.75,0.20962,0.005,0.973571429,0.021428571,462.7843346479197,34.69362597943934,1452.9423467200977,14164.913488321774,967594.2713563445,915.4842279775823,5860.0209430083505,4389.532215295011,669.6387062900261,358.6502992446839,50.32566318577838,1739.5867826388967,99.57447798632896,298.4997198624664,22.152815734095718,28.76950656510786,72.17417053245421,3.475904126704217,3.9584547143365754,0.0022032855192821573
1.5,0.24456,0.005,0.97,0.025,466.17370063957964,36.52748105343475,1334.1155822402181,17076.370646358348,963841.4774310982,890.5034923854736,6382.196976980899,4677.610662165311,787.4309517140714,345.7629032180839,47.915139975271444,1699.5862468034074,87.92615980395084,274.5374608767316,21.469630926608957,23.941134072281617,71.5698399261838,3.140492820988447,4.50194200809935,0.002502791900489841
1.25,0.29347,0.005,0.965,0.03,,,,,,,,,,,,,,,,,,,,
1.1,0.33349,0.005,0.960909091,0.034090909,,,,,,,,,,,,,,,,,,,,
1.0,0.36699,0.005,0.9575,0.0375,,,,,,,,,,,,,,,,,,,,
0.9,0.40744,0.005,0.953333333,0.041666667,,,,,,,,,,,,,,,,,,,,
0.75,0.48933,0.005,0.945,0.05,,,,,,,,,,,,,,,,,,,,
0.65,0.56436,0.005,0.937307692,0.057692308,,,,,,,,,,,,,,,,,,,,
0.6,0.61116,0.005,0.9325,0.0625,,,,,,,,,,,,,,,,,,,,
0.55,0.66697,0.005,0.926818182,0.068181818,,,,,,,,,,,,,,,,,,,,
0.5,0.73349,0.005,0.92,0.075,,,,,,,,,,,,,,,,,,,,
0.45,0.81519,0.005,0.911666667,0.083333333,,,,,,,,,,,,,,,,,,,,
0.4,0.91709,0.005,0.90125,0.09375,,,,,,,,,,,,,,,,,,,,
0.35,1.0482,0.005,0.887857143,0.107142857,,,,,,,,,,,,,,,,,,,,
0.31,1.18334,0.005,0.874032258,0.120967742,,,,,,,,,,,,,,,,,,,,
0.28,1.31012,0.005,0.861071429,0.133928571,,,,,,,,,,,,,,,,,,,,
0.25,1.46734,0.005,0.845,0.15,,,,,,,,,,,,,,,,,,,,
0.23,1.59493,0.005,0.831956522,0.163043478,,,,,,,,,,,,,,,,,,,,
0.2,1.83417,0.005,0.8075,0.1875,,,,,,,,,,,,,,,,,,,,
0.19,1.93071,0.005,0.797631579,0.197368421,,,,,,,,,,,,,,,,,,,,
0.17,2.15785,0.005,0.774411765,0.220588235,,,,,,,,,,,,,,,,,,,,
0.15,2.44557,0.005,0.745,0.25,,,,,,,,,,,,,,,,,,,,
0.13,2.75147,0.005,0.706538462,0.288461538,,,,,,,,,,,,,,,,,,,,
0.11,3.33486,0.005,0.654090909,0.340909091,,,,,,,,,,,,,,,,,,,,
0.1,3.66835,0.005,0.62,0.375,,,,,,,,,,,,,,,,,,,,
