phi,O2_molecules,CPT_frac,N2_frac,O2_frac,C5H8(522),C5H8O(825)rs,CPT(563),O2(6),N2,H2(2),H2O(5),CO(12),CO2(13),CH4(33),CH3CHO(41),C2H4(52),C3H6(131),C3H4O(165),C4H6(227),C4H8(253),C5H6(478),C6H6(970),HO2(8),OH(4)
3.0,0.12233,0.005,0.9825,0.0125,436.4841044284122,53.117520570958746,2100.678101532211,7876.573481152508,977872.2725964554,850.6802699644549,3802.7194389278525,2872.5232721429843,292.1245902717188,328.01361840925216,46.19660010417112,1655.3627800071145,100.37865229154438,367.49709341422476,28.15537811940889,41.988782870148924,76.78683528501644,3.904814458280927,2.22072699941134,0.0011980761480573576
2.0,0.1835,0.005,0.97625,0.01875,407.76951277032015,61.659656412626376,1441.6947118885082,11418.997021243971,969892.2257893481,1012.1240721715575,5870.777208004403,4732.537651948329,647.5021545501011,429.26644436561384,55.00050709534329,1843.9507734002034,79.12085848707383,328.995901646915,26.63288736126649,29.92064097435952,65.73077202813101,4.06031742198177,3.832763221303222,0.0022463065967538113
1.75,0.20962,0.005,0.973571429,0.021428571,406.63025943453925,64.5168941947612,1322.164468647768,13419.829005226593,966950.5056345891,1003.9574425641699,6398.516425919759,5091.6051443391625,767.3729061798209,428.96097250336595,53.205515648986015,1823.6015022686024,68.87669995654154,308.0454033802115,25.638932704861364,25.19829606208537,64.18784447795912,3.728474536308571,4.351590178475312,0.0025573334880976866
1.5,0.24456,0.005,0.97,0.025,413.0006160883795,68.63161233078989,1229.2163992134967,16403.631240673192,963279.802715969,958.8339348086678,6867.721828390828,5300.8686805044845,888.4521530497686,412.72870748955177,49.23893494092904,1767.6840628606587,57.821662032829444,283.0013267846378,24.843140370327955,20.435388111604414,64.34135689029264,3.3062464415135353,4.886909402053351,0.0028444736445584727
1.25,0.29347,0.005,0.965,0.03,428.6725430892172,74.5001009738122,1162.5816426316119,20952.367279051177,958381.1218907053,873.2473404905145,7247.502482167822,5317.334752393239,996.8637287453919,380.01962065298363,43.340148016726864,1673.6642942832366,46.78969408970712,253.93020915455634,24.416666251031995,15.909034506667687,66.66264530083838,2.8367704878245825,5.415495729001376,0.003081060770865116
1.1,0.33349,0.005,0.960909091,0.034090909,442.89741811101345,79.01330587422295,1133.9247484099806,24851.465476693505,954455.652720507,803.3462477440586,7424.760978458927,5226.003787710191,1048.205673071509,352.82817591448344,39.07997193617218,1597.1225806757507,40.43080385570402,234.48591274029138,24.337291091368037,13.37497972784986,69.24227610617925,2.5447647408911234,5.721251954798606,0.003192002131348482
1.0,0.36699,0.005,0.9575,0.0375,454.404546614148,82.46410734282556,1118.8781193938014,28168.20295405254,951201.8659362928,749.8241551573079,7520.969299552048,5122.416370806495,1073.7760470212627,331.7516992691707,36.01933680157184,1536.612968416782,36.340578456324195,220.6540543129885,24.33031872135869,11.77143351431948,71.49527573348495,2.347872803796905,5.918463668520193,0.003252584414876391
0.9,0.40744,0.005,0.953333333,0.041666667,467.5026808962488,86.27488162671443,1106.6403715341867,32271.858182102682,947227.3490806163,691.361866060392,7599.665055301131,4984.914112154716,1090.4732427775157,308.4427152048687,32.82738629959138,1467.5529138430536,32.37517676591727,206.10972494414426,24.329231843162173,10.23832944523067,74.19561244534266,2.149570206238586,6.109645641273915,0.0033029775339851637
0.75,0.48933,0.005,0.945,0.05,490.0375942614087,92.66156473302526,1092.677648346133,40567.16259302396,939254.4743967083,595.5971065217367,7685.303041681401,4715.279633792073,1094.4850182141981,269.5053097217566,27.872555895057864,1345.342848127735,26.650967062877257,182.9375152368123,24.251237897944563,8.070499535361636,79.12562033719801,1.8489887071508544,6.384056325241544,0.003361421685387837
0.65,0.56436,0.005,0.937307692,0.057692308,506.90413127101823,97.35277071916882,1085.709660329308,48272.96521984182,931854.8969340738,527.1348274955717,7720.837679289767,4492.475738176673,1079.4852693795197,240.9963325536703,24.5057543383845,1249.094274534309,22.968974746683074,166.57963470221478,24.06920899861648,6.7120777103231175,83.02822447364228,1.6454267736330375,6.558076036594369,0.0033907006811962404
0.6,0.61116,0.005,0.9325,0.0625,515.8669035682241,99.8223712168999,1082.780728972281,53099.48112411654,927211.2854357219,491.6911369967431,7731.964480836462,4367.521850338884,1065.4930041246193,225.98447935968485,22.813965351140816,1195.7350212808853,21.163228704078342,158.126401598081,23.913481147880006,6.058678318743953,85.17277500319504,1.5421922079231265,6.642199440871073,0.003402945887073413
0.55,0.66697,0.005,0.926818182,0.068181818,525.1721575894167,102.37103173916334,1080.161448833767,58808.42250712422,921706.8228577822,455.501107320126,7738.442037671982,4232.964113946083,1046.4989912455922,210.46020753248433,21.120521244665277,1138.4274516776184,19.37859725839817,149.4883881460103,23.700963756243965,5.422514035348556,87.45044187044401,1.4376458698484427,6.724273747651678,0.0034138268961524626
0.5,0.73349,0.005,0.92,0.075,534.8124866434646,104.99568277779373,1077.8120024105383,65662.23666596782,915080.8773995475,418.5996681553664,7739.968438514331,4088.135419920017,1021.8870181753856,194.40887663196003,19.42777299897324,1076.755391323172,17.61331790371587,140.66213286979234,23.420240501229507,4.803740651528197,89.86488321968974,1.3314370440011516,6.804179809340898,0.0034235061536779534
0.45,0.81519,0.005,0.911666667,0.083333333,544.7811658112308,107.69315838376548,1075.6999838400159,74039.90448852156,906956.8837531911,381.0096603469417,7736.076251805026,3932.0942812336825,990.922285699237,177.80576626178728,17.73740492699927,1010.2294695247867,15.865713333375103,131.6410885958791,23.05903892163577,4.202674821269719,92.4202792057035,1.2231098279079609,6.881774976210297,0.003432122545387021
0.4,0.91709,0.005,0.90125,0.09375,555.0720806492818,110.4605029281268,1073.8045708647728,84509.70840598119,896769.7925425979,342.73875570544726,7726.057237010796,3763.5222873440885,952.7172493609066,160.6126674331236,16.050166301656105,938.2701758342083,14.13424468746523,122.41357685370845,22.604391466151167,3.6198513166437047,95.12149983635719,1.112063779530251,6.956897122413268,0.003439772078350091
0.35,1.0482,0.005,0.887857143,0.107142857,565.6785586249207,113.29546400210131,1072.1230904106478,97964.32265118003,883631.2958834614,303.7754634393497,7708.8456960664835,3580.5737660888913,906.1860406617558,142.77331170892415,14.36542175605044,860.186115407973,12.417575666182739,112.9594994822732,22.042890457549575,3.0560993582220735,97.97417724926441,0.9974950933048159,7.029385619129679,0.0034464773402652993
0.31,1.18334,0.005,0.874032258,0.120967742,574.3834936684533,115.61149569744161,1070.947963990538,111844.25680351797,870032.2502870408,272.0830447088648,7688.840198803055,3422.149426092633,862.0728294956061,127.98356499945388,13.0176388448853,792.7558651492235,11.05418068353046,105.21091478194083,21.507658413897328,2.6196387117254796,100.36938489174851,0.9025800012636762,7.08541223892019,0.003451100351380671
