phi,O2_molecules,CPT_frac,N2_frac,O2_frac,C5H8(522),C5H8O(825)rs,CPT(563),O2(6),N2,H2(2),H2O(5),CO(12),CO2(13),CH4(33),CH3CHO(41),C2H4(52),C3H6(131),C3H4O(165),C4H6(227),C4H8(253),C5H6(478),C6H6(970),HO2(8),OH(4)
3.0,0.12233,0.005,0.9825,0.0125,481.25744632485544,27.781656774930426,2336.913719857801,8587.746967693425,978552.3136821837,740.002073626637,3278.078513167973,2253.73008997945,234.38649056117092,261.56704523856604,39.0554676054559,1491.2596644380246,120.01184899975985,343.6244118421958,21.847990729800426,40.63334105034691,81.04076999919052,2.9719736579786757,1.9642170834480643,0.0009697273405948649
2.0,0.1835,0.005,0.97625,0.01875,465.7053658280081,33.3310216003949,1599.1970839565133,12207.745179504318,970593.9112615144,908.614394203261,5300.141158130553,3986.3702596316593,555.9243991944516,356.7431743140907,50.58621985262633,1740.6890288694724,109.02294825174042,317.7073930925616,22.762314907688154,33.1507572497956,74.05980757762936,3.672495916759437,3.45074536989007,0.0018992691721193972
1.75,0.20962,0.005,0.973571429,0.021428571,462.7668980890109,34.728625610745524,1452.9361925037708,14164.887522343746,967594.2832502464,915.4798743361553,5860.038785058882,4389.5421661308665,669.6427492377281,358.6502585453115,50.325816895599274,1739.5771774855934,99.57446654978587,298.49679549884087,22.153695442588393,28.769941897248717,72.17178046121725,3.4758910961633407,3.958414602745015,0.00220330118836119
1.5,0.24456,0.005,0.97,0.025,466.1538792571968,36.56435536632321,1334.1064262336183,17076.323528697492,963841.4734570481,890.5012362232226,6382.228718076625,4677.639074067179,787.438790584644,345.7636817753083,47.91543338910146,1699.5789604923248,87.92614026324827,274.5345999312753,21.470564549556386,23.941556495547157,71.56707001812093,3.140479339270841,4.501905150788438,0.0025028185877817998
1.25,0.29347,0.005,0.965,0.03,478.8174965934243,39.121562544144815,1244.9409280823,21536.366578212557,958850.8307318629,826.751777694792,6827.15701068246,4792.226076231178,895.6905674685216,317.2032146952801,43.320292794751346,1616.1455728831854,74.83596729291853,246.19752813690695,20.877570706835314,19.05245985247676,72.92750034344651,2.7109810766362377,5.058172388119303,0.0027683020804797195
1.1,0.33349,0.005,0.960909091,0.034090909,491.72627788450484,41.101067443186174,1205.194958098223,25382.002039738163,954872.6955230371,769.0600982972264,7043.8208808978225,4760.364946828777,948.0227345622267,292.8803544965057,39.64262754536485,1543.1886262313262,66.58456156252875,227.18103859082004,20.58622456848409,16.211421843316398,74.91156475364025,2.426389339523851,5.387935369333683,0.0029007214881192327
1.0,0.36699,0.005,0.9575,0.0375,502.7030155656531,42.629334858376964,1183.9425725760125,28665.606838123662,951586.9130666087,722.8372685510165,7164.537978117477,4694.01797821798,974.4293932620496,273.92184527282024,36.87663979924144,1484.0022269114006,60.984800703320055,213.66772050509508,20.404488906536912,14.379658169822836,76.7771720018073,2.229916024985516,5.603212440335667,0.0029757532460422545
0.9,0.40744,0.005,0.953333333,0.041666667,515.6180066287818,44.333065436914076,1166.5107641815691,32739.537378089324,947583.7702246573,670.8142553153997,7265.350496113508,4590.605361860422,991.9023201225593,252.94442184254913,33.904224712810176,1415.5063161775724,55.32777394160974,199.47990726560255,20.21283637699193,12.604673972377086,79.10366373516452,2.029691116720885,5.813450831474583,0.003039799547849066
0.75,0.48933,0.005,0.945,0.05,538.647247118388,47.22695429789757,1146.7375096916076,40999.153708773076,939575.3711113348,582.8751319311953,7378.023183865792,4364.401127422561,996.5538886793969,218.0341035654827,29.142781476179575,1292.946240277845,46.7547907560317,176.91425023217238,19.848815671507364,10.054901120365079,83.50299305888585,1.7240095634136134,6.117023286269056,0.003115679114125425
0.65,0.56436,0.005,0.937307692,0.057692308,556.4321551108087,49.38410970744452,1137.2706856333089,48688.80187856828,932157.4221995883,518.3347816943852,7426.456029917953,4164.487036644778,981.3613054678619,192.6784817140473,25.818437696623068,1195.854289066426,40.98553706855732,160.9953027010858,19.503882666627852,8.43242568701545,87.07114644948439,1.5169249674957994,6.309982463979307,0.003153606900345803
