phi,O2_molecules,CPT_frac,N2_frac,O2_frac,C5H8(522),C5H8O(825),CPT(563),O2(6),N2,H2(2),H2O(5),CO(12),CO2(13),CH4(33),CH3CHO(41),C2H4(52),C3H6(131),C3H4O(165),C4H6(227),C4H8(253),C5H6(478),C6H6(970),HO2(8),OH(4)
3.0,0.12233,0.005,0.9825,0.0125,,,,,,,,,,,,,,,,,,,,
2.0,0.1835,0.005,0.97625,0.01875,,,,,,,,,,,,,,,,,,,,
1.75,0.20962,0.005,0.973571429,0.021428571,,,,,,,,,,,,,,,,,,,,
1.5,0.24456,0.005,0.97,0.025,,,,,,,,,,,,,,,,,,,,
1.25,0.29347,0.005,0.965,0.03,,,,,,,,,,,,,,,,,,,,
1.1,0.33349,0.005,0.960909091,0.034090909,,,,,,,,,,,,,,,,,,,,
1.0,0.36699,0.005,0.9575,0.0375,,,,,,,,,,,,,,,,,,,,
0.9,0.40744,0.005,0.953333333,0.041666667,,,,,,,,,,,,,,,,,,,,
0.75,0.48933,0.005,0.945,0.05,,,,,,,,,,,,,,,,,,,,
0.65,0.56436,0.005,0.937307692,0.057692308,,,,,,,,,,,,,,,,,,,,
0.6,0.61116,0.005,0.9325,0.0625,,,,,,,,,,,,,,,,,,,,
0.55,0.66697,0.005,0.926818182,0.068181818,,,,,,,,,,,,,,,,,,,,
0.5,0.73349,0.005,0.92,0.075,,,,,,,,,,,,,,,,,,,,
0.45,0.81519,0.005,0.911666667,0.083333333,,,,,,,,,,,,,,,,,,,,
0.4,0.91709,0.005,0.90125,0.09375,,,,,,,,,,,,,,,,,,,,
0.35,1.0482,0.005,0.887857143,0.107142857,,,,,,,,,,,,,,,,,,,,
0.31,1.18334,0.005,0.874032258,0.120967742,,,,,,,,,,,,,,,,,,,,
0.28,1.31012,0.005,0.861071429,0.133928571,,,,,,,,,,,,,,,,,,,,
0.25,1.46734,0.005,0.845,0.15,,,,,,,,,,,,,,,,,,,,
0.23,1.59493,0.005,0.831956522,0.163043478,,,,,,,,,,,,,,,,,,,,
0.2,1.83417,0.005,0.8075,0.1875,,,,,,,,,,,,,,,,,,,,
0.19,1.93071,0.005,0.797631579,0.197368421,,,,,,,,,,,,,,,,,,,,
0.17,2.15785,0.005,0.774411765,0.220588235,710.8804327716882,53.65424517271631,1173.996728988216,212508.23652833627,771849.783649479,146.10209059022574,7010.620027802302,2234.3765612413777,490.05747749235405,47.74080847091988,8.013596643612463,433.5878519263016,12.077086735018408,70.2862622512424,12.859474837250517,1.4455187844982549,118.02756046598405,0.4141943998370233,6.979554396487729,0.003023872542689621
0.15,2.44557,0.005,0.745,0.25,718.3906192167466,54.45055708510277,1179.8525636934096,241972.00775373005,742640.0120275227,129.78440738660984,6956.949330218278,2111.0789336413973,448.1717231986171,41.1802126874915,7.2377336161348484,388.5017197788895,10.894416904973767,65.85815725986163,12.57221883899235,1.2326140913117942,119.31939449698488,0.36112762852641733,6.994262809099044,0.0030039816818171684
0.13,2.75147,0.005,0.706538462,0.288461538,726.1445734219907,55.29819062106498,1186.8758458781085,280478.69123742415,704405.9940222556,113.35053047884024,6895.049033757705,1980.075420682875,403.73664834948426,34.60614658293955,6.440870976887764,341.81207368580317,9.704570501079514,61.27117048284006,12.266410876173955,1.02531909000093,120.56328914008924,0.3072628576325336,7.00809079868446,0.0029800907721511797
0.11,3.33486,0.005,0.654090909,0.340909091,734.0879164796046,56.20904263565304,1195.418536250993,332957.1406374152,652221.5553072868,96.80495330361424,6822.809483518561,1840.247573147819,356.7542189664196,28.054040019133122,5.618019467003,293.4906436405825,8.505846009033899,56.486678085741126,11.930765719378396,0.8240846118159451,121.70014900384376,0.25275075453211365,7.0217713719870956,0.0029510391354793317
0.1,3.66835,0.005,0.62,0.375,738.0880986330869,56.692936151413534,1200.416859184234,367054.07520982716,618280.6559888977,88.49345091152338,6781.8693380152945,1766.5916799681652,332.34128933941173,24.804418716134425,5.194993420152383,268.72042021817714,7.902470817276032,54.00385232722825,11.745468030339826,0.7259787733989942,122.19509025326077,0.22535152686995605,7.02900494596803,0.0029340614676932565
