phi,O2_molecules,CPT_frac,N2_frac,O2_frac,C5H8(522),C5H8O(825),CPT(563),O2(6),N2,H2(2),H2O(5),CO(12),CO2(13),CH4(33),CH3CHO(41),C2H4(52),C3H6(131),C3H4O(165),C4H6(227),C4H8(253),C5H6(478),C6H6(970),HO2(8),OH(4)
3.0,0.12233,0.005,0.9825,0.0125,,,,,,,,,,,,,,,,,,,,
2.0,0.1835,0.005,0.97625,0.01875,,,,,,,,,,,,,,,,,,,,
1.75,0.20962,0.005,0.973571429,0.021428571,,,,,,,,,,,,,,,,,,,,
1.5,0.24456,0.005,0.97,0.025,,,,,,,,,,,,,,,,,,,,
1.25,0.29347,0.005,0.965,0.03,,,,,,,,,,,,,,,,,,,,
1.1,0.33349,0.005,0.960909091,0.034090909,,,,,,,,,,,,,,,,,,,,
1.0,0.36699,0.005,0.9575,0.0375,,,,,,,,,,,,,,,,,,,,
0.9,0.40744,0.005,0.953333333,0.041666667,,,,,,,,,,,,,,,,,,,,
0.75,0.48933,0.005,0.945,0.05,,,,,,,,,,,,,,,,,,,,
0.65,0.56436,0.005,0.937307692,0.057692308,,,,,,,,,,,,,,,,,,,,
0.6,0.61116,0.005,0.9325,0.0625,,,,,,,,,,,,,,,,,,,,
0.55,0.66697,0.005,0.926818182,0.068181818,,,,,,,,,,,,,,,,,,,,
0.5,0.73349,0.005,0.92,0.075,,,,,,,,,,,,,,,,,,,,
0.45,0.81519,0.005,0.911666667,0.083333333,,,,,,,,,,,,,,,,,,,,
0.4,0.91709,0.005,0.90125,0.09375,,,,,,,,,,,,,,,,,,,,
0.35,1.0482,0.005,0.887857143,0.107142857,,,,,,,,,,,,,,,,,,,,
0.31,1.18334,0.005,0.874032258,0.120967742,,,,,,,,,,,,,,,,,,,,
0.28,1.31012,0.005,0.861071429,0.133928571,,,,,,,,,,,,,,,,,,,,
0.25,1.46734,0.005,0.845,0.15,,,,,,,,,,,,,,,,,,,,
0.23,1.59493,0.005,0.831956522,0.163043478,,,,,,,,,,,,,,,,,,,,
0.2,1.83417,0.005,0.8075,0.1875,,,,,,,,,,,,,,,,,,,,
0.19,1.93071,0.005,0.797631579,0.197368421,,,,,,,,,,,,,,,,,,,,
0.17,2.15785,0.005,0.774411765,0.220588235,669.529682211771,62.3237903064763,1129.6107356650718,212164.20678478052,771713.0983407875,154.23025754045196,7223.172748668293,2448.5418491494725,537.8254309427199,50.22341342728665,8.716791383007475,459.89577157071994,12.564567964194843,72.13733909052804,15.173735491162546,1.660826866782618,111.79088481163943,0.4346029829192147,7.0698704393002805,0.003196362173582442
0.15,2.44557,0.005,0.745,0.25,675.1018328583797,62.983114567517326,1131.6433353137045,241606.72736121548,742506.1841738583,137.15749263618574,7182.504548176799,2329.841005046521,496.9852333060748,43.51882020355924,7.921820407543983,414.4056940884649,11.33553497353887,67.61830302469237,14.843778340515982,1.4272123466432376,113.01654069030008,0.38170924372576637,7.09384890505496,0.0031891764540951223
0.13,2.75147,0.005,0.706538462,0.288461538,680.5336647030191,63.65098530907458,1134.1244471864507,280088.0253531546,704276.6430849787,119.91555587427213,7135.657291234804,2203.9930305968724,453.46895676066333,36.77573960754298,7.1069765901268385,367.2327036340223,10.098365975350113,62.940592153858425,14.488443136280063,1.1990695213562736,114.18857300810872,0.32765576620140047,7.118345086085281,0.0031802273655773647
0.11,3.33486,0.005,0.654090909,0.340909091,685.6086279392512,64.31967408008578,1137.1012381444398,332534.7216246994,652099.1679740552,102.50542615498394,7081.436532860517,2070.2905333001363,407.27902674184224,30.02516618625674,6.267942067735009,318.3546957012441,8.851549609764525,58.06742507529996,14.096595566849484,0.9768790784383374,115.24303394462774,0.27248987594461566,7.1446999397134086,0.0031692881989309907
0.1,3.66835,0.005,0.62,0.375,687.8905389818631,64.64930332907281,1138.7828814943193,366612.1969222453,618163.161449072,93.73907571206777,7051.078608976709,2000.2871982945387,383.2234049079764,26.663560505476443,5.837828176430458,293.2849184173057,8.223942573436325,55.54196598599024,13.880891677001362,0.8682433777435328,115.69037375151375,0.24454786701608985,7.1593302894642274,0.0031630158200556457
