phi,O2_molecules,CPT_frac,N2_frac,O2_frac,C5H8(522),C5H8O(825),CPT(563),O2(6),N2,H2(2),H2O(5),CO(12),CO2(13),CH4(33),CH3CHO(41),C2H4(52),C3H6(131),C3H4O(165),C4H6(227),C4H8(253),C5H6(478),C6H6(970),HO2(8),OH(4)
3.0,0.12233,0.005,0.9825,0.0125,,,,,,,,,,,,,,,,,,,,
2.0,0.1835,0.005,0.97625,0.01875,,,,,,,,,,,,,,,,,,,,
1.75,0.20962,0.005,0.973571429,0.021428571,,,,,,,,,,,,,,,,,,,,
1.5,0.24456,0.005,0.97,0.025,,,,,,,,,,,,,,,,,,,,
1.25,0.29347,0.005,0.965,0.03,,,,,,,,,,,,,,,,,,,,
1.1,0.33349,0.005,0.960909091,0.034090909,,,,,,,,,,,,,,,,,,,,
1.0,0.36699,0.005,0.9575,0.0375,,,,,,,,,,,,,,,,,,,,
0.9,0.40744,0.005,0.953333333,0.041666667,,,,,,,,,,,,,,,,,,,,
0.75,0.48933,0.005,0.945,0.05,,,,,,,,,,,,,,,,,,,,
0.65,0.56436,0.005,0.937307692,0.057692308,,,,,,,,,,,,,,,,,,,,
0.6,0.61116,0.005,0.9325,0.0625,,,,,,,,,,,,,,,,,,,,
0.55,0.66697,0.005,0.926818182,0.068181818,,,,,,,,,,,,,,,,,,,,
0.5,0.73349,0.005,0.92,0.075,,,,,,,,,,,,,,,,,,,,
0.45,0.81519,0.005,0.911666667,0.083333333,,,,,,,,,,,,,,,,,,,,
0.4,0.91709,0.005,0.90125,0.09375,,,,,,,,,,,,,,,,,,,,
0.35,1.0482,0.005,0.887857143,0.107142857,,,,,,,,,,,,,,,,,,,,
0.31,1.18334,0.005,0.874032258,0.120967742,,,,,,,,,,,,,,,,,,,,
0.28,1.31012,0.005,0.861071429,0.133928571,,,,,,,,,,,,,,,,,,,,
0.25,1.46734,0.005,0.845,0.15,,,,,,,,,,,,,,,,,,,,
0.23,1.59493,0.005,0.831956522,0.163043478,,,,,,,,,,,,,,,,,,,,
0.2,1.83417,0.005,0.8075,0.1875,,,,,,,,,,,,,,,,,,,,
0.19,1.93071,0.005,0.797631579,0.197368421,,,,,,,,,,,,,,,,,,,,
0.17,2.15785,0.005,0.774411765,0.220588235,,,,,,,,,,,,,,,,,,,,
0.15,2.44557,0.005,0.745,0.25,670.4042718730232,62.45865658259456,1123.2267849079738,241495.66212167745,742445.7066761991,141.6953067171631,7243.969796769738,2425.7533914056157,505.1035252856982,47.53340219125073,8.099857623228331,420.7335217805544,11.722935355007222,68.15662592171724,15.165505381205586,1.4923615068050051,112.09728842167026,0.41611697566103906,7.10806026407853,0.0032215567777206626
0.13,2.75147,0.005,0.706538462,0.288461538,676.1873832886391,63.165901925027676,1126.1805872810344,279983.3647915783,704225.1832526984,123.6405215507787,7192.483564786806,2290.0610567041504,461.29932752738586,40.11093771333966,7.26229378243474,373.06040643070713,10.438523425881783,63.402042992358695,14.74870176414385,1.2478056573635843,113.3769413152188,0.3567884684061893,7.133135168654938,0.003210654495723692
0.11,3.33486,0.005,0.654090909,0.340909091,681.6859474855153,63.881466680616725,1129.7647157262747,332437.85351268685,652057.566462914,105.42742119807177,7132.731268789033,2145.517057890153,414.5592725872423,32.67947897982588,6.399529916609333,323.54489387002116,9.14218810558572,58.44790723484713,14.298338122913842,1.0112213003096098,114.54678172118551,0.29617995919347884,7.159576817595417,0.0031972380319089905
0.1,3.66835,0.005,0.62,0.375,684.2126601699762,64.23801177569734,1131.814356041942,366519.8281866935,618126.8085769053,96.26838880527335,7099.214572275705,2069.6951152041793,390.1240290834584,28.98075775607642,5.957126756926583,298.104088331875,8.4890027536801,55.880621305100206,14.05492935491885,0.896220012042703,115.05472486850485,0.2654769490256959,7.174021609164163,0.003189481484445084
