phi,O2_molecules,CPT_frac,N2_frac,O2_frac,C5H8(522),C5H8O(825),CPT(563),O2(6),N2,H2(2),H2O(5),CO(12),CO2(13),CH4(33),CH3CHO(41),C2H4(52),C3H6(131),C3H4O(165),C4H6(227),C4H8(253),C5H6(478),C6H6(970),HO2(8),OH(4)
3.0,0.12233,0.005,0.9825,0.0125,,,,,,,,,,,,,,,,,,,,
2.0,0.1835,0.005,0.97625,0.01875,,,,,,,,,,,,,,,,,,,,
1.75,0.20962,0.005,0.973571429,0.021428571,,,,,,,,,,,,,,,,,,,,
1.5,0.24456,0.005,0.97,0.025,,,,,,,,,,,,,,,,,,,,
1.25,0.29347,0.005,0.965,0.03,,,,,,,,,,,,,,,,,,,,
1.1,0.33349,0.005,0.960909091,0.034090909,,,,,,,,,,,,,,,,,,,,
1.0,0.36699,0.005,0.9575,0.0375,,,,,,,,,,,,,,,,,,,,
0.9,0.40744,0.005,0.953333333,0.041666667,,,,,,,,,,,,,,,,,,,,
0.75,0.48933,0.005,0.945,0.05,,,,,,,,,,,,,,,,,,,,
0.65,0.56436,0.005,0.937307692,0.057692308,,,,,,,,,,,,,,,,,,,,
0.6,0.61116,0.005,0.9325,0.0625,,,,,,,,,,,,,,,,,,,,
0.55,0.66697,0.005,0.926818182,0.068181818,,,,,,,,,,,,,,,,,,,,
0.5,0.73349,0.005,0.92,0.075,,,,,,,,,,,,,,,,,,,,
0.45,0.81519,0.005,0.911666667,0.083333333,,,,,,,,,,,,,,,,,,,,
0.4,0.91709,0.005,0.90125,0.09375,,,,,,,,,,,,,,,,,,,,
0.35,1.0482,0.005,0.887857143,0.107142857,,,,,,,,,,,,,,,,,,,,
0.31,1.18334,0.005,0.874032258,0.120967742,,,,,,,,,,,,,,,,,,,,
0.28,1.31012,0.005,0.861071429,0.133928571,,,,,,,,,,,,,,,,,,,,
0.25,1.46734,0.005,0.845,0.15,643.5570638985566,59.29149186179493,1116.726273729161,141395.68992044995,841629.1047854482,223.56064706333592,7381.6034347649675,2908.889263869422,649.2558430207152,75.97281991388058,11.698742074094774,610.2537087184533,17.50396306225987,90.52401484875082,17.172473257325322,2.729517013395331,106.19874409555776,0.6349557404792828,6.970418990313591,0.003244536570593692
0.23,1.59493,0.005,0.831956522,0.163043478,649.1404319679084,59.919932676778494,1117.8573728395752,154481.17092340786,828732.6201050265,206.89130258420445,7355.326713346711,2808.574300994046,619.1966492550869,69.54298362103525,10.942094443138762,571.5647193320724,16.29164621495266,86.35381902274658,16.799134612683332,2.462032818873813,107.44274242203514,0.5859354501750826,6.996068156873679,0.0032407424673241507
0.2,1.83417,0.005,0.8075,0.1875,657.7130019010119,60.89153511830175,1120.139875696259,179001.36610304436,804517.7145944798,181.58583176901755,7308.86041244407,2648.5523091963896,570.1086182306026,59.77255271030033,9.793206260358007,510.98569931155714,14.464668688542664,79.92411161981315,16.220756838233996,2.071766840831704,109.34536012832994,0.5107229739304373,7.033005777597643,0.0032327749966001764
0.19,1.93071,0.005,0.797631579,0.197368421,660.6159569155186,61.223650595010504,1121.0805307237003,188890.58655101492,794736.588458804,173.06942791783123,7291.236402808396,2592.4310571885926,552.6259934905924,56.483399705932605,9.405700028208479,490.0852890576418,13.853024889547982,77.72774105540441,16.022960310529363,1.9447390559181919,109.98630762800688,0.4851643017781346,7.044960246334091,0.0032294197292316858
0.17,2.15785,0.005,0.774411765,0.220588235,666.4672530614216,61.90078475308784,1123.2725792071683,212149.8887973681,771703.8295519655,155.91372986027912,7252.3226311713925,2475.6244032631434,515.9082588619128,49.86055078851346,8.62230786383201,447.18323817222745,12.625062858015282,73.24276809545827,15.619144091895883,1.6954858394805574,111.2702360969343,0.4332611944758346,7.068492755706528,0.003221498529714588
0.15,2.44557,0.005,0.745,0.25,672.3291356533625,62.594903684127544,1125.9294027486199,241595.602017338,742499.488539424,138.59374909695228,7207.89302545592,2352.2505698300715,476.7929684660685,43.18696315954798,7.825582515746523,402.7756631551772,11.38993067853271,68.6169681246249,15.202351973375336,1.4528838512178093,112.5407741770648,0.38026700889482457,7.091867501413994,0.003211761801886737
0.13,2.75147,0.005,0.706538462,0.288461538,678.0923627256235,63.30374191097431,1129.1120021178358,280080.20387121337,704272.3275504294,121.1104543398191,7157.037068352095,2221.6979271070113,435.24917715594194,36.48071400308454,7.012422776085376,356.8338315781473,10.146297862705934,63.82309139723652,14.76770935602087,1.2172708820828804,113.76453554299837,0.3261691259207055,7.115818377102475,0.0031999586255424405
0.11,3.33486,0.005,0.654090909,0.340909091,683.5418246883289,64.02021326089745,1132.87043423402,332530.22346227814,652096.9189494394,103.46790445310988,7098.599474155737,2083.3558249853804,391.33581661958425,29.774620293193344,6.179135567037005,309.3632212339373,8.892553060280498,58.824316165951245,14.305100504003555,0.9890929335833945,114.87789753390877,0.2710430533603933,7.141753663998962,0.00318585957560696
0.1,3.66835,0.005,0.62,0.375,686.027047003564,64.37646823584606,1134.972922941151,366609.3265544537,618161.781680558,94.5896831752527,7066.0743332697875,2011.09645343701,368.55379075586757,26.43861131626773,5.753665781491376,285.07354856648465,8.261289637546579,56.23265549617817,14.057474034991424,0.8779948918465783,115.35743097423654,0.24316243251625858,7.156250473014166,0.0031778962798498928
