phi,O2_molecules,CPT_frac,N2_frac,O2_frac,C5H8(522),C5H8O(825),CPT(563),O2(6),N2,H2(2),H2O(5),CO(12),CO2(13),CH4(33),CH3CHO(41),C2H4(52),C3H6(131),C3H4O(165),C4H6(227),C4H8(253),C5H6(478),C6H6(970),HO2(8),OH(4)
3.0,0.12233,0.005,0.9825,0.0125,495.3224845976725,27.238392912798055,2529.47345721185,9015.023723034992,978965.9601603305,659.0012052265514,2901.009282480111,1897.894520195025,247.63434544833558,253.6133644467743,34.395098329806196,1400.1686465724554,114.09671375072016,331.11072734685825,19.578523684538183,42.6373724308859,61.17140066733489,2.0964632040633475,1.7212313533694945,0.0008220545660204317
2.0,0.1835,0.005,0.97625,0.01875,481.3749114968974,33.82686440683672,1694.4943687076661,12481.468291241637,970816.9081966062,868.8770477416006,4994.861107843511,3718.805317505857,613.9424499343879,372.7124784556814,49.298941344913935,1758.6243137255142,110.71065573475242,318.5882200280256,21.344753554606285,36.241959336204374,56.50586767636198,2.9011296177003905,3.203741233463133,0.0017312307365337995
1.75,0.20962,0.005,0.973571429,0.021428571,475.2180265571822,35.212264080996015,1526.2154173661581,14362.11385999708,967738.0160616345,893.043201076437,5594.310920877774,4186.178327875327,746.9782759007874,380.5551865798455,50.18968237393198,1786.3184937452281,102.22605977891065,300.74824502031214,20.741192585925244,31.48003488630569,55.18785631024165,2.8127814470472767,3.72692282916822,0.002042999989075974
1.5,0.24456,0.005,0.97,0.025,475.2345867883958,36.97536228149949,1390.2674560789487,17190.28971648039,963904.0251471631,885.8985459145135,6157.4133654832285,4545.374280589601,888.9310028746278,372.4102395773707,48.816027805310625,1773.6365861156416,91.02468628068631,277.4526397230024,19.991745212091075,26.147140565121134,55.08066890755805,2.6069960826806224,4.290684517947712,0.0023535672618558846
1.25,0.29347,0.005,0.965,0.03,484.98656969649994,39.45762178439789,1289.143425579147,21563.096472244688,958834.5312490782,838.8618866427939,6641.252615592504,4732.128573986432,1027.516685746428,347.19035753763546,45.06126679154715,1717.1793290368644,78.02117543408757,249.3311235378669,19.32412192969955,20.746260338237104,56.87424624713481,2.319491794935267,4.870326667717879,0.0026302744509028135
1.1,0.33349,0.005,0.960909091,0.034090909,496.49625895447195,41.4111020462052,1244.3380457351918,25353.535190723123,954810.3575004463,790.067530076995,6880.476599383001,4743.628618376084,1101.543519137929,324.15637884816067,41.78304515846449,1660.9586415687318,69.72227382255015,230.30473697040782,19.0175614851721,17.627005230573534,59.124759183442144,2.1218804220003054,5.215802559004493,0.0027686117200159126
1.0,0.36699,0.005,0.9575,0.0375,506.6917164920153,42.934201989672296,1220.3739854168,28598.144857604122,951494.0655974305,749.1252537013605,7016.59004452621,4706.737684358323,1143.9632123420743,305.7260414414792,39.24024689063627,1613.2995705112487,64.06503503203727,216.73688545488733,18.850215048302022,15.62686281400295,61.199373826640524,1.9827898115638756,5.4427461162975845,0.0028472925047104865
0.9,0.40744,0.005,0.953333333,0.041666667,518.934599678121,44.6435291970214,1200.5885851112735,32630.432551893296,947460.2834163973,701.7415935186139,7133.823622632738,4633.792120020981,1178.6497106381364,284.97064475008733,36.45697883872121,1556.581985443114,58.332320994842405,202.455238616142,18.699828929427117,13.697865432490932,63.78775746154674,1.8387181620308846,5.666134996262201,0.0029150167250181673
0.75,0.48933,0.005,0.945,0.05,541.104388783813,47.56406892718289,1177.5304189240064,40820.49920746952,939405.3147882556,619.2481396808249,7275.136175852443,4456.5759015943195,1210.9575617228122,249.68358386724003,31.913830350675767,1451.6889063130163,49.60414652141964,179.66671438789618,18.461003384891256,10.942172886462151,68.75946077004838,1.6135088694340838,5.993715794519478,0.002997519504926251
0.65,0.56436,0.005,0.937307692,0.057692308,558.3446910638287,49.74549174765623,1165.652785431098,48457.4833014083,931956.0319394262,557.0325898912304,7347.246752508934,4292.500963532236,1214.7246069470787,223.46364424892803,28.687267708989577,1365.6509038751847,43.69079439627575,163.53854514120678,18.248242771533565,9.195940730506596,72.90758447987501,1.4564631308163596,6.206891146892821,0.003041785427101037
0.6,0.61116,0.005,0.9325,0.0625,567.6693939510401,50.903154759278095,1160.5003170411853,53250.103235957075,927289.2914842007,523.8218530832788,7376.859618605406,4196.065787451768,1209.6614693035035,209.54142755406457,27.023882746786043,1316.7175902549222,40.7004182393373,155.18517715462525,18.110561034947196,8.34939212317104,75.26742038213872,1.3753642431723647,6.311892698685132,0.0030614371833889353
0.55,0.66697,0.005,0.926818182,0.068181818,577.4425371314082,52.102636035363986,1155.7457711122636,58925.65275512388,921763.0399133465,489.21095325905753,7402.154455641084,4089.4203669472668,1198.9846933602307,195.06325728622423,25.329346892363425,1263.1710253876422,37.68419089957263,146.63351330263387,17.94368357329228,7.520246022503734,77.8380943262031,1.2921682531682,6.415806341439666,0.0030798491382030804
0.5,0.73349,0.005,0.92,0.075,587.6442699737398,53.34090279344189,1151.2906327572664,65746.84273521989,915116.8909191906,453.1803715061248,7422.978914786542,3971.787676844716,1181.7372129087012,180.00875092981371,23.603833159125497,1204.3625584356746,34.63908662390149,137.87763522711592,17.740542001238442,6.708376070978138,80.63819635998738,1.2064685551950374,6.518568476842343,0.0030973715783779864
0.45,0.81519,0.005,0.911666667,0.083333333,598.2514652516489,54.614050481774015,1147.0367142292764,74093.130109339,906974.6619466242,415.68879113966534,7438.98321041096,3841.9941380185273,1156.7095421764152,164.34767796827066,21.845762021441686,1139.485970028663,31.561685125701423,128.90897310874453,17.493498530566733,5.91382136217783,83.6898292564136,1.1177208394378753,6.6200495748273935,0.003114374122654674
0.4,0.91709,0.005,0.90125,0.09375,609.2379798387714,55.917236977374145,1142.893082663097,84533.63543799217,896771.8980790382,376.6682350311767,7449.488487571209,3698.2784435119843,1122.344196414688,148.0376499534078,20.0510586250381,1067.5287960533585,28.448131894860943,119.71452819816892,17.194532627184064,5.136874365372631,87.01951726533413,1.0251897635859295,6.7200069171923555,0.003131220262062521
0.35,1.0482,0.005,0.887857143,0.107142857,620.5756235031598,57.24476183132456,1138.790897511393,97962.49407318702,883621.2101865683,336.01927096122404,7453.26133671178,3537.991138372663,1076.5975938860845,131.02162358246792,18.211950691916165,987.2058961503055,25.294069986397105,110.273825194512,16.835596935797497,4.378197862553386,90.6592231187417,0.9278682145531266,6.818008166811413,0.0031482114469547494
0.31,1.18334,0.005,0.874032258,0.120967742,629.8795687998376,58.32019319639142,1135.5255147784558,111826.03479433218,870015.8420421084,302.2387538739863,7450.009844282056,3395.1902599596365,1030.0012212629638,116.85160028813708,16.69989126633748,915.8321637648943,22.738350768834437,102.52216692419054,16.50020659497036,3.7851900187141365,93.81960241415308,0.8456374374368862,6.894515414481091,0.003161999389970647
0.28,1.31012,0.005,0.861071429,0.133928571,636.9851499863811,59.13269760041805,1133.1088972282607,124822.22083083341,857238.6509721173,276.11369576647405,7442.768981530279,3277.6988747756836,988.0576600741118,105.87003922650878,15.535241245774028,857.4747597540969,20.800785457613973,96.5754911878733,16.218348325335246,3.34915537446909,96.34917819389882,0.7807966186642795,6.950416668727152,0.003172389878693032
0.25,1.46734,0.005,0.845,0.15,644.1944367251118,59.94939052576705,1130.7711131028436,140934.8467873428,841371.2270830456,249.26926152417448,7430.158268392488,3149.4269192572788,939.0709996496336,94.56251853629111,14.337199211894426,794.3958698589752,18.843994028497676,90.49688505288385,15.909282589095708,2.9211931828807964,99.02568241167587,0.7126697031310356,7.004666099812806,0.0031826428400338874
0.23,1.59493,0.005,0.831956522,0.163043478,649.0554570821134,60.49613502534155,1129.2998976206095,154009.09687960372,828477.5733587217,230.9545579116099,7417.976363231453,3056.8323197852496,901.9411460941473,86.8334683771905,13.515602526190257,749.419500162796,17.52813288420258,86.359914009877,15.687684286669253,2.6407163960122375,100.89559624970931,0.6651143564814077,7.039692636446788,0.0031892390899988187
0.2,1.83417,0.005,0.8075,0.1875,656.4219410708506,61.32045407994201,1127.3352547248483,178516.4101035787,804271.7677694889,202.8310459255485,7392.379450609872,2905.2097397799403,838.5498764787748,74.94291514384494,12.240071119139163,677.0582738754686,15.536384080969338,80.00387197157247,15.331227060362567,2.2279168754206,103.83146143027368,0.5900158771041764,7.090117620883808,0.0031983448919396663
0.19,1.93071,0.005,0.797631579,0.197368421,658.8944304169419,61.59669866626401,1126.7781394060894,188402.7848709359,794495.2602067413,193.2797309896447,7381.454922424726,2850.754569088463,815.1436257371142,70.89935830063304,11.801148868251456,651.5206484959494,14.867505273871453,77.83870077692593,15.205751423655595,2.0925936155286027,104.8443271521428,0.56385192116757,7.106273091346499,0.003201039005728959
0.17,2.15785,0.005,0.774411765,0.220588235,663.8553029053962,62.15223528000115,1125.880831234475,211659.33519313126,771474.6390712851,173.91147007873215,7355.166602467427,2735.0365918323096,764.5503692359296,62.69441697379023,10.8984954375285,598.1431970986745,13.522095350987804,73.42612942167213,14.944084344898542,1.825668644107274,106.91710237615311,0.5096207355968543,7.137477767296725,0.003205634173876445
0.15,2.44557,0.005,0.745,0.25,668.8138657145042,62.71307109599333,1125.3815400648873,241107.3304770393,742286.9859480148,154.1965039933437,7321.73111913917,2609.001042870335,708.4842437187563,54.34181519031933,9.956974406767902,541.4976963253906,12.166357786449385,68.88536332701015,14.66636962368002,1.5641381361880742,109.04074902015252,0.4526180296861377,7.167118154017082,0.0032087305117067663
0.13,2.75147,0.005,0.706538462,0.288461538,673.7115929321965,63.280632807316586,1125.4530516092234,279600.94337262085,704081.9775387357,134.15748662541523,7279.280498109348,2470.9342782843787,646.4320288424226,45.8658206276467,8.968240696295098,481.36048385379803,10.800333635071745,64.18703413023583,14.368327262188341,1.3086685463246963,111.18647990296112,0.39259263896778895,7.195252286466622,0.0032096182295152454
0.11,3.33486,0.005,0.654090909,0.340909091,678.4153405311031,63.85496443953965,1126.3268553784253,332068.9014545062,651935.1532689662,113.84145507119672,7225.3590249097315,2318.8941395528364,577.9563847333154,37.315729675668656,7.92228162625518,417.5599660929511,9.424393359504077,59.28997600295708,14.040636963808923,1.0601955943293853,113.29325003242072,0.32940331707281245,7.2223957913711505,0.003207330042026205
0.1,3.66835,0.005,0.62,0.375,680.6099193794008,64.14343806159754,1127.1552927270995,366161.1696698872,618016.999489369,103.60445038750741,7193.11565107117,2236.99602046456,541.2304952749679,33.03972680822895,7.374344996478327,384.2641260533931,8.732943998320527,56.749222285315504,13.86003131674744,0.9389976645675698,114.29570674178164,0.29664693312871265,7.236035878856934,0.0032046074730918226
