phi,O2_molecules,CPT_frac,N2_frac,O2_frac,C5H8(522),C5H8O(825),CPT(563),O2(6),N2,H2(2),H2O(5),CO(12),CO2(13),CH4(33),CH3CHO(41),C2H4(52),C3H6(131),C3H4O(165),C4H6(227),C4H8(253),C5H6(478),C6H6(970),HO2(8),OH(4)
3.0,0.12233,0.005,0.9825,0.0125,481.23199174669674,27.76371266657228,2333.885031405989,8582.026709089758,978540.4571901456,742.1337635331959,3287.419700037226,2270.937458538418,227.66919649408075,258.8523663621347,39.48175627045681,1490.0804909289811,120.7620522790979,344.0438747995359,23.89748853074702,40.58435339442025,80.99685195812539,2.941782629454213,1.9678868712646687,0.0009726230628606578
2.0,0.1835,0.005,0.97625,0.01875,465.2863055604852,33.255311498324794,1596.187745384105,12200.071758274767,970573.6663440716,911.5881024077198,5316.45252628838,4019.0930070325903,541.075425648836,353.62990182791907,51.1027230941264,1735.2237202401786,109.70036716322406,318.22699583558256,25.078444431015924,33.42705651654769,73.99642309543013,3.644370390210321,3.4536194370048006,0.001905337356610889
1.75,0.20962,0.005,0.973571429,0.021428571,462.1926347807417,34.63056278445582,1449.7927524744948,14155.997000699332,967570.8872448981,918.7093067812172,5879.114014927679,4427.5239580067355,652.2351857326578,355.74032930075015,50.82921866268974,1732.685042688665,100.20506884151645,299.0902820350223,24.452627390726192,29.12160179526574,72.09590110470637,3.452641243762547,3.960778143356575,0.0022109120714786067
1.5,0.24456,0.005,0.97,0.025,465.3320073704594,36.43427157919506,1330.5808382204232,17064.77340992903,963813.9160998374,894.1057864493018,6405.166279131401,4721.955687568237,767.656844603803,343.24491722897034,48.3919165331633,1691.2687897569642,88.49120567684379,275.23779904274005,23.71134531100575,24.3456947631171,71.4612814101367,3.1231320307975428,4.504024263187519,0.0025128365701215815
1.25,0.29347,0.005,0.965,0.03,477.6134810576758,38.9448128978186,1240.7392214730505,21520.08959744791,958818.1965138806,830.8325100975674,6855.274815037057,4843.754238117225,874.1771575195095,315.25208319238163,43.75292892560805,1606.5611623943453,75.30995446683616,247.0450015240247,23.00480428869828,19.473159081713177,72.7651736246308,2.699680163334218,5.060739206597869,0.0027818909458287785
1.1,0.33349,0.005,0.960909091,0.034090909,490.22390388918205,40.88821346773178,1200.4726832865556,25361.927198699526,954836.9711911536,773.4108016136307,7075.498420382213,4816.121964349122,926.0065471406554,291.32964009485465,40.037271449881715,1532.9926812745769,66.99193211646397,228.12666479006498,22.606901312223457,16.61985683897322,74.70041644759546,2.4184599326973153,5.3912317672568655,0.002916958094738689
1.0,0.36699,0.005,0.9575,0.0375,500.9778475479901,42.389295540167254,1178.8496972551563,28642.74241988705,951549.3617426145,727.3255330000367,7198.602817522804,4752.230639827484,952.3720672557049,272.6497404944748,37.23968233112342,1473.5001629914764,61.34447987970667,214.68008335226705,22.33252744346757,14.76947391160286,76.52739858901168,2.22404776178367,5.607185669476549,0.002993866398245701
0.9,0.40744,0.005,0.953333333,0.041666667,513.6577465553044,44.06393296913957,1161.0503257253017,32713.83219522958,947544.776701222,675.3819413188115,7301.65289524467,4650.728376811967,970.0731871630135,251.95081694605847,34.23006891643618,1404.8063655189749,55.63890590374563,200.5567390984067,22.027129558437196,12.967203943724277,78.81098957520776,2.0256977952545028,5.818222304356013,0.003059778256597614
0.75,0.48933,0.005,0.945,0.05,536.3331037558241,46.91275307977893,1140.7879360814827,40969.513159330425,939535.3924441318,587.4065368391658,7416.986985182721,4425.77891957334,975.6260518132173,217.43758023550512,29.40221358702704,1282.213732403928,46.99573975143347,178.07423860401795,21.445302878686107,10.360656450855899,83.14026139405254,1.722409794720569,6.123103674580457,0.0031381723706327023
0.65,0.56436,0.005,0.937307692,0.057692308,553.9035608582037,49.0412821528202,1131.0860593007558,48657.12272502389,932117.9259196813,522.7089934395566,7466.377898187968,4225.16846993292,961.4407694542164,192.31758808840007,26.027382607812818,1185.3258944095992,41.18442610070059,162.19289451082352,20.919118397922873,8.690950889720808,86.66061749564186,1.5165881547392983,6.316893884005351,0.0031773608595485527
