phi,O2_molecules,CPT_frac,N2_frac,O2_frac,C5H8(522),C5H8O(825),CPT(563),O2(6),N2,H2(2),H2O(5),CO(12),CO2(13),CH4(33),CH3CHO(41),C2H4(52),C3H6(131),C3H4O(165),C4H6(227),C4H8(253),C5H6(478),C6H6(970),HO2(8),OH(4)
3.0,0.12233,0.005,0.9825,0.0125,,,,,,,,,,,,,,,,,,,,
2.0,0.1835,0.005,0.97625,0.01875,,,,,,,,,,,,,,,,,,,,
1.75,0.20962,0.005,0.973571429,0.021428571,,,,,,,,,,,,,,,,,,,,
1.5,0.24456,0.005,0.97,0.025,,,,,,,,,,,,,,,,,,,,
1.25,0.29347,0.005,0.965,0.03,,,,,,,,,,,,,,,,,,,,
1.1,0.33349,0.005,0.960909091,0.034090909,,,,,,,,,,,,,,,,,,,,
1.0,0.36699,0.005,0.9575,0.0375,,,,,,,,,,,,,,,,,,,,
0.9,0.40744,0.005,0.953333333,0.041666667,,,,,,,,,,,,,,,,,,,,
0.75,0.48933,0.005,0.945,0.05,,,,,,,,,,,,,,,,,,,,
0.65,0.56436,0.005,0.937307692,0.057692308,,,,,,,,,,,,,,,,,,,,
0.6,0.61116,0.005,0.9325,0.0625,,,,,,,,,,,,,,,,,,,,
0.55,0.66697,0.005,0.926818182,0.068181818,,,,,,,,,,,,,,,,,,,,
0.5,0.73349,0.005,0.92,0.075,,,,,,,,,,,,,,,,,,,,
0.45,0.81519,0.005,0.911666667,0.083333333,,,,,,,,,,,,,,,,,,,,
0.4,0.91709,0.005,0.90125,0.09375,,,,,,,,,,,,,,,,,,,,
0.35,1.0482,0.005,0.887857143,0.107142857,,,,,,,,,,,,,,,,,,,,
0.31,1.18334,0.005,0.874032258,0.120967742,,,,,,,,,,,,,,,,,,,,
0.28,1.31012,0.005,0.861071429,0.133928571,,,,,,,,,,,,,,,,,,,,
0.25,1.46734,0.005,0.845,0.15,,,,,,,,,,,,,,,,,,,,
0.23,1.59493,0.005,0.831956522,0.163043478,,,,,,,,,,,,,,,,,,,,
0.2,1.83417,0.005,0.8075,0.1875,661.1376482043579,61.356573153418864,1127.280093278903,179020.14466714204,804531.0105238461,179.5265751910743,7274.572118027065,2614.6645767582118,594.2447945991531,60.17479206798343,9.879650583944482,525.0909794646622,14.395443334636871,78.67537470701261,15.633395566083914,2.0208061498366474,109.92146784191634,0.5118574276909527,7.033463300469553,0.0032043509753761886
0.19,1.93071,0.005,0.797631579,0.197368421,663.929013459326,61.675928749258645,1127.9703907302653,188907.9281662203,794748.5315482619,171.13567966823933,7258.592376577966,2560.7761486012246,576.0655009271727,56.87320232712611,9.49547827244122,503.7540192973796,13.786674822811694,76.52460736392918,15.484293267976946,1.8995823114880748,110.54542947888683,0.486372393468468,7.045721171918588,0.003202022661590743
0.17,2.15785,0.005,0.774411765,0.220588235,669.5296822165778,62.32379030760227,1129.610735667217,212164.206784825,771713.0983408027,154.2302575404338,7223.1727486344835,2448.5418491248506,537.8254309309237,50.2234134275367,8.716791382922077,459.89577157025775,12.564567964261075,72.13733909117538,15.173735491335822,1.6608268667797028,111.79088481313386,0.4346029829114387,7.069870439313408,0.0031963621735916136
0.15,2.44557,0.005,0.745,0.25,675.1018328737492,62.98311456881367,1131.6433353380035,241606.72736134307,742506.1841738905,137.15749263690503,7182.504548077151,2329.841005024172,496.9852332628802,43.51882020599651,7.921820407424057,414.4056940835228,11.335534973446677,67.61830302416595,14.843778340175385,1.4272123465811482,113.01654069182689,0.3817092437623999,7.093848905034422,0.003189176454038849
0.13,2.75147,0.005,0.706538462,0.288461538,680.5336647030217,63.650985309074905,1134.124447186457,280088.0253531547,704276.6430849788,119.91555587427132,7135.657291234773,2203.9930305968505,453.46895676065895,36.77573960754271,7.1069765901267905,367.2327036340201,10.098365975350136,62.9405921538583,14.488443136280077,1.1990695213562756,114.18857300810889,0.3276557662013972,7.11834508608526,0.0031802273655773413
0.11,3.33486,0.005,0.654090909,0.340909091,685.6086278853036,64.31967406856562,1137.1012381190012,332534.7216243651,652099.1679739504,102.5054261589216,7081.43653311331,2070.2905335219916,407.27902675556385,30.025166188924178,6.267942068496694,318.3546957090964,8.851549609383191,58.06742507062437,14.096595565663753,0.9768790784772572,115.24303392843592,0.27248987603329144,7.144699939560562,0.003169288198832842
0.1,3.66835,0.005,0.62,0.375,687.8905389978358,64.64930333142902,1138.7828815111313,366612.1969223357,618163.1614490921,93.7390757109374,7051.078608906758,2000.287198263949,383.2234048971463,26.663560505161175,5.837828176241953,293.28491841307505,8.223942573432009,55.541965986270434,13.880891676989737,0.8682433777218767,115.69037375453507,0.24454786699761474,7.159330289476759,0.003163015820039101
