phi,O2_molecules,CPT_frac,N2_frac,O2_frac,C5H8(522),C5H8O(825),CPT(563),O2(6),N2,H2(2),H2O(5),CO(12),CO2(13),CH4(33),CH3CHO(41),C2H4(52),C3H6(131),C3H4O(165),C4H6(227),C4H8(253),C5H6(478),C6H6(970),HO2(8),OH(4)
3.0,0.12233,0.005,0.9825,0.0125,477.0561348944402,16.63934651836803,3214.748621092207,10614.360633610175,980382.9862732885,422.36183684526515,1776.910525892777,855.195370902505,19.878878945432596,113.56973786576789,10.723199871277794,953.7230447432753,138.56035266168706,266.05659910694425,10.94151536193968,21.9214233986653,54.95359776268497,0.4797615127278787,1.3223577116186307,0.00044962870094609596
2.0,0.1835,0.005,0.97625,0.01875,563.8854623878519,28.232843326367927,2329.755008140235,15086.250106597487,972820.9726477729,544.3503013392555,3358.764314216867,1870.9125900564316,73.79509270338025,225.4022589789644,20.03551272920776,1245.7845156953695,164.5026379669473,298.816298867002,17.90905907297059,27.381956925060386,78.25852736008608,1.2394863249589976,2.541043122539537,0.0009948689153645022
1.75,0.20962,0.005,0.973571429,0.021428571,577.0583423851659,30.99469859822916,2128.6881827253446,17230.914979577326,969844.7992894934,554.6900051624597,3835.4058568091855,2162.4885604549763,98.00960914708128,248.4322981006962,21.596081140732867,1263.4251148895805,162.24139585950854,292.6139510137755,19.354799899808672,26.51256168685157,83.60421691519204,1.4052727786502477,2.949484334795074,0.001188326875423488
1.5,0.24456,0.005,0.97,0.025,589.9098268404424,33.788963465846464,1943.1472258729827,20252.84231754469,966028.7769368533,549.9420839794959,4332.160713713974,2434.5488032878316,127.56253670188376,264.27101823144204,22.368166057908606,1247.7057799970012,155.4273802813689,279.70555347125,20.621499077395153,24.60659104734797,89.44798415308053,1.5213650491124975,3.40794855910655,0.001404930642069803
1.25,0.29347,0.005,0.965,0.03,605.0291338442738,36.77594178225421,1777.3152521726117,24711.906444240936,960873.0763100565,525.2598677999705,4832.059666623965,2651.66215628963,161.84655248404115,269.31366213526314,22.09674828144418,1192.497603468118,143.61887802150602,259.62204547837706,21.69631649679183,21.71592685969126,96.59695358222831,1.56814580810225,3.916773365268906,0.001638964723529507
1.1,0.33349,0.005,0.960909091,0.034090909,616.4816898213631,38.76123809238786,1688.8356482772306,28495.956232382046,956749.7649243956,498.94240029246805,5123.404007870924,2736.6743628180056,183.81296489755547,265.56450575811806,21.3523599017605,1138.0774753194487,133.99324600736674,243.93626389100686,22.235279868030172,19.558803388859893,102.00728362434927,1.5564804731201556,4.244891267942232,0.001783288748588849
1.0,0.36699,0.005,0.9575,0.0375,625.5702717475962,40.2071944145276,1634.8552633889663,31712.976143664273,953351.1316095133,476.11744207305395,5310.012662543847,2767.656489453912,198.5006350605704,259.744002660671,20.599393073253253,1092.2602663835999,126.48498728274303,231.90655110985824,22.537709346719293,17.96700848178546,106.2962431641195,1.530555237319136,4.472238648901774,0.0018790804764442042
0.9,0.40744,0.005,0.953333333,0.041666667,636.095794033384,41.779005696768785,1585.0624157493335,35700.58801168576,949224.5305675511,448.91628195316065,5487.966641251759,2774.167800782641,212.7591099047347,251.01469558294403,19.639474908247458,1038.4741295390809,118.09388084693396,218.5930503957774,22.77995347670338,16.26757909578704,111.28487162265981,1.4893766271834916,4.705723080866528,0.0019731192342179096
0.75,0.48933,0.005,0.945,0.05,655.1037332364742,44.431448487398974,1518.4677768739919,43794.96835661999,941014.5324928105,399.8972822694876,5733.644331916263,2731.193282014727,232.13296823102525,232.082749828229,17.819773379784007,942.2194297404162,103.85472638058181,196.19374724848169,22.983753092214446,13.55124241067968,120.43814098094748,1.397761014111401,5.065684819340641,0.002107936430918446
0.65,0.56436,0.005,0.937307692,0.057692308,670.2656749087199,46.43832746818557,1479.544269102945,51350.28855667866,933452.0250015961,361.93012894445854,5879.997512646344,2663.544806754398,242.6425171247951,215.39773895492687,16.365671997625867,867.1916310515139,93.28222963904007,179.65582433236747,22.96642735660292,11.657435252673885,127.94626143864554,1.3159948547682934,5.310787556354138,0.00219163132368623
