phi,O2_molecules,CPT_frac,N2_frac,O2_frac,C5H8(522),C5H8O(825),CPT(563),O2(6),N2,H2(2),H2O(5),CO(12),CO2(13),CH4(33),CH3CHO(41),C2H4(52),C3H6(131),C3H4O(165),C4H6(227),C4H8(253),C5H6(478),C6H6(970),HO2(8),OH(4)
3.0,0.12233,0.005,0.9825,0.0125,467.89135117240863,27.86949153206803,2146.127083591878,8112.730860028295,978198.1150148016,776.8694200501153,3689.5523840484166,2579.3998716276014,243.1460767921932,275.3150426222133,42.45349570340226,1580.5220184223367,124.02459475041012,347.69897357042686,23.647131109253102,40.36619131569433,66.64402874834306,2.6850851485564675,2.2153099285788462,0.0011487833271665846
2.0,0.1835,0.005,0.97625,0.01875,445.65398420360145,32.306984407593625,1476.5812655009515,11781.67598753993,970367.1338345174,911.4872922140364,5710.728425571833,4276.528729439787,545.9535208301178,347.7484589622322,51.25330469584163,1744.256109298264,106.42925790891617,310.1614072271854,23.49105449841574,30.834535311148528,61.527180646196534,3.0507881600439126,3.773794191796635,0.0021537262348667614
1.75,0.20962,0.005,0.973571429,0.021428571,444.8010593383115,33.67894797022631,1350.2989217351283,13800.915515133514,967445.178318581,901.4503182745285,6240.527056549479,4617.471800742954,646.0901503524674,342.0183012300959,49.83324751325758,1715.311698803209,95.86537032815484,289.50603129402293,22.7744241889639,26.42039375901739,60.71278264355169,2.839292696436943,4.284814334021631,0.0024627638886829347
1.5,0.24456,0.005,0.97,0.025,451.30538047459675,35.590929028405526,1250.0400576978636,16799.373559132142,963787.1837435142,857.518968271246,6717.761996552809,4819.81466917971,743.3959123511731,321.962097737537,46.26843239186151,1646.6621293882401,83.55205439189494,264.6910096040325,22.050441652441634,21.740704380091913,61.17467961667953,2.528348952110046,4.819957195278223,0.0027560576306421935
1.25,0.29347,0.005,0.965,0.03,467.6324440413142,38.28882056233698,1177.3631138939154,21371.578291740167,958902.5890249257,775.6120345126433,7102.850874239483,4830.368030596813,822.5031669300301,287.6097565840628,40.6941418191832,1534.2508184608157,70.22772169727254,235.97673838514763,21.415933729158084,17.11236499661418,63.469667797991114,2.1544135509832207,5.35279495749364,0.0030031118317814785
1.1,0.33349,0.005,0.960909091,0.034090909,482.82267927949846,40.365917804699,1146.5667595214165,25296.227878715606,954989.8551297553,709.0298138733159,7276.414840950933,4730.5849140128175,853.0333716088307,260.90124556594554,36.57978398697566,1444.0777868150933,62.01691041520806,216.94924006425597,21.058789046436853,14.454673935142322,65.92147667421587,1.913835859948347,5.659579644685187,0.0031187122083732644
1.0,0.36699,0.005,0.9575,0.0375,495.3159553051957,41.960151689620325,1131.0120179161695,28637.123907817295,951746.9057798677,658.3024341251446,7365.261642277551,4617.923590988844,863.382300432679,240.9632376983114,33.60359174118376,1373.7703866665956,56.514768651115105,203.53294416100513,20.802921056500995,12.75128291240449,68.05729529619028,1.750075931824433,5.855157494499161,0.0031801260411059174
0.9,0.40744,0.005,0.953333333,0.041666667,509.7351467940861,43.72939689986502,1119.1857395366558,32771.72672240858,947784.894007586,603.2521315587445,7431.540557460774,4468.209897386675,863.9841422467742,219.59539616893878,30.49429558594671,1294.770269092444,51.01328873462312,189.5430819500435,20.507634194103474,11.109139511423436,70.6221310531297,1.584904312221237,6.041766756006756,0.0032285088745717767
0.75,0.48933,0.005,0.945,0.05,535.0123703504581,46.722796117985396,1107.9742421491128,41127.504806895355,939832.2583730603,514.171279586832,7487.072630663094,4174.617258345606,843.2024117275819,185.4142654307032,25.679300437637377,1158.6856033845975,42.79276158988573,167.50670476455232,19.931375055687607,8.770317221791098,75.32856914771652,1.3359940220895246,6.301729117697361,0.003276486302164255
0.65,0.56436,0.005,0.937307692,0.057692308,554.3267341919691,48.952778633407895,1104.600881180701,48883.18094102669,932444.9659808902,451.54246654280706,7493.703736457825,3933.073100091905,812.490685247553,161.5738456332811,22.429346154428256,1055.1833610219696,37.34842001411074,152.12638616668124,19.41467483739382,7.300658047337244,79.08125779637804,1.1697430341623185,6.459756067854394,0.0032922189929783475
0.6,0.61116,0.005,0.9325,0.0625,564.7369084170263,50.14084923929922,1104.1055675497776,53737.308404189964,927806.1998818201,419.5257097876503,7487.4915577678275,3798.450137786025,791.4129098049743,149.4266608528409,20.80613609757036,999.2719469205907,34.63987853514795,144.22870715604978,19.105377573442585,6.594762478803567,81.15572913832838,1.0865102199976402,6.533693439894731,0.003295246465637125
0.55,0.66697,0.005,0.926818182,0.068181818,575.6598330952888,51.37946009744811,1104.4029892032481,59475.41537500102,922305.0845394904,387.1493265781189,7474.648285314777,3654.422325306406,766.1966892993611,137.1631767319655,19.189178548177203,940.4152288277174,31.941222725444288,136.1891330485591,18.757598435080865,5.909280672273353,83.37022694303073,1.0031374061906084,6.604036999203144,0.0032950372716836537
0.5,0.73349,0.005,0.92,0.075,587.1068707323959,52.670513408804574,1105.5042887088878,66359.65986098883,915680.3350389458,354.48468793737715,7454.877595588351,3500.7542394653265,736.5771766285378,124.80556289221542,17.581512154782605,878.4661348477958,29.25267055826184,128.00179076539277,18.36844493942163,5.245164327907628,85.73235505511742,0.9195284193778388,6.6706412043191,0.0032915524190131355
0.45,0.81519,0.005,0.911666667,0.083333333,599.0921043091672,54.0165143397663,1107.433507066534,74768.599328788,907554.527750371,321.5919344654101,7427.782490415234,3337.089925163751,702.2665517520942,112.37120302879366,15.985365099239738,813.2592440033827,26.57396244644001,119.65676165403083,17.93557379059828,4.603422165516503,88.25160430086332,0.8355381614587214,6.73338272875082,0.0032847158604646805
0.4,0.91709,0.005,0.90125,0.09375,611.6313101838651,55.4207291162109,1110.230718128484,85269.90805879525,897361.4667040315,288.516230777367,7392.827868397969,3162.9125426100804,662.948469238556,99.87088017563156,14.40190217062551,744.6060581503478,23.90412142935342,111.13815715781983,17.457281816389642,3.985066193604043,90.93996600296863,0.7509546178717151,6.792184652518326,0.0032744026396148876
0.35,1.0482,0.005,0.887857143,0.107142857,624.7382940892234,56.88729645445779,1113.955386900494,98755.39512797674,884211.2801361375,255.28224413213297,7349.2865392764015,2977.488092672862,618.2716078205437,87.3062617617428,12.830838286920413,672.2880473496931,21.24108427652524,102.42116614780592,16.932491842698692,3.3910231198194642,93.81257334044165,0.6654708811087088,6.84706617093787,0.003260426733682469
0.31,1.18334,0.005,0.874032258,0.120967742,635.6346572796683,58.108729640679044,1117.6568263689555,112658.76600737261,870597.3210143128,228.57923292879275,7307.6100386471235,2820.3686287443297,578.4090192353026,77.20146133975321,11.581422102182179,611.6223793097913,19.113119738467653,95.27948883439277,16.478690727543174,2.9337787170038636,96.255681592857,0.5961423439387992,6.888285403972527,0.003246439320607502
0.28,1.31012,0.005,0.861071429,0.133928571,644.0383535483293,59.054614589717026,1120.8869467648929,125679.76433833248,857806.8095963927,208.47171710795166,7271.921609496474,2696.9516565906365,545.963139782852,69.58382610595369,10.647125039848762,564.3813184187198,17.516675401016244,89.80682735949067,16.118174605040863,2.601471626537866,98.17951067604719,0.5433946683991575,6.917808233348521,0.0032342074011839626
0.25,1.46734,0.005,0.845,0.15,652.6211186567498,60.02701544488862,1124.5322526182583,141810.91723302455,841918.6138391038,188.27564679589625,7232.024478374019,2568.3302524789133,511.2200050682351,61.92335636187841,9.713331916234734,515.5610533186095,15.917828370314428,84.21589024314628,15.739766053895607,2.278260112612002,100.18642459768346,0.48981037695808227,6.946389915563002,0.0032204010225445616
0.23,1.59493,0.005,0.831956522,0.163043478,658.424224492571,60.690133497440954,1127.2041933927949,154892.8428490399,829006.099334848,174.74825878992462,7202.857448944352,2479.456598151105,486.7289648778528,56.78698052793642,9.089885201420374,482.0922193613971,14.849390344192779,80.4118823067878,15.476966374754031,2.067781646867246,101.57186611640091,0.45351451580515717,6.965112900497179,0.0032102873338335446
