phi,O2_molecules,CPT_frac,N2_frac,O2_frac,C5H8(522),C5H8O(825),CPT(563),O2(6),N2,H2(2),H2O(5),CO(12),CO2(13),CH4(33),CH3CHO(41),C2H4(52),C3H6(131),C3H4O(165),C4H6(227),C4H8(253),C5H6(478),C6H6(970),HO2(8),OH(4)
3.0,0.12233,0.005,0.9825,0.0125,344.94175657222934,7.656324737692766,4040.253427157303,11725.63486264891,981406.302525982,280.85781560997447,748.9207464393247,319.6904865321894,8.297794588092636,57.69327773461623,3.8643564755452626,506.1327038198629,81.00277003152074,167.3805628748928,3.7843687914338258,13.592187722842471,66.72018884171038,0.31982954796947255,0.6329090897930719,0.00016905815392084957
2.0,0.1835,0.005,0.97625,0.01875,520.2166029135707,18.34813908726897,3353.3626598376977,17049.10981764235,974274.9995728494,403.0960657567199,1581.251691329972,790.7459550636338,39.89802831480114,155.77867515151738,9.325401668349771,794.5126953738296,119.06801143098988,238.30050866590375,8.492717038866141,24.20994078112362,101.92855811575917,1.133384962420924,1.2694524197018069,0.00038325933032617223
1.75,0.20962,0.005,0.973571429,0.021428571,566.1465356062271,22.242023002026556,3138.0340169759675,19359.15146910025,971302.7216420976,434.2245156257123,1901.286485991546,984.1445609811996,59.14130974080564,193.00328069625706,11.220862244535287,865.6087255463334,126.91611107390415,251.49519822323444,10.140626049674703,26.353125581223974,110.89093907250012,1.4672935117656385,1.5123217734862506,0.0004732040739080352
1.5,0.24456,0.005,0.97,0.025,610.989933277853,26.67974796544837,2903.702558672579,22476.03613876446,967403.7218021563,463.67128676955895,2289.392277585975,1221.7410414080025,88.29303968674247,235.30753219785257,13.291143974944955,931.2967204179315,132.76432741522567,260.4922368739102,11.98677978500706,27.759829744303136,119.57361336334327,1.8475182083817956,1.8114992031913522,0.0005881288169965286
1.25,0.29347,0.005,0.965,0.03,653.2777696751889,31.65013576957656,2651.8458552170077,26913.311736827276,962047.1338809802,488.55896693237753,2760.998366632836,1508.7835381029458,132.97929296278912,280.7629468023869,15.423171436867708,986.7669582891014,135.33743839678456,263.18353391633985,13.992166716420494,27.986589923643397,127.70868270474449,2.2416945071104233,2.1877872200243993,0.000736649917721676
1.1,0.33349,0.005,0.960909091,0.034090909,676.8595786487914,34.87820435787156,2494.051757759973,30604.756761231867,957735.4108013771,499.12387600799866,3090.319415364328,1703.8722077739685,170.7367510134599,307.6676199519119,16.6355002090303,1012.3235870766109,134.56779738978295,260.5943314867716,15.237048037030489,27.33736539683297,132.24985302408226,2.4575748258638868,2.462670000421348,0.0008462929324076411
1.0,0.36699,0.005,0.9575,0.0375,691.7417023962154,37.132897416615656,2387.0440912285544,33718.81886154426,954181.0661345104,503.2164879530211,3330.7187856930273,1841.3358537052998,201.98745950645036,324.37860604825835,17.364135964623905,1024.960517711444,132.78333800825519,256.6421393658354,16.06719303326213,26.50508576392363,135.14748842555042,2.5793064379110318,2.6714871412391576,0.0009294858595791619
0.9,0.40744,0.005,0.953333333,0.041666667,705.9890513516601,39.47561812304402,2279.341952589681,37566.14175894809,949875.3010819141,504.024058392653,3588.1870532755584,1982.0618418891602,239.15636178441494,339.2033330759273,17.987182424159062,1033.266606498682,129.7733854184299,250.59292714199654,16.885156982459876,25.31729388289629,137.98339624758776,2.6733948709999367,2.9043206047928853,0.0010216002749259053
0.75,0.48933,0.005,0.945,0.05,726.4682734866839,43.18562511935041,2118.168785968972,45373.03612438739,941358.0772875149,496.69560054310983,4005.9907135448875,2190.690321505905,308.2828522497914,355.54903427864275,18.61913540130093,1035.7958513063656,122.5047094054359,236.90059508937102,18.061362913560657,22.819768092975856,142.29846195308238,2.7412856734773996,3.3068105595557626,0.0011778980893443636
0.65,0.56436,0.005,0.937307692,0.057692308,739.9079210314558,45.82946108666837,2012.1398835346067,52681.74160820389,933572.5167015368,484.0137264513519,4304.572146870649,2319.4881911152393,364.89982623610945,360.43194333732765,18.750032756126828,1029.394363392322,115.47230243133528,224.16546042645138,18.78844786371756,20.66146309783016,145.4223000529538,2.722456283201267,3.617428840122549,0.0012949766461325843
0.6,0.61116,0.005,0.9325,0.0625,746.7088157060738,47.21880276132275,1959.817363421154,57287.45401510094,928731.612362162,474.6412855365229,4459.479653977822,2377.7371135911794,396.76495395753864,360.3788341852477,18.700369482309824,1023.2851593293842,111.19646379692594,216.55949401239667,19.126717809016547,19.435029027336245,147.13922596027638,2.6898229608050337,3.787627666186617,0.001357579304391757
0.55,0.66697,0.005,0.926818182,0.068181818,753.6455369756079,48.66315270682238,1908.034197377424,62760.150727543085,923028.3159355818,462.86370054255394,4617.949853051713,2430.1292320378875,431.13698990570026,358.27641250409795,18.55900988032037,1014.945291360655,106.36133414941015,208.04811789999428,19.442728195842193,18.112868832161983,149.00979254657332,2.6399466672285237,3.969003059155516,0.0014230100188608265
0.5,0.73349,0.005,0.92,0.075,760.785458320773,50.17162072334555,1856.8058222545305,69361.56714775498,916203.0791263869,448.33930422712587,4779.893264450995,2475.0952502615864,468.06219134823453,353.7771865445609,18.31297304499594,1004.0770707167255,100.92253999134137,198.56454539207644,19.730543139471678,16.69807025200835,151.08163282905826,2.571500883617486,4.162716322469367,0.0014914120981625177
0.45,0.81519,0.005,0.911666667,0.083333333,768.1954637061044,51.75431642419181,1806.0912729588124,77469.63904501639,907880.5044439856,430.6713269947911,4945.31542280083,2510.8311311580333,507.50020200222974,346.47258085362034,17.94741216108373,990.2740881735032,94.83112491654545,188.03559501592974,19.981680765562015,15.194765612046387,153.4119315540031,2.4831201092869626,4.370187472375983,0.0015630193478539986
0.4,0.91709,0.005,0.90125,0.09375,775.9326957707445,53.421679200467835,1755.7637553461152,87651.11071371348,897496.8310674401,409.39191191966404,5114.3971709439975,2535.255031725559,549.2575178092973,335.8738776289331,17.44496317344298,972.9515752284116,88.03287063548592,176.38119452910934,20.183655313733304,13.608204610807984,156.06878779120512,2.373330408831806,4.59320049644145,0.0016382281295859891
0.35,1.0482,0.005,0.887857143,0.107142857,784.0268483138725,55.182944804360964,1705.56396436526,100796.39527726147,884165.2546396242,383.93725090669267,5287.620358034717,2545.9329082150593,592.8646180612216,321.38332217738713,16.78463246655699,951.222943068502,80.46782011926175,163.51443054700712,20.31766634591437,11.944912541833805,159.13194125847366,2.2404171979642844,4.8340658203191875,0.0017177221047520127
0.31,1.18334,0.005,0.874032258,0.120967742,790.7409743025357,56.663032492895525,1665.190873439838,114411.568805654,870415.5533386961,360.1028555555286,5429.814364889397,2542.6292138923513,628.4478052948549,306.4898759931737,16.1250569233148,929.7422282577836,73.81978607959248,152.2860090843912,20.35705788374197,10.564443341360423,161.9350421807899,2.115982179344139,5.04165685385087,0.0017851784811730362
0.28,1.31012,0.005,0.861071429,0.133928571,795.8740251216723,57.813471689098144,1634.5449053054454,127206.11120592123,857530.5760732904,339.91602313018257,5539.093270094611,2532.0527735636465,654.971406553507,293.0835219773044,15.542486135081443,910.5296786905915,68.46286382789432,143.28726943931147,20.333423835545393,9.503365561827444,164.27398669642284,2.011120623000535,5.20738393397957,0.0018386459883283197
0.25,1.46734,0.005,0.845,0.15,801.0236143055903,58.9942354835346,1603.3285260144364,143101.0750182133,841556.1051368025,317.49504023681834,5651.185186949799,2513.4619341793486,680.6664343945579,277.4836443943515,14.874024414579297,887.8878863690541,62.771152643749026,133.77091659278761,20.250694305074234,8.42323249592485,166.83513560425308,1.8954057401835993,5.382960735458209,0.001895261195824383
0.23,1.59493,0.005,0.831956522,0.163043478,804.4141669964913,59.7941794798284,1582.0442389879065,156019.64779700703,828591.8031787452,301.17005428800945,5727.802344573966,2496.0048404708473,696.8633222910532,265.7149777848362,14.374587354492464,870.3969281018464,58.78341893725586,127.12948045644787,20.154876087367683,7.694216562803324,168.67127319838426,1.8116470027345766,5.506181735963373,0.0019351857362665847
0.2,1.83417,0.005,0.8075,0.1875,809.310129751158,61.00217304765533,1549.092609012219,180274.35888931557,804282.0295366381,274.3667282574285,5846.163829068685,2460.9890858065014,718.669507093743,245.73178352861797,13.532631300988415,839.5054903961926,52.50212892825374,116.70831007681917,19.935120115619178,6.590478491481881,171.61522948225453,1.6748620912424341,5.70157844893909,0.001999253316446414
0.19,1.93071,0.005,0.797631579,0.197368421,810.8544517875807,61.40355830776083,1537.7554238518937,190070.65424015356,794471.7294800174,264.75550062975805,5886.667316887593,2446.630566938897,724.960836340025,238.3826207497595,13.224089194920081,827.6768256553722,50.32683967984003,113.10983940776428,19.83792869332134,6.220638861913501,172.64296245166204,1.6259657917317956,5.76984488864018,0.002021964151228981
0.17,2.15785,0.005,0.774411765,0.220588235,813.7329228925055,62.19687910039701,1514.4034733331964,213136.83339620588,771385.6525279236,244.41347217779466,5969.443292279653,2413.200917113706,735.4112443037973,222.5320785400448,12.559034150217109,801.1339945579645,45.8523647905999,105.72276023125212,19.60108177036674,5.479568586324704,174.75316722511695,1.5225614093873763,5.9116440564467085,0.0020698815068658696
0.15,2.44557,0.005,0.745,0.25,816.2064754901263,62.965454124830856,1489.94874706924,242379.06986375063,742136.9634985116,222.44204900956157,6054.725855161187,2372.392621729326,741.9462107764172,204.98253317971668,11.820875811485962,769.8421411034823,41.212349534809285,98.07935279981352,19.29892876728224,4.738776818912519,176.90280764867646,1.4106680548923645,6.061210068218341,0.0021217863257887975
0.13,2.75147,0.005,0.706538462,0.288461538,818.0675434151178,63.6890511263336,1464.115573501531,280649.2845749206,703878.4507813029,198.65299211188756,6142.4654275024905,2322.286239209458,742.7273492319842,185.49765436854577,10.994935848070961,732.328466967536,36.40880615295708,90.17645182513866,18.919191988771864,4.001501890406341,179.01884645599347,1.2886402608277014,6.21957305363681,0.0021786515108806123
0.11,3.33486,0.005,0.654090909,0.340909091,819.0118322565143,64.33867968683212,1436.607471758873,332874.1770985848,651691.1750850199,172.83205292645525,6231.965140258749,2259.770240543846,734.9200416299599,163.77991915474658,10.060112778458565,686.4537387867238,31.44805738198769,82.0097436810395,18.446585903019095,3.2720185134891304,180.959751925938,1.1540727583931925,6.387907691933498,0.0022416467200976815
0.1,3.66835,0.005,0.62,0.375,819.0063833784328,64.62366093207275,1422.1465934281493,366837.209378255,617760.5635395354,159.0890184846459,6276.750039684478,2222.311007467929,726.4709552113615,151.96943563559412,9.542570809031194,659.4368334938365,28.912532439994212,77.82482930864988,18.16924242612883,2.9119078343940092,181.78540856346422,1.0810146982603186,6.476203032868362,0.0022758250351442694
