phi,O2_molecules,CPT_frac,N2_frac,O2_frac,C5H8(522),C5H8O(825),CPT(563),O2(6),N2,H2(2),H2O(5),CO(12),CO2(13),CH4(33),CH3CHO(41),C2H4(52),C3H6(131),C3H4O(165),C4H6(227),C4H8(253),C5H6(478),C6H6(970),HO2(8),OH(4)
3.0,0.12233,0.005,0.9825,0.0125,481.1303906511708,27.755726071581723,2336.237686997199,8586.851237865683,978550.9401895028,740.5332044210473,3278.8740054314053,2253.838777448712,234.73166173002326,261.7530271199614,39.0494050843094,1491.8872110764482,119.93340373591444,343.616461204952,21.668096525271594,40.60352336264591,80.99448053705271,2.9728851181734517,1.9655762873619413,0.0009702060499117254
2.0,0.1835,0.005,0.97625,0.01875,465.66213207803077,33.3032201903882,1599.0120542510886,12208.71492853152,970594.1478407688,908.7735496635521,5299.876674273914,3984.343858929016,556.4600466144635,356.80816710202913,50.5548434052143,1740.973739514176,108.89361063729172,317.62591819208586,22.605781811077033,33.098891121932134,74.02641161105845,3.670017523932949,3.4528444159045075,0.001899512159049864
1.75,0.20962,0.005,0.973571429,0.021428571,462.79358332294004,34.704435512698886,1452.962503550354,14167.146737686453,967595.5174339564,915.4031771755007,5859.007164623733,4386.155430595429,670.1729512260665,358.6600188635934,50.2847038942786,1739.730426479492,99.43656031173971,298.4027430910057,22.012907718057367,28.718948652125448,72.15373254251554,3.4728813369960054,3.960570987295338,0.00220314339876746
1.5,0.24456,0.005,0.97,0.025,466.2794876141693,36.54658177468992,1334.3827859405278,17080.477339307996,963844.0220581822,890.1159913210929,6380.082323471506,4672.351382778454,787.9034796884077,345.71577998847533,47.86374369334609,1699.595286481162,87.7821208464847,274.4261828889748,21.348938628186282,23.893957393419722,71.57046372781481,3.137225671965256,4.504033367847895,0.0025019747894858375
1.25,0.29347,0.005,0.965,0.03,479.0836117527087,39.11441846816135,1245.5256365735731,21543.3174492988,958855.0674131408,825.985222142347,6823.41037190095,4784.312664830994,895.985870557843,317.0968226303236,43.25715281406304,1616.0072215203113,74.68662922252118,246.06595699237903,20.778094914793353,19.009740691174052,72.96111953703614,2.7076859440887366,5.06016773706779,0.002766377175991548
1.1,0.33349,0.005,0.960909091,0.034090909,492.1063571652148,41.10343946642937,1206.0096470141004,25391.27145341827,954878.1593901227,768.032810017287,7038.787956821741,4750.4088030396915,948.1370568396985,292.7379151346536,39.57198786270464,1542.93511389955,66.43154685163448,227.02744269707202,20.501266639180866,16.17185033211675,74.96989010902142,2.423115385546522,5.389778326331519,0.00289789432592871
1.0,0.36699,0.005,0.9575,0.0375,503.17632468377644,42.639945259038235,1184.938138958971,28676.78996621854,951593.296437701,721.6256118353947,7158.46667847913,4682.451808047671,974.3761514034178,273.75469231566217,36.80064486098006,1483.6557478651187,60.82895869879875,213.4946109701319,20.329567864230505,14.342128037938629,76.85592595566274,2.2266604646487673,5.6049073964633935,0.0029721887818458938
0.9,0.40744,0.005,0.953333333,0.041666667,516.2022209191092,44.35390921905147,1167.7163389872142,32753.00748739219,947591.1579881253,669.4129930272934,7258.061536141555,4577.193460000846,991.633799188913,252.75201349002302,33.82255615827861,1415.049168474321,55.16883020030451,199.28257797676432,20.148056324752297,12.56907227771367,79.2069601858321,2.0264511001957697,5.814944756877018,0.003035364871189074
0.75,0.48933,0.005,0.945,0.05,539.440756103488,47.26813352107554,1148.3309779483586,41016.9490033612,939584.4155783626,581.1902487664723,7368.487626715061,4347.700616413462,995.8502881903281,217.80355120499047,29.05204109481538,1292.2805252869268,46.59105249948659,176.6702461458541,19.798848410408006,10.021914093898161,83.65308102178663,1.7207803605531777,6.118070132406779,0.003109625800335083
0.65,0.56436,0.005,0.937307692,0.057692308,557.4025096824379,49.443297259063804,1139.1879311027587,48710.24307186737,932167.6437744917,516.4727151354651,7415.073034860714,4145.19495906277,980.2767924284095,192.42362692706527,25.721409699620246,1195.0157115539091,40.81902166494669,160.71238303118602,19.462937447559813,8.401023211988269,87.26089603369022,1.5136936169770134,6.310590150662323,0.0031462060860364847
0.6,0.61116,0.005,0.9325,0.0625,567.1243528857243,50.60085351075435,1135.6285207514384,53533.569162105734,927517.0331887619,482.5177340034721,7429.790190973969,4028.2478716269975,965.7174891354655,179.15754300636425,24.022554091493614,1141.016031167614,37.916989525400396,152.4602560868013,19.24799006668796,7.6144077286054594,89.26570842149683,1.4090103488117083,6.403507571626185,0.00316087222693107
0.55,0.66697,0.005,0.926818182,0.068181818,577.3420152343002,51.80509324541421,1132.7008275710205,59241.660992104,922006.5744642357,447.56800977629825,7438.41925215183,3900.1909569053882,945.9455875504751,165.52405168613046,22.305380893632023,1083.016305804217,35.004031091648095,144.0196502054621,18.99371133299234,6.8442075864132565,91.40791515287316,1.3033997893428688,6.493934012563328,0.0031732285961278976
0.5,0.73349,0.005,0.92,0.075,588.0593603852035,53.0561658204608,1130.384495324064,66097.24428934185,915375.5446604628,411.66813115500304,7440.524249718398,3760.302422877879,920.3326672250198,151.53187629543083,20.57206498264947,1020.6360706021425,32.07985692357215,135.3830111504695,18.693828105271983,6.091048286913341,93.69012336899571,1.1966657557828768,6.581624771416036,0.0031833257833424875
0.45,0.81519,0.005,0.911666667,0.083333333,599.2836158438522,54.354527781506874,1128.675120034022,74479.64981281798,907247.2327284603,374.85468417060014,7435.473423174057,3607.587904348788,888.1396866790761,137.18569981285103,18.823828064158537,953.4316426271333,29.144058118452744,126.53904242329047,18.342046157513703,5.3558030926311515,96.11493587215472,1.0885386801954196,6.666281111378239,0.0031911645396923817
0.4,0.91709,0.005,0.90125,0.09375,611.0267883105697,55.701245842265294,1127.5932206177185,84957.61825572523,897056.3578380604,337.15442876736296,7422.348315940038,3440.6792287041776,848.4880544459958,122.48512296589631,17.060583263806656,880.8834912815485,26.19600847104844,117.47061706656774,17.932274676164006,4.639644183716778,98.68484498765088,0.9786542347744371,6.7475355614784,0.003196659549125963
