phi,O2_molecules,CPT_frac,N2_frac,O2_frac,C5H8(522),C5H8O(825),CPT(563),O2(6),N2,H2(2),H2O(5),CO(12),CO2(13),CH4(33),CH3CHO(41),C2H4(52),C3H6(131),C3H4O(165),C4H6(227),C4H8(253),C5H6(478),C6H6(970),HO2(8),OH(4)
3.0,0.12233,0.005,0.9825,0.0125,345.4977779003445,7.652122607906743,4041.9404331209203,11727.621160152374,981408.7207087249,279.70394626266494,748.1095137088596,318.4389131451812,8.261621544757555,57.41764473886976,3.856896542491079,504.97588532665037,80.89548024008555,167.19454551060792,3.9134576233203324,13.566202764832349,66.80772061298218,0.3178077306730871,0.6315187862000561,0.00016881284563978222
2.0,0.1835,0.005,0.97625,0.01875,522.3212248303665,18.3744117761062,3355.025876469512,17051.331834822617,974278.5860757197,400.82499034321836,1581.7905849322117,788.3230073562759,39.76089102065757,155.25695216198787,9.313707848872122,792.9125770751818,119.00071897337871,238.30768967917766,8.743577048489266,24.231781687549248,102.53575928390354,1.1325355813492881,1.2661349973446918,0.000383083594340113
1.75,0.20962,0.005,0.973571429,0.021428571,568.7709030039792,22.286638519053447,3139.1839783639966,19360.223312165876,971306.1943760365,431.57798013870877,1903.2293186159081,981.8556607662404,58.982068026592465,192.5087219055141,11.212592998668425,864.0231866224385,126.88413170323088,251.60076782492484,10.431203620387695,26.404429848859536,111.71523109044257,1.4697489657790777,1.508458784927777,0.00047327223975575356
1.5,0.24456,0.005,0.97,0.025,614.0755475922816,26.746571082605577,2903.915228964989,22474.527298223184,967406.6883728766,460.60827510034443,2293.7622479675365,1220.253836514414,88.14473752571861,234.92602689717847,13.291546157524369,929.8148763658692,132.7770646471735,260.70251442975876,12.319120610346355,27.843836449080246,120.63397675767264,1.8557287851115642,1.807329529073315,0.000588739207686893
1.25,0.29347,0.005,0.965,0.03,656.5896693425383,31.73783457445031,2650.5387649931604,26906.73638784581,962049.1556822638,485.03394780495483,2769.3734052963355,1509.3240565635492,132.92174208008996,280.5817074453235,15.439773532991719,985.4639858690758,135.39349080974998,263.4717073145453,14.362344252243311,28.09558333254741,128.98492180209155,2.2579429852984583,2.184035313437865,0.0007383848472567078
1.1,0.33349,0.005,0.960909091,0.034090909,680.0663842191611,34.972324343237204,2491.5124696874345,30593.37642181084,957736.838125742,495.2841309055989,3102.073885434738,1706.4823339828927,170.7941564186089,307.612319152996,16.66539851889258,1011.1097962515051,134.63767765363258,260.88835296227916,15.622366989824032,27.44917229925088,133.61559934056942,2.4787920624027087,2.45988997772643,0.0008491686850125719
1.0,0.36699,0.005,0.9575,0.0375,694.7162627297029,37.22543810815266,2383.5614394428394,33703.331873512885,954182.3005978324,499.13558682179945,3345.135766688329,1845.7215962560192,202.14537953172604,324.3759887069089,17.403563168316253,1023.7496702811895,132.8507384767334,256.9086368622714,16.456208855520376,26.60994727278844,136.54167689603798,2.603159980319846,2.6698329740175937,0.0009333899550648305
0.9,0.40744,0.005,0.953333333,0.041666667,708.5544809489918,39.55892937532276,2274.8472862251047,37545.794874867956,949876.7768676733,499.6585592830789,3605.5047196462456,1988.4919304478137,239.4177706789489,339.1925889360011,18.03549710214925,1031.9587245181772,129.8237178219425,250.796129565615,17.270019632295288,25.40594246344889,139.37043292983026,2.6986741997571,2.9042944815909117,0.0010267831094610284
0.75,0.48933,0.005,0.945,0.05,727.9707443544695,43.2324647061866,2112.135571789442,45344.19221422973,941361.6730706923,491.76445487352015,4027.6252207727553,2200.360766417776,308.608667076138,355.3084153616833,18.6757269768525,1033.9786626760617,122.49085005543886,236.91945155026082,18.418292235811588,22.863700576535532,143.58328495404243,2.7648146569038516,3.310382504243748,0.0011854870510570339
0.65,0.56436,0.005,0.937307692,0.057692308,740.2936477111027,45.8286671950536,2005.1800390864498,52646.85583771436,933579.7358193378,478.5599064745938,4328.409168604632,2330.9837842384554,365.060105065373,359.79975459957615,18.805075185156788,1026.8092119979467,115.38315377763446,223.9877738489327,19.10621362097114,20.661692311643844,146.55637451638,2.741050225468719,3.6242574576566353,0.0013044409646084932
