phi,O2_molecules,CPT_frac,N2_frac,O2_frac,C5H8(522),C5H8O(825),CPT(563),O2(6),N2,H2(2),H2O(5),CO(12),CO2(13),CH4(33),CH3CHO(41),C2H4(52),C3H6(131),C3H4O(165),C4H6(227),C4H8(253),C5H6(478),C6H6(970),HO2(8),OH(4)
3.0,0.12233,0.005,0.9825,0.0125,350.351667452021,7.940075860918781,4015.2609875596127,11696.387292665857,981373.3043462415,287.40647641652623,774.8821011053143,334.50295494432146,9.140211471752966,60.0439918049005,4.141737012419288,520.5013939861948,82.10126476802918,171.600333799636,3.9850268348566726,14.144680379014014,67.7922881590695,0.3421981148219659,0.6469846583060632,0.00017537550749134614
2.0,0.1835,0.005,0.97625,0.01875,524.2749241048758,18.783113144835237,3316.7663404488558,16987.39868361856,974218.4568734957,411.99503836014816,1632.451648638032,825.9400310695104,43.54519228563746,160.48044849984015,9.884789185995183,814.4317642000929,119.96755260457174,242.7406190227349,8.82802069564006,24.91241785656263,102.67724192286391,1.1965125385032758,1.2947910300079903,0.0003977162286654237
1.75,0.20962,0.005,0.973571429,0.021428571,569.1596409799411,22.6879631443939,3098.295345936266,19284.04948130371,971237.9414509166,443.81396620757675,1962.4234839371634,1027.9300892925044,64.40053612532125,198.2798863000048,11.86718985456169,886.9575984949208,127.64465212003418,255.71140694554475,10.50349812250817,27.026199930943385,111.40821468370852,1.5433653814625727,1.5427499197046297,0.0004914398125516166
1.5,0.24456,0.005,0.97,0.025,612.5183471954383,27.107668084259558,2861.1575683203223,22384.720314464994,967330.1200707009,473.8703766040817,2362.2664840776224,1275.8270879984173,95.87239965153896,240.9242018481973,14.021046089114787,953.9061235012596,133.22395730067393,264.2750107643774,12.363298066630191,28.34915382183406,119.75072236859401,1.9339872877435977,1.8486703504183255,0.000611322729233269
1.25,0.29347,0.005,0.965,0.03,652.858146505297,32.017756796658,2607.445757709395,26803.430258783304,961965.3628048107,499.07749277597,2846.8974344073567,1574.2011633106958,143.8216007522747,286.17468691358107,16.215858204516802,1010.1894945981728,135.39493451870825,266.25775208331345,14.356761240158676,28.42399090758982,127.42234011846107,2.330886126901444,2.233745386748573,0.0007661664342547274
1.1,0.33349,0.005,0.960909091,0.034090909,675.0955006480749,35.18504008834516,2449.4002260099774,30483.46913890535,957650.1611437805,509.53626880149017,3183.93681279655,1775.6954914933751,184.0490894939078,312.5000050199331,17.44327589461995,1035.827687590318,134.30992443406373,263.091670719319,15.576663242525193,27.650677808828718,131.63451506772282,2.5418481937956474,2.514880487726125,0.0008801853405275831
1.0,0.36699,0.005,0.9575,0.0375,689.0505455449012,37.38888980142798,2342.7514521169537,33590.406339206,954094.6765466296,513.3589977151734,3428.986712846469,1916.7108486511108,217.1410559280156,328.5595751943207,18.166933051471297,1048.2653393720002,132.28590136087797,258.69244519765937,16.38131472288364,26.72522370295938,134.3014318514892,2.6567089222914086,2.7281594711885977,0.0009664223297734918
0.9,0.40744,0.005,0.953333333,0.041666667,702.3864698086002,39.67360917078854,2235.9293015624767,37431.513603931955,949789.1556385201,513.6861926076194,3690.3218427237994,2059.948987442466,256.2583736959124,342.48163316319636,18.76936196213006,1056.1129534647362,129.0183215294585,252.15284108429267,17.16645321803571,25.440035606589504,136.9073430604457,2.7408154554060498,2.9655316145939654,0.0010615476344551103
0.75,0.48933,0.005,0.945,0.05,721.6288761213452,43.28763708427443,2077.2158172067607,45232.11633053149,941275.8358775162,505.14652446496393,4111.521024575939,2269.310913062948,328.3083580721821,356.95932105985753,19.334696927371212,1057.3504133099057,121.35084316555624,237.67044365265102,18.28051435461111,22.80036463862372,140.90354670842206,2.788267073647427,3.3744578623424166,0.0012219029933641726
0.65,0.56436,0.005,0.937307692,0.057692308,734.4077210144767,45.865795185086384,1973.6574622833364,52539.719975227,933495.8548230738,491.28126957977753,4410.051324106086,2395.797460539594,386.6378093684214,360.2635700459925,19.39428945030134,1049.5924717267608,114.0677067751259,224.40104726726267,18.95892329906619,20.559884072477125,143.85061002398962,2.753075472111886,3.688607123336802,0.0013410275375419938
0.6,0.61116,0.005,0.9325,0.0625,740.9471039207917,47.223057436672946,1922.8248894745525,57146.11932000522,928658.765878293,481.19971360621645,4564.049640129726,2451.865695001467,419.1924357221242,359.337207829201,19.300589266007705,1042.6251362529235,109.67954627983471,216.53602210905515,19.271137481505278,19.298954251174468,145.49429637130135,2.7118384427773914,3.8601656485581515,0.001404348384105738
