phi,O2_molecules,CPT_frac,N2_frac,O2_frac,C5H8(522),C5H8O(825),CPT(563),O2(6),N2,H2(2),H2O(5),CO(12),CO2(13),CH4(33),CH3CHO(41),C2H4(52),C3H6(131),C3H4O(165),C4H6(227),C4H8(253),C5H6(478),C6H6(970),HO2(8),OH(4)
3.0,0.12233,0.005,0.9825,0.0125,480.8699829225124,27.751181423731648,2335.9320803542587,8585.210928086724,978550.6017073819,740.3892199313433,3279.429934181934,2255.6691379117015,234.54349528552484,261.7210078360039,39.088622067890284,1491.810185176723,120.02255549965892,343.60614977122424,21.838814463758332,40.6227109099295,80.95266833893344,2.970721639289724,1.966477550815958,0.0009704633572329448
2.0,0.1835,0.005,0.97625,0.01875,465.1248439263828,33.28504978774415,1598.609397488296,12206.135785156439,970594.3191407949,908.7155530817361,5300.386560363448,3987.3649524522043,555.8919379411113,356.6426495276793,50.60067626206199,1740.568927273959,108.9649179086664,317.5589323660931,22.734395372869212,33.10512087760905,73.92637121734603,3.663533534580617,3.4550608966326912,0.0019002125875467821
1.75,0.20962,0.005,0.973571429,0.021428571,462.16199653379226,34.68159820370569,1452.5929352884507,14164.70726140746,967596.4854813608,915.3076338122863,5859.092802616806,4389.111704820744,669.3713512587567,358.41327861135613,50.32397815245014,1739.0861137085078,99.49638199957525,298.31331421216834,22.122543752385333,28.719115198852272,72.03507986324016,3.4648910508515756,3.963305746463573,0.0022039113667814084
1.5,0.24456,0.005,0.97,0.025,465.5237939595768,36.518063640022305,1334.084774563173,17078.580742942384,963846.4076482747,889.9242736416589,6379.290409328986,4674.873952366735,786.7316339603972,345.36149490288614,47.89197337613319,1698.600467825718,87.83028076046246,274.3128807355134,21.437259714219902,23.888040767877417,71.42810262954872,3.127730287697454,4.507340468245909,0.002502681001625873
1.25,0.29347,0.005,0.965,0.03,478.14385104815875,39.07805224339161,1245.347002024187,21542.557673719944,958859.7748922548,825.6270234617184,6821.00727089903,4785.917393621403,894.2267660941766,316.60954447502246,43.2704410722057,1614.5125467120192,74.72456016468082,245.92758390295774,20.842451302513037,18.99805759702531,72.78381494546835,2.6967048284383663,5.064105458242895,0.0027667907228515394
1.1,0.33349,0.005,0.960909091,0.034090909,491.00695323940795,41.06056888770597,1205.936959706755,25391.609091014136,954884.8804920618,767.5359894638345,7034.867677277798,4751.1581959274035,945.8755017785548,292.15959601129106,39.57472742542968,1541.043709143637,66.46401984819458,226.8727489999786,20.549514262595384,16.156853327710614,74.76200467456157,2.4112244766295006,5.394141935000533,0.002897955149439785
1.0,0.36699,0.005,0.9575,0.0375,501.9404219122575,42.59171127265529,1184.9594358471556,28678.112535611857,951601.7196911619,721.0167781766439,7153.192428049601,4682.455376239443,971.6971331418453,273.1112775486039,36.79568647489554,1481.4476972725834,60.857777161365576,213.32781863113632,20.366171086946384,14.324945790794782,76.62165004769905,2.2141394973302235,5.609587958016654,0.002971900748057424
0.9,0.40744,0.005,0.953333333,0.041666667,514.7984165597618,44.299368350760275,1167.8606286786624,32755.602338816407,947601.6637030294,668.6726024553191,7251.050060927122,4576.256599016534,988.4559605987392,252.04008297722538,33.80926381674518,1412.4738187726225,55.193635495875185,199.10188812720074,20.172203926832392,12.549683585805022,78.9399410789014,2.013270571559985,5.819979742688129,0.003034594602479505
0.75,0.48933,0.005,0.945,0.05,537.7077343824488,47.20239476889922,1148.7506839604598,41022.28260053617,939599.0318196717,580.203861560474,7357.803652037923,4344.802254069336,991.7310343431859,216.98266334141059,29.02459109274622,1289.0378244623107,46.60814863643894,176.46237355248067,19.802686930771884,9.999039151730255,83.32106716483783,1.7065346095106544,6.123732980926501,0.0031077338493321594
0.65,0.56436,0.005,0.937307692,0.057692308,555.3819407249454,49.369366080341564,1139.8961765979293,48718.303430241074,932185.9376601675,515.2783332294445,7400.839472676374,4140.4082175915955,975.3627627584125,191.52649336630236,25.682859671545657,1191.2331119447479,40.82888927443313,160.4786341288509,19.452099624618416,8.375549131300023,86.87131082648736,1.4986758794826007,6.31675464971479,0.0031431212376343935
0.6,0.61116,0.005,0.9325,0.0625,564.9339905367249,50.52291758308139,1136.5321401380038,53543.41435080022,927537.5516158252,481.2023708604508,7413.289200444078,4022.2547845492027,960.3425123937812,178.2215984561819,23.977730479718026,1136.9299897452895,37.92228721276488,152.20974305431218,19.229445523144726,7.587488654920825,88.84175934984302,1.3935872644329645,6.409952310119619,0.0031569779989454433
0.55,0.66697,0.005,0.926818182,0.068181818,574.9612816235276,51.72350177951966,1133.8482399405157,59253.68034276718,922029.6386277355,446.1184558250851,7419.21016416418,3892.757772961111,940.0597234301721,164.5492574723552,22.253656206406987,1078.6023856302872,35.00393685113744,143.74878722505932,18.96718130297549,6.815707614142705,90.94507110290026,1.2875602778153656,6.500679936664129,0.0031683252019628744
0.5,0.73349,0.005,0.92,0.075,585.4647035879818,52.971632334846134,1131.8400383069938,66111.94509115544,915401.5356732435,410.0698289304291,7418.04741578341,3751.1353871413826,913.8795883978895,150.518785230393,20.512669642568166,1015.8687442259456,32.07338550535522,135.08713078201566,18.65898173596248,6.060796628169214,93.18303734086166,1.180402809727293,6.588693047727883,0.003177149621862668
0.45,0.81519,0.005,0.911666667,0.083333333,596.4479334518495,54.26832417630723,1130.5255064212047,74497.70212820204,907276.6016730624,373.0920509130584,7409.008856888738,3596.316304940667,881.0566564071785,136.13585446918424,18.755816576662546,948.28531810576,29.1300393841608,126.21204970323917,18.298458577742235,5.3235919636415,95.55718351947789,1.0718535898461103,6.673692096575569,0.003183362908460932
0.4,0.91709,0.005,0.90125,0.09375,607.9186868188499,55.61550339689408,1129.9572409663851,84979.92086048625,897089.6335218173,335.21164945564857,7390.9567744826245,3426.834069787121,840.7071687096804,121.40172568665128,16.982794053954255,875.3346314898063,26.173065710220794,117.10452355586692,17.8793529305793,4.6052327220470985,98.06851646100378,0.9615642253940928,6.755307322852934,0.0031867531832257766
0.35,1.0482,0.005,0.887857143,0.107142857,619.8895961616568,57.016658570646456,1130.2421011755189,98452.2299405273,883952.0230130702,296.4452346994826,7362.2426820497685,3240.679612522714,791.7762357943346,106.31265507876364,15.19139189859023,796.4126444882222,23.20121433733096,107.73575287271761,17.395729563027185,3.9072197766080596,100.71684502195826,0.8490755936321377,6.833086948136362,0.0031869085424147633
0.31,1.18334,0.005,0.874032258,0.120967742,629.8372648375542,58.18038852474947,1131.2099166596072,112351.02724447125,870353.852553785,264.799094137765,7330.005551545282,3077.9301275528096,745.6131502292859,93.98022592223124,13.741796003167321,728.5068299699625,20.811732333232815,100.0236300081149,16.95863384190278,3.364736362886136,102.93214583146414,0.7571046747092626,6.892196655415846,0.0031842254118022778
0.28,1.31012,0.005,0.861071429,0.133928571,637.5187524487292,59.08117119986468,1132.4664941116605,125373.24743587997,857579.1570419746,240.69551385070267,7299.316217416275,2946.611981695332,706.4111550890608,84.57493732600163,12.642243022047673,674.5313471908308,19.011662624186204,94.09185195102444,16.599663599004796,2.9679434731474643,104.64701054490773,0.686727224549319,6.934529016261798,0.003180200151877964
0.25,1.46734,0.005,0.845,0.15,645.3879053789615,60.00894406818643,1134.2817700779165,141510.723996177,841710.6923908412,216.2754809084749,7261.976811643796,2806.282972029948,662.8949035755464,75.03393100316342,11.529133754236845,617.7375144169296,17.203797918065504,88.012336518227,16.212420905681274,2.5804450026057855,106.40265895424409,0.614946016521715,6.975039130864726,0.0031740578331612133
0.23,1.59493,0.005,0.831956522,0.163043478,650.732804512913,60.644103851369806,1135.864265283749,154600.3285080304,828813.7404106,199.82007936150245,7232.780274474635,2707.147816928502,631.3021214601201,68.59792769388149,10.777728394534563,578.2119619504809,15.993652339762331,83.8647502801786,15.937571922124304,2.327620222392241,107.59143713779349,0.5662127534251334,7.001014635799724,0.0031685539077709983
0.2,1.83417,0.005,0.8075,0.1875,658.8744145973226,61.62452666484363,1138.9164899391021,179127.64267926206,804597.7823894317,174.87679242936264,7181.3743413394905,2549.053122920378,579.7556084192518,58.83440202405337,9.633049279499511,516.2810852414459,14.169976853773814,77.47678638731549,15.497853170964321,1.9572568229622296,109.38984483723073,0.49164363954228657,7.038502210936503,0.003157734746415302
0.19,1.93071,0.005,0.797631579,0.197368421,661.6115894828135,61.95921265939866,1140.143787713409,189019.54832046918,794816.1694933205,166.49427805003208,7161.929317539649,2493.6203780473793,561.4097250962324,55.552438167569406,9.24591519856815,494.9040919664911,13.559561440223431,75.29680162261263,15.343180066796311,1.8363143706592653,109.98922096189565,0.4663680672769264,7.0506506279624634,0.0031533366328011046
0.17,2.15785,0.005,0.774411765,0.220588235,667.0935303744648,62.64082030948265,1142.9630029289146,212284.81093805467,771782.1287978647,149.63073865661897,7119.076410377725,2378.2754912346372,522.8988765175371,48.952440499521096,8.46168022111873,451.0111145022858,12.334470386600819,70.84919488958874,15.01978541862483,1.5984635293666947,111.17759071319719,0.41515773542040496,7.0745742371562885,0.0031431671566889835
0.15,2.44557,0.005,0.745,0.25,672.5296332313194,63.33824729745216,1146.3281290700638,241737.44690502295,742575.900786594,132.64291123373252,7070.2861707742,2256.513587581902,481.90346148237,42.3146890851737,7.662043161712676,405.5659314217373,11.103084891338941,66.268478686617,14.67413517798927,1.3663703073986142,112.3329446024903,0.3630600247968053,7.098322299968315,0.003130943343201498
0.13,2.75147,0.005,0.706538462,0.288461538,677.8025082688953,64.0485657451327,1150.3073519475938,280230.20411223784,704345.8693319401,115.54448242743977,7014.659173204077,2127.8061108339384,438.3996056046207,35.65987881794017,6.844140740458817,358.54803145077153,9.86457517753413,61.53044916830963,14.29934379375769,1.1406333874733974,113.41735942243517,0.3101163996673394,7.122588353567501,0.0031164063901885754
0.11,3.33486,0.005,0.654090909,0.340909091,682.6886089538998,64.76327323584881,1154.9444948024998,332689.97748299525,652165.935918058,98.35857103631102,6951.161264517161,1991.704139129466,392.46192569337063,29.024275274128644,6.004884637957851,309.977410396494,8.618004736256905,56.60361429142714,13.883177432957085,0.9221205201682661,114.3617115406323,0.25647351913617306,7.148712862892858,0.0030993729022130343
0.1,3.66835,0.005,0.62,0.375,684.8627419322095,65.11658803776561,1157.5063428507199,366774.70941113296,618227.5625421695,89.74410162482837,6916.100221957819,1920.8018112816899,368.65199455609013,25.731977009604353,5.576333786331358,285.1356202269408,7.991369356889376,54.05672404499122,13.65314728459197,0.8159648806655073,114.74378190082626,0.2294852030597329,7.163222260273389,0.0030899148965092106
