phi,O2_molecules,CPT_frac,N2_frac,O2_frac,H2(2),O2(6),N2,CO(12),CO2(13),CH4(33),CH3CHO(41),C2H4(52),C3H6(131),C3H4O(165),C4H6(227),C4H8(253),C5H6(478),CPT(563),C6H6(970),OH(4),H2O(5),HO2(8),C5H8(522),C5H8O(825)rs
3.0,0.12233,0.005,0.9825,0.0125,873.6013260163371,7869.143848602296,977741.7749923073,2929.0429739593787,319.2764869291742,343.6504325520962,45.83089052406714,1757.751288453063,102.3069734224543,382.33383733647406,26.217652425115602,44.24034074677336,53.74983130898939,2039.561892215251,2.780413026437401,0.001275191587968913,3750.578368338566,2.2499021006387516,539.7566277170786,25.147824495548154
2.0,0.1835,0.005,0.97625,0.01875,1075.6987880272084,11309.931526638366,969621.4615934712,4933.38699838657,690.736212738611,445.22511885608105,55.08711166447318,1979.1284654464055,79.99229619952749,342.0620940865431,23.960593438461903,30.263546972163617,48.91519559052145,1361.5908702554927,3.054350971985263,0.002457779293749716,5865.942804158078,3.9776305257546594,524.3234623359075,27.146955817938874
1.75,0.20962,0.005,0.973571429,0.021428571,1071.9561392902726,13324.27096141993,966680.0650189741,5293.893642020914,812.7082408759898,442.2328684746019,53.05980554438164,1958.1810340146542,69.38077094168733,320.8666428669301,22.794345431808598,25.281856267909674,49.68167024812486,1248.1168699303337,2.8891658835675282,0.0027904618453511595,6375.954099437092,4.512261946943369,531.6666126429011,28.201399004481065
1.5,0.24456,0.005,0.97,0.025,1029.336795631894,16338.695991914117,963019.8147886873,5490.94622598707,935.5381208599736,423.7537747893899,48.88866461444125,1901.1407141216248,58.1933097581266,296.07081198477914,21.884976364236483,20.411170142969464,52.37404892937123,1163.0683469400003,2.6696302172016346,0.0030855950300778152,6812.602210974492,5.052388257843749,551.1831831488302,29.964879666076325
1.25,0.29347,0.005,0.965,0.03,945.4988696878346,20929.251035587393,958133.7206446207,5489.75314553719,1046.531405875974,390.1568404280471,42.93549695815963,1806.5752897033499,47.26665047769794,267.63570558263234,21.420025144176837,15.881963525032312,57.635087219699514,1105.0442148102993,2.4167587988331105,0.0033149462069323042,7148.182008893307,5.575656919806949,585.8415401624379,32.664768508048844
1.1,0.33349,0.005,0.960909091,0.034090909,876.5659243600558,24855.3343897418,954213.3845679611,5389.351103031665,1100.6084473662934,363.310500017339,38.745703612155324,1730.080536589774,41.05508582054794,248.65532859250197,21.373597762910816,13.375063200224828,62.338064329596826,1081.6689522124313,2.2530877750214255,0.003414546943562206,7295.511877483656,5.874833583858414,614.7402063319663,34.81190426035934
1.0,0.36699,0.005,0.9575,0.0375,823.6315937080847,28189.48548171031,950960.9854137773,5281.773051340453,1128.8148040304989,342.8475294129256,35.77771583053816,1669.6995240592423,37.084334198317585,235.12279390628444,21.42546029176473,11.796373304754185,66.24380331983878,1070.1713523508786,2.13892369597726,0.0034649686935933044,7371.2582249169345,6.067011472908818,637.5530555251554,36.48315403666469
0.9,0.40744,0.005,0.953333333,0.041666667,765.6360754847879,32309.13291152214,946985.6635288353,5142.823922513478,1148.9938359866449,320.442404584588,32.7134712416888,1600.7718251800372,33.24682084998767,220.84165965815842,21.524913430314673,10.291591802904119,70.8558271846872,1061.497638268946,2.0200888152389833,0.0035034071290027833,7429.748005432826,6.253234292549156,663.2622900236796,38.35517340381612
0.75,0.48933,0.005,0.945,0.05,670.0969242963054,40623.34822927668,939006.3428666018,4877.860940128381,1160.1713029811294,283.3260808014426,28.00830624473008,1478.5251276545523,27.71255328556071,197.94035234400823,21.708331197892868,8.170349835300557,79.31365952728251,1052.851061882311,1.8308781225430024,0.003541380452687863,7487.274241047198,6.521869789695985,707.312270002472,41.551047753794265
0.65,0.56436,0.005,0.937307692,0.057692308,601.2226410984466,48336.130554337185,931598.1759813377,4664.512694754779,1151.4279135790882,256.24802711786595,24.838189760808156,1381.811497835009,24.14236513577351,181.64223637773358,21.802885494118318,6.8443365209266664,86.16356557572321,1049.3009069378722,1.6951230958746215,0.003556182441786446,7507.174415156583,6.694572321480205,740.3347398836594,43.94281382933611
