phi,O2_molecules,CPT_frac,N2_frac,O2_frac,H2(2),OH(4),H2O(5),O2(6),N2,HO2(8),CO(12),CO2(13),CH4(33),CH3CHO(41),C2H4(52),C3H6(131),C3H4O(165),C4H6(227),C4H8(253),C5H6(478),C5H8(522),CPT(563),C5H8O(825)rs,C6H6(970)
3.0,0.12233,0.005,0.9825,0.0125,739.9342640527639,0.0009699277928978201,3278.524349296073,8587.527233729346,978551.8563310666,1.9645039746951174,2253.9736271702745,234.44798385031805,261.52545430969434,39.030142875579386,1491.6646337066272,120.03654735267173,343.5038935845741,21.84710590892678,40.62602114509043,81.0333816102727,481.24247043222397,2336.7628180107295,27.776597449178105,2.972494374063467
2.0,0.1835,0.005,0.97625,0.01875,908.5544233539015,0.0018999085480274392,5301.152799470389,12207.012713954935,970592.9978120293,3.4511538565673963,3987.0265117185195,556.0910696684249,356.69263563879514,50.56648392259708,1741.201798236989,109.05999117919505,317.5821866546205,22.758404851612184,33.14542186319646,74.05627461430453,465.6548560731274,1598.9278220651486,33.31814381120533,3.6733566502165305
1.75,0.20962,0.005,0.973571429,0.021428571,915.4391105311419,0.0022041824799913855,5861.3285728750425,14163.853487981305,967593.1374833981,3.9589013624437674,4390.445032033587,669.8695599492088,358.60652730293674,50.310000868502115,1740.1067026510789,99.61261681261549,298.37356348608176,22.148265485581,28.7651995716079,72.16769471322225,462.6967850089806,1452.6188291088747,34.712511555195924,3.476866265745948
1.5,0.24456,0.005,0.97,0.025,890.4871808242533,0.002504011729704295,6383.864563075681,17074.895940640534,963840.0483850762,4.502502568111298,4678.851281662091,787.74839351005,345.7309251475907,47.904369840157685,1700.114707862154,87.96392353819014,274.41522294348795,21.463270581287652,23.937295645069664,71.56146882163797,466.05831852383045,1333.7344765682972,36.54413117072214,3.1415649462986677
1.25,0.29347,0.005,0.965,0.03,826.7688565216732,0.00276986850037072,6829.201386576069,21534.456122770378,958849.097329674,5.058915710428404,4793.791433584813,896.1072758968556,317.1848684880258,43.314440771666725,1616.676270485174,74.87181752772779,246.0847920084925,20.868244609252777,19.04864658742895,72.91929642725336,478.68955401520014,1244.5077639526885,39.096052562493966,2.7121772905808794
1.1,0.33349,0.005,0.960909091,0.034090909,769.0960632362069,0.0029025349719139,7046.136380467918,25379.762192625454,954870.773907166,5.3887834344196195,4762.152237163642,948.5140189460946,292.8717982000274,39.63994010421289,1543.7114220344486,66.61851779109519,227.0740933491685,20.575743336441636,16.207925751301573,74.90115960675026,491.57473900462946,1204.7211573102102,41.07164756329548,2.427652857895314
1.0,0.36699,0.005,0.9575,0.0375,722.8852036056825,0.0029777394388170535,7167.043885425813,28663.1318432407,951584.8688297218,5.604137618692524,4695.953610922352,974.9734667823425,273.9200662907656,36.87601897171589,1484.517917280499,61.017198537941034,213.56554874801455,20.39333924375835,14.376418940024935,76.76495851391972,502.5335674763602,1183.439558160875,42.59692612620324,2.231223350912776
0.9,0.40744,0.005,0.953333333,0.041666667,670.873235491113,0.0030419647239809037,7268.054081703982,32736.81517934504,947581.6086022843,5.814459158315916,4592.687347879988,992.5004589953847,252.94945054410456,33.90560339665202,1416.0133998387423,55.358381526856824,199.383330515059,20.20116115656429,12.601741911781856,79.08930255988977,515.4285477928659,1165.9764050446502,44.29730849630223,2.0310392466626173
0.75,0.48933,0.005,0.945,0.05,582.9480409630255,0.0031181264067159,7381.036323857846,40996.03876253051,939573.0509246239,6.1181684247834145,4366.693501019867,997.2321169515268,218.04897257752566,29.14696833444116,1293.437028893804,46.78228423350677,176.82778257645387,19.836779367500043,10.052545431035709,83.48459397024226,538.4229110032265,1146.1509759012959,47.185374122276116,1.725406299490318
0.65,0.56436,0.005,0.937307692,0.057692308,518.4144961514038,0.00315625437637494,7429.683725154217,48685.411275948194,932155.0157320496,6.31122767591033,4166.908277706741,982.0888591557772,192.69928080596475,25.824317607602016,1196.3310681860798,41.01067108832709,160.9168449300578,19.492029086557082,8.430538095819415,87.04934661143852,556.1805008915488,1136.6448411121246,49.33800512587586,1.5183386933071106
