phi,O2_molecules,CPT_frac,N2_frac,O2_frac,C5H8(522),C5H8O(825)rs,CPT(563),O2(6),N2,H2(2),H2O(5),CO(12),CO2(13),CH4(33),CH3CHO(41),C2H4(52),C3H6(131),C3H4O(165),C4H6(227),C4H8(253),C5H6(478),C6H6(970),HO2(8),OH(4)
3.0,0.12233,0.005,0.9825,0.0125,504.5134381751902,28.294441162449594,2997.0784115467454,10277.884323954084,980056.2263219107,458.1534798651578,2077.2935834813193,1068.9637929119049,25.450710699004084,132.94377699086294,12.854557910615329,1077.2591639295601,152.95688122998104,290.07540447062627,13.892998254983356,26.717222639900513,58.50444630954568,0.6635197786245746,1.417460532972782,0.0005576417507576864
2.0,0.1835,0.005,0.97625,0.01875,570.8461341195151,36.72887039901431,2071.1308346044675,14466.036808294593,972269.7277671443,590.4178029713416,3889.2049552538474,2356.0162124253006,95.27020510027818,257.48962880743164,23.31352130909246,1378.5822270060723,175.74103452221195,314.83776220496225,22.916861020758862,32.94755617932155,80.68635802561711,1.7050097778639557,2.715799572673588,0.0012593652368773742
1.75,0.20962,0.005,0.973571429,0.021428571,578.3374981299869,37.87721224445109,1871.9263114710068,16539.226181645157,969244.9188700814,600.6600759065287,4423.680188425435,2720.0965797059634,126.50124911223519,281.36269669058794,24.818828101181545,1388.8361130409098,171.48151351094333,305.7425999373195,24.761304186963844,31.77961937762734,85.61111899267617,1.9233499950633992,3.150751328976775,0.0015084815179323096
1.5,0.24456,0.005,0.97,0.025,586.1080555399658,38.99347238863004,1692.694824616447,19497.06694963719,965390.6520811752,593.7369657931082,4972.869954049097,3055.778070280698,164.47965218042842,296.8486133462269,25.323747491121207,1361.883649450612,162.45953517642528,290.1257592024506,26.43124534205702,29.4595761164539,91.19775966107053,2.0759929255975726,3.635737004627321,0.0017856888971085041
1.25,0.29347,0.005,0.965,0.03,596.8143233653868,40.35134800173433,1536.4198656756664,23903.699772295447,960210.1786997775,564.6167112521908,5516.108741672568,3321.179970957252,208.5770588618152,300.78093191692153,24.59408379676839,1292.694387189705,148.48636037419075,267.839824270695,27.971370302904976,26.104250351402403,98.36219455310389,2.145057891305128,4.168392181995549,0.002082607434421527
1.1,0.33349,0.005,0.960909091,0.034090909,605.7703473679042,41.40890700676649,1454.5077575407022,27662.8571991758,956078.8283737048,534.7166861018395,5827.785977920517,3425.9569686219334,237.14118388858196,296.3599597318341,23.512269768211695,1229.3828920366066,137.6939508664478,251.1940256331841,28.838716197459306,23.659575940554436,103.92596475318292,2.1415472621034386,4.508421090698735,0.002264420438786968
1.0,0.36699,0.005,0.9575,0.0375,613.1283870794937,42.25770976926058,1404.9735911555179,30865.886520363114,952677.4741938706,509.254537021127,6025.328589846178,3466.100373591595,256.5909678156586,290.241013757771,22.52227550829546,1177.7937016096553,129.49543969451742,238.70466093489813,29.38162510472283,21.87133222212627,108.36451041226445,2.119315991603181,4.742499539376218,0.002384704265033202
0.9,0.40744,0.005,0.953333333,0.041666667,621.7543535521772,43.245569028185884,1359.5121464237857,34841.21177413373,948550.0424495088,479.3233609467212,6212.073420594875,3478.6860917284703,275.99148099031106,281.4216300184905,21.32453804377149,1118.610894840445,120.49914034942263,225.08682835416025,29.877515944063394,19.967375148325054,113.52062103119503,2.0804677470583965,4.981762639582746,0.0025026680392459316
0.75,0.48933,0.005,0.945,0.05,637.2913923216959,45.032006494956704,1298.8797830497447,42918.99490841241,940342.0205386855,426.2498539491569,6466.960015841836,3439.563328800854,304.09378276714295,262.8784949504763,19.162901150182797,1015.5052338046047,105.53114593108666,202.52856906910188,30.466003345402157,16.91436693874606,122.88945105090534,1.9892237072788777,5.349002092313461,0.002672141834251613
0.65,0.56436,0.005,0.937307692,0.057692308,649.456585454512,46.453209193005385,1263.3762422229195,50463.07890440367,932783.1317716476,385.7279720309003,6616.815105857339,3371.378716458367,321.41934754181636,246.83452268923475,17.50025000602388,937.1386058714663,94.59691545728732,186.0727568747498,30.681774333516557,14.761924858641217,130.44303518849125,1.904653600630178,5.598625273337056,0.00277810178244838
0.6,0.61116,0.005,0.9325,0.0625,656.0752720862494,47.23887049479891,1247.0480916427996,55203.0198254532,928058.8983792088,364.0394640634942,6684.931197226883,3324.010405716093,329.43033960205724,237.67389282351115,16.608985613437454,895.0245835428882,88.85365783932085,177.4253358750247,30.709144606351483,13.654993100662933,134.67419994147025,1.8545968491018547,5.72477290669807,0.0028284975481840027
0.55,0.66697,0.005,0.926818182,0.068181818,663.0333749993518,48.076539219860535,1231.635202751871,60820.81368632772,922472.794360778,341.45764971384205,6748.179531325507,3267.611460462668,336.886147848787,227.7354326697955,15.680831251810968,850.9175632879193,82.93262208113237,168.50257313481342,30.66608865991608,12.530094773751793,139.2382019110776,1.7989511229588746,5.851841212676127,0.0028769959927376753
0.5,0.73349,0.005,0.92,0.075,670.304683418737,48.96707017900504,1217.1040406092147,67577.96388711047,915763.7136497315,318.025158457226,6806.327690563608,3202.1035714353825,343.6819459723831,216.9987570300025,14.718017423693482,804.7673967323298,76.8393969674112,159.30838337305937,30.53694193151043,11.389551238003149,144.15864099466282,1.7373091060945092,5.979927662635963,0.0029234995687737113
0.45,0.81519,0.005,0.911666667,0.083333333,677.8479761850796,49.91056732204322,1203.4120470225607,75852.0838679311,907554.4405091618,293.77816991821607,6859.148035550172,3127.44518522138,349.6962569190168,205.43312670989022,13.722544742596908,756.4972134827559,70.5800769635277,149.84658327706177,30.303018312338853,10.2361403168877,149.45988542477755,1.6691395324743818,6.109227397577707,0.0029679491425549757
0.4,0.91709,0.005,0.90125,0.09375,685.6002620840798,50.90604156670738,1190.5042197876894,86209.50405467665,897279.0897548874,268.7390895663503,6906.406416487556,3043.6140486442473,354.78300956076316,192.989577805432,12.695941367753802,705.9895190693943,64.16090983128592,140.1198127372257,29.942058185558516,9.07318609422286,155.16679192177455,1.5937237357702239,6.2400870851659835,0.0030103385718163894
0.35,1.0482,0.005,0.887857143,0.107142857,693.4655193926219,51.95086011292682,1178.3075289044614,99540.11451533446,884048.3480205975,242.90516756281892,6947.839745175038,2950.574278714782,358.7575385238383,179.58740598876062,11.638863536694323,653.063613587748,57.58763687322311,130.1276068837303,29.42759216848403,7.9046433212792255,161.3041216183353,1.51004535913259,6.373095901635716,0.0030507369182281243
0.31,1.18334,0.005,0.874032258,0.120967742,699.741592976101,52.81886663376593,1168.9958348291423,113309.8338328136,870371.9001070649,221.63664359031276,6976.57127767509,2869.4433987705133,360.97232627441207,168.0864671550613,10.770727558542406,608.7967082508461,52.22086597338775,121.93835337810299,28.884611952336677,6.968879675852371,166.5397008720887,1.4361599542653638,6.48169879242028,0.0030817383117036547
0.28,1.31012,0.005,0.861071429,0.133928571,704.3673230059037,53.48584067949375,1162.227157645837,126223.60926299573,857536.3015359007,205.30026329712194,6995.394599196754,2804.6076686652686,361.95956307057827,158.9358056371188,10.105522618164297,574.335736454933,48.133112924971755,115.67691615704321,28.38875997584947,6.268253711607766,170.66322680587194,1.3759717792866235,6.564939980508541,0.0031043248742094144
