phi,O2_molecules,CPT_frac,N2_frac,O2_frac,C5H8(522),C5H8O(825)rs,CPT(563),O2(6),N2,H2(2),H2O(5),CO(12),CO2(13),CH4(33),CH3CHO(41),C2H4(52),C3H6(131),C3H4O(165),C4H6(227),C4H8(253),C5H6(478),C6H6(970),HO2(8),OH(4)
3.0,0.12233,0.005,0.9825,0.0125,470.8345142671433,27.77053028836306,2177.671416698795,8199.76483975043,978251.5897783283,767.3213456246854,3628.5522762095006,2549.686357593226,219.579896451691,272.397952847306,42.01097606700125,1554.1151539556813,124.45656076584855,345.5714067062784,26.728750356188144,41.28966337814383,64.56320141197004,2.585377809429225,2.1473599454411656,0.0011186876164999012
2.0,0.1835,0.005,0.97625,0.01875,446.3489025416215,32.195144219300204,1487.1195373975727,11823.510987179969,970345.2718807212,916.110004089083,5689.544986821649,4324.431427987843,505.846416237182,351.97577724766415,51.58887140521099,1727.046984882892,107.9983800844339,310.1920095744569,27.023978038654832,32.326063240491024,60.071264406875024,3.0596716661145997,3.7005821617722776,0.002131330115277917
1.75,0.20962,0.005,0.973571429,0.021428571,444.2430455996769,33.499158126213445,1356.219611128098,13822.603804275508,967397.38593728,910.6866356631486,6235.371862583201,4694.937068277574,602.9999012797286,348.39181035740296,50.35931667911681,1699.5860210944866,97.47874445583506,289.90086312654887,26.23216612764651,27.89442374862058,59.32051932271151,2.8737847397894383,4.2149010824862625,0.002447419075209682
1.5,0.24456,0.005,0.97,0.025,449.3235675985926,35.31992079151634,1251.8415417454055,16797.356130596705,963713.1005344724,871.0033870665746,6730.576878253759,4927.872957966623,699.3089844693034,330.34594302825036,46.94004892919786,1632.2062057198,85.09148645658487,265.4386807926897,25.364480151377734,23.13293763023256,59.794558498444815,2.5819971500458827,4.756602258719411,0.0027503481928033363
1.25,0.29347,0.005,0.965,0.03,464.1301519959025,37.91226332464918,1175.6403204744497,21343.848230837273,958805.3847306875,792.0783057019247,7133.907203680679,4965.566540624923,780.4249136082568,297.56683733882323,41.432677064538765,1521.2415425696195,71.58484385466554,237.06104675954077,24.51152111230275,18.355775259509734,62.055045021633234,2.2194082807616193,5.300174944613711,0.003008708784392742
1.1,0.33349,0.005,0.960909091,0.034090909,478.41954413511934,39.927105104031675,1143.1172767362482,25253.834957684856,954882.695053748,726.2218234763327,7317.0493402426755,4877.437959185005,813.8453162006617,271.41157663761584,37.30531960957232,1432.1756205742324,63.222102944716305,218.20096252055242,23.97554422021428,15.573389646605317,64.47369551077585,1.9815940295324987,5.615610993743299,0.003130921549290973
1.0,0.36699,0.005,0.9575,0.0375,490.34739041967265,41.48460648086949,1126.6347462939757,28586.25648635683,951635.7769880387,675.3970898782044,7410.940904662489,4769.351811998488,826.7906472928553,251.6100933203021,34.29420966317323,1362.7218803524436,57.60523261151116,204.8653049189747,23.573391380022755,13.771082056929862,66.58843405634758,1.8179088763125066,5.817826685099779,0.0031961733868541772
0.9,0.40744,0.005,0.953333333,0.041666667,,,,,,,,,,,,,,,,,,,,
0.75,0.48933,0.005,0.945,0.05,528.9128814602819,46.196456607794204,1102.4325588209767,41065.39480977677,939724.9836831752,528.6857621635099,7536.704320809919,4320.953048268575,814.7574005540706,195.34131509556346,26.186269415848354,1149.9882522519588,43.56597478896119,168.8482891228445,22.20430823291842,9.488758890764839,73.84495120563274,1.3973461278306014,6.283203901299177,0.0032977069436489633
0.65,0.56436,0.005,0.937307692,0.057692308,547.9639572041094,48.43528444443205,1099.2651802687099,48823.21740101388,932346.5256768237,464.06865901434395,7539.5391611622645,4068.6241192644075,787.5295762682235,170.71118345824388,22.82739901650173,1047.351215969426,37.987758607980155,153.35835426886095,21.42074519767679,7.8807055732498466,77.62285606082628,1.2255625403832906,6.449096680891371,0.0033126217652066675
