phi,O2_molecules,H2(2),OH(4),H2O(5),O2(6),CO(12),CO2(13),CH4(33),CH3CHO(41),C2H4(52),C3H6(131),C3H4O(165),C4H6(227),C4H8(253),C5H6(478),C5H8(522),CPT(563),C5H8O(825),C6H6(970),HO2(8)
0.1,3.66835,93.9,3.17E-09,7069.6,366586.2,2013.3,385.9,26.8,5.9,295.3,8.3,55.8,13.9,0.9,115.5,685.5,1134.1,64.4,0.249,7.16E-06
0.11,3.33486,102.7,3.18E-09,7100.7,332507.8,2084.2,410.1,30.1,6.3,320.5,8.9,58.3,14.1,1,115,683.1,1132.3,64.1,0.27753,7.14E-06
0.13,2.75147,120.1,3.19E-09,7156.4,280059.5,2219.5,456.6,36.9,7.1,369.7,10.2,63.2,14.5,1.2,113.9,677.9,1129,63.4,0.33372,7.12E-06
0.15,2.44557,137.4,3.20E-09,7204.6,241576.6,2346.9,500.4,43.7,7.9,417.1,11.4,67.9,14.8,1.4,112.8,672.3,1126.3,62.7,0.38877,7.09E-06
0.17,2.15785,154.5,3.21E-09,7246.4,212132.7,2467,541.5,50.4,8.7,462.8,12.6,72.5,15.2,1.7,111.5,666.6,1124.1,62.1,0.44265,7.07E-06
0.19,1.93071,171.4,3.21E-09,7283,188875,2580.7,580,57.1,9.5,506.9,13.9,76.9,15.5,1.9,110.3,660.9,1122.2,61.4,0.49537,7.05E-06
0.2,1.83417,179.8,3.22E-09,7299.5,178986.5,2635.2,598.3,60.4,9.9,528.4,14.5,79,15.6,2,109.6,658,1121.4,61.1,0.52132,7.03E-06
0.23,1.59493,204.8,3.22E-09,7343.1,154468.4,2790.8,649.7,70.2,11.1,590.5,16.3,85.4,16,2.4,107.7,649.6,1119.5,60.1,0.59766,7.00E-06
0.25,1.46734,221.3,3.22E-09,7367.6,141384,2888.3,681,76.7,11.8,630,17.5,89.5,16.3,2.7,106.5,644.1,1118.6,59.5,0.64741,6.97E-06
0.28,1.31012,245.7,3.23E-09,7398.9,125253.4,3026.3,724.2,86.3,12.9,686.9,19.3,95.5,16.7,3,104.7,636,1117.6,58.6,0.72055,6.93E-06
0.31,1.18334,269.8,3.23E-09,7424.3,112237.1,3155.6,763,95.7,14,740.8,21.1,101.4,17,3.4,102.9,628.1,1117,57.7,0.79212,6.89E-06
0.35,1.0482,301.4,3.23E-09,7450.6,98345,3315.9,808.6,108.1,15.5,808.7,23.5,109.1,17.5,4,100.7,617.9,1116.8,56.6,0.8855,6.83E-06
0.4,0.91709,340.1,3.22E-09,7473.3,84879.3,3499.5,856.8,123.2,17.2,887.5,26.5,118.4,17.9,4.7,98,605.6,1117.2,55.2,0.99957,6.75E-06
0.45,0.81519,377.9,3.22E-09,7486.5,74402.2,3666.9,896.4,138,19,960.4,29.5,127.5,18.3,5.4,95.4,593.9,1118.3,53.9,1.1113,6.67E-06
0.5,0.73349,414.7,3.21E-09,7491.5,66021.2,3820,928.6,152.4,20.8,1027.8,32.4,136.3,18.7,6.1,93,582.7,1120,52.6,1.22119,6.58E-06
0.55,0.66697,450.7,3.20E-09,7489.3,59166.8,3960.2,954.1,166.4,22.5,1090.5,35.4,144.9,19,6.9,90.7,572,1122.3,51.3,1.32962,6.50E-06
0.6,0.61116,485.7,3.18E-09,7480.6,53459.6,4088.4,973.8,180.1,24.2,1148.7,38.3,153.4,19.2,7.7,88.6,561.8,1125.2,50.2,1.43687,6.41E-06
0.65,0.56436,519.7,3.17E-09,7465.7,48637.2,4205.5,988.2,193.4,25.9,1203,41.2,161.6,19.5,8.5,86.6,552.1,1128.7,49,1.54315,6.31E-06
0.75,0.48933,584.6,3.13E-09,7418.7,40945.8,4408.2,1003.5,218.9,29.3,1300.7,47,177.6,19.8,10.1,83,534.3,1137.8,46.9,1.75329,6.12E-06
0.9,0.40744,672.9,3.05E-09,7307.3,32685,4637.5,998.7,254,34.1,1424.1,55.6,200.1,20.2,12.6,78.6,511.1,1157.2,44,2.06327,5.82E-06
1,0.36699,725.2,2.99E-09,7206.7,28610.5,4742.3,981,275.1,37,1493.1,61.3,214.4,20.3,14.4,76.3,498.2,1174.4,42.3,2.26625,5.61E-06
1.1,0.33349,771.6,2.91E-09,7085.9,25327.1,4809.5,954.2,294.2,39.8,1552.8,66.9,227.9,20.5,16.3,74.4,487.2,1195.4,40.8,2.46536,5.39E-06
1.25,0.29347,829.6,2.78E-09,6868.4,21482.6,4841.7,901.3,318.6,43.5,1626.4,75.2,247,20.8,19.1,72.4,474.3,1234.9,38.8,2.75379,5.06E-06
1.5,0.24456,893.5,2.51E-09,6420.3,17026.6,4725.2,791.8,347.3,48.2,1710.7,88.4,275.4,21.4,24,71.1,461.7,1324,36.3,3.18915,4.50E-06
1.75,0.20962,918.3,2.21E-09,5893.6,14121.4,4432.5,672.9,360.3,50.6,1751.4,100.2,299.5,22.1,28.9,71.7,458.6,1443,34.5,3.52911,3.96E-06
2,0.1835,910.9,1.91E-09,5328.1,12171,4022.8,558.1,358.2,50.8,1752.7,109.7,318.9,22.8,33.3,73.6,461.8,1589.8,33.1,3.72793,3.45E-06
3,0.12233,739.5,9.70E-10,3286.5,8576.8,2264.8,234.2,261.7,39.2,1500.3,120.7,345.3,21.9,40.9,80.7,478.7,2332.4,27.7,3.00478,1.96E-06
