phi,O2_molecules,H2,OH,H2O,O2,CO,CO2,CH4,CH3CHO,C2H4,C3H6,C2H3CHO,C4H6,C4H8-1,C5H6,CYC5H8,CPT,CPTYO12,C6H6,HO2
0.1,3.66835,419.5,6.14E-09,11887.4,358072.1,8848.8,736,35.5,30.1,227.1,7.6,177.8,27.9,3,144.8,445.1,663.2,36.9,0.56749,8.48E-06
0.11,3.33486,448.3,6.09E-09,11836.9,324306.4,8868.9,715.1,39.1,30.7,247.9,8.3,180.3,27,3.1,141.9,444.6,668.1,36.8,0.61636,8.38E-06
0.13,2.75147,501.8,5.98E-09,11734.6,272387.3,8896.6,680.4,46.1,31.8,289.3,9.6,184.9,25.3,3.4,136.7,444,678.2,36.7,0.70814,8.19E-06
0.15,2.44557,550.6,5.88E-09,11633.8,234341.9,8914,652.8,52.9,32.8,330.4,10.8,188.9,23.9,3.6,132.3,443.3,688.1,36.6,0.79266,8.02E-06
0.17,2.15785,595.5,5.78E-09,11536.1,205270.5,8925.6,630.2,59.3,33.7,371.1,12,192.4,22.7,3.7,128.4,442.6,697.7,36.5,0.87073,7.88E-06
0.19,1.93071,637.3,5.69E-09,11442.4,182337,8933.7,611.3,65.5,34.5,411.1,13.1,195.6,21.7,3.9,125,441.8,706.9,36.4,0.94311,7.75E-06
0.2,1.83417,657.1,5.65E-09,11397,172596.1,8936.8,603,68.5,34.9,430.9,13.7,197.1,21.3,4,123.4,441.4,711.3,36.4,0.97738,7.69E-06
0.23,1.59493,712.9,5.53E-09,11266.7,148473.8,8944.2,581.5,77.1,36,489.3,15.3,201.1,20.1,4.2,119,439.9,723.9,36.2,1.07342,7.53E-06
0.25,1.46734,747.5,5.45E-09,11184.5,135621.6,8948,569.4,82.6,36.6,527.4,16.4,203.6,19.4,4.3,116.3,438.7,731.8,36.1,1.13245,7.44E-06
0.28,1.31012,796,5.35E-09,11067.4,119801.6,8952.6,553.9,90.5,37.6,583.2,17.9,207,18.5,4.5,112.6,436.7,742.8,36,1.21463,7.31E-06
0.31,1.18334,841.2,5.26E-09,10957.3,107059.3,8956.5,540.8,97.9,38.5,637.3,19.4,210.2,17.7,4.6,109.3,434.5,753.1,35.8,1.29026,7.19E-06
0.35,1.0482,896.8,5.16E-09,10819.9,93487.3,8960.9,526,107.4,39.7,706.8,21.4,214.1,16.9,4.8,105.3,431.3,765.8,35.5,1.38263,7.05E-06
0.4,0.91709,959.9,5.04E-09,10658.6,80368,8962.3,510.9,118.4,41.2,789.3,23.7,218.5,16,5.1,100.9,427.3,780.7,35.2,1.48648,6.90E-06
0.45,0.81519,1017.7,4.93E-09,10511.7,70184.7,8965.3,498.3,128.7,42.6,867.7,26,222.7,15.3,5.4,96.9,422.7,793.7,34.8,1.58134,6.76E-06
0.5,0.73349,1070.7,4.84E-09,10374.6,62057.3,8966.7,487.5,138.5,44,942,28.2,226.6,14.7,5.7,93.4,418,805.7,34.4,1.66869,6.64E-06
0.55,0.66697,1119.6,4.76E-09,10245.7,55424.2,8966.2,478.1,147.7,45.4,1012.3,30.4,230.5,14.2,6,90.2,413.2,816.9,33.9,1.75012,6.52E-06
0.6,0.61116,1164.9,4.68E-09,10123.6,49911.3,8963.7,469.6,156.5,46.8,1078.9,32.6,234.2,13.8,6.3,87.3,408.3,827.3,33.5,1.82688,6.42E-06
0.65,0.56436,1207.1,4.61E-09,10007.3,45259.3,8959.1,461.9,164.9,48.3,1142.2,34.7,237.8,13.4,6.6,84.6,403.5,837.3,33,1.89993,6.31E-06
0.75,0.48933,1283.1,4.48E-09,9788,37850.6,8942.7,447.9,180.8,51.2,1259.4,38.8,244.9,12.8,7.2,79.9,393.9,856,32.1,2.03783,6.13E-06
0.9,0.40744,1380.3,4.30E-09,9482,29895.3,8898.8,429.2,202.9,55.8,1414.9,44.9,255.2,12.3,8.2,74.1,380.3,882.6,30.7,2.23212,5.87E-06
1,0.36699,1435.7,4.19E-09,9287.1,25962.3,8855.3,417.2,216.6,59,1507,48.9,262,12.1,9,70.9,371.9,900.1,29.8,2.35759,5.71E-06
1.1,0.33349,1484.7,4.08E-09,9095.7,22779.2,8799.8,405.3,229.6,62.2,1591,53,268.7,11.9,9.8,68.1,364,918,28.9,2.48221,5.55E-06
1.25,0.29347,1547.4,3.92E-09,8809.9,19022.2,8692.1,386.8,248,67.2,1703.5,59.2,278.9,11.9,11.1,64.8,353.4,946.5,27.6,2.67067,5.31E-06
1.5,0.24456,1625.5,3.64E-09,8322.5,14588.7,8442.3,353.2,275.4,75.5,1859,69.8,295.8,12.1,13.5,60.9,339.5,1000.9,25.8,2.99632,4.92E-06
1.75,0.20962,1672.2,3.33E-09,7808.1,11619.5,8098.4,315.7,297.7,83.4,1978.3,81.1,312.8,12.7,16.4,59,330.7,1068.1,24.3,3.34041,4.51E-06
2,0.1835,1687.5,3.00E-09,7263.7,9587.9,7661.2,275.1,313.2,90.2,2063.3,92.7,329.8,13.6,19.5,58.9,327.1,1151.5,23.2,3.69573,4.09E-06
3,0.12233,1487.8,1.73E-09,5009.3,6139.5,5321.9,125.3,290.6,97.9,2076.8,130.6,387.8,18.1,31.3,73.6,353.7,1665.8,21.1,4.68974,2.53E-06
