temperature,CH3CHO(41),C3H4O(165),C5H8(522),CPT(563),C5H8O(825)
500,0,0,0,5000,0
501,0,0,0,5000,0
502,0,0,0,5000,0
503,0,0,0,5000,0
504,0,0,0,5000,0
505,0,0,0,5000,0
506,0,0,0,5000,0
507,0,0,0,5000,0
508,0,0,0,5000,0
509,0,0,0,5000,0
510,0,0,0,5000,0
511,0,0,0,5000,0
512,0,0,0,5000,0
513,0,0,0,5000,0
514,0,0,0,5000,0
515,0,0,0,5000,0
516,0,0,0,5000,0
517,0,0,0,5000,0
518,0,0,0,5000,0
519,0,0,0,5000,0
520,0,0,0,5000,0
521,0,0,0,5000,0
522,0,0,0,5000,0
523,0,0,0,5000,0
524,0,0,0,5000,0
525,0,0,0,5000,0
526,0,0,0,5000,0
527,0,0,0,5000,0
528,0,0,0,5000,0
529,0,0,0,5000,0
530,0,0,0,5000,0
531,0,0,0,5000,0
532,0,0,0,5000,0
533,0,0,0,5000,0
534,0,0,0,5000,0
535,0,0,0,5000,0
536,0,0,0,5000,0
537,0,0,0,5000,0
538,0,0,0,5000,0
539,0,0,0,5000,0
540,0,0,0,5000,0
541,0,0,0,5000,0
542,0,0,0,5000,0
543,0,0,0,5000,0
544,0,0,0,5000,0
545,0,0,0,4999.9,0
546,0,0,0,4999.9,0
547,0,0,0,4999.9,0
548,0,0,0.1,4999.9,0
549,0,0,0.1,4999.8,0
550,0,0,0.1,4999.8,0
551,0,0,0.1,4999.7,0
552,0,0,0.2,4999.6,0
553,0,0,0.2,4999.5,0
554,0,0,0.3,4999.4,0
555,0,0,0.4,4999.2,0
556,0,0,0.5,4999,0
557,0,0,0.6,4998.7,0
558,0,0,0.8,4998.3,0
559,0,0,1,4997.8,0
560,0,0,1.3,4997.2,0.1
561,0,0,1.7,4996.5,0.1
562,0,0,2.1,4995.5,0.1
563,0,0,2.7,4994.3,0.1
564,0,0,3.4,4992.9,0.2
565,0,0.1,4.3,4991.2,0.2
566,0,0.1,5.2,4989.3,0.2
567,0,0.1,6.3,4987.3,0.3
568,0.1,0.1,7.4,4985.3,0.3
569,0.1,0.1,8.3,4983.5,0.4
570,0.1,0.1,9.1,4982.2,0.4
571,0.1,0.1,9.5,4981.5,0.4
572,0.1,0.1,9.5,4981.6,0.4
573,0.1,0.1,9.2,4982.3,0.4
574,0.1,0.1,8.7,4983.6,0.4
575,0.1,0.1,8,4985.1,0.3
576,0.1,0.1,7.2,4986.6,0.3
577,0,0.1,6.5,4988.2,0.3
578,0,0.1,5.7,4989.6,0.2
579,0,0.1,5.1,4990.8,0.2
580,0,0.1,4.5,4991.9,0.2
581,0,0,4,4992.9,0.2
582,0,0,3.6,4993.7,0.2
583,0,0,3.2,4994.4,0.1
584,0,0,2.9,4995,0.1
585,0,0,2.6,4995.5,0.1
586,0,0,2.4,4996,0.1
587,0,0,2.2,4996.3,0.1
588,0,0,2,4996.7,0.1
589,0,0,1.9,4997,0.1
590,0,0,1.7,4997.2,0.1
591,0,0,1.6,4997.4,0.1
592,0,0,1.5,4997.6,0.1
593,0,0,1.4,4997.8,0.1
594,0,0,1.3,4998,0.1
595,0,0,1.2,4998.1,0.1
596,0,0,1.2,4998.2,0
597,0,0,1.1,4998.3,0
598,0,0,1,4998.4,0
599,0,0,1,4998.5,0
600,0,0,1,4998.6,0
601,0,0,0.9,4998.7,0
602,0,0,0.9,4998.7,0
603,0,0,0.8,4998.8,0
604,0,0,0.8,4998.8,0
605,0,0,0.8,4998.9,0
606,0,0,0.8,4998.9,0
607,0,0,0.7,4999,0
608,0,0,0.7,4999,0
609,0,0,0.7,4999,0
610,0,0,0.7,4999.1,0
611,0,0,0.7,4999.1,0
612,0,0,0.6,4999.1,0
613,0,0,0.6,4999.1,0
614,0,0,0.6,4999.2,0
615,0,0,0.6,4999.2,0
616,0,0,0.6,4999.2,0
617,0,0,0.6,4999.2,0
618,0,0,0.6,4999.2,0
619,0,0,0.6,4999.3,0
620,0,0,0.6,4999.3,0
621,0,0,0.5,4999.3,0
622,0,0,0.5,4999.3,0
623,0,0,0.5,4999.3,0
624,0,0,0.5,4999.3,0
625,0,0,0.5,4999.3,0
626,0,0,0.5,4999.3,0
627,0,0,0.5,4999.4,0
628,0,0,0.5,4999.4,0
629,0,0,0.5,4999.4,0
630,0,0,0.5,4999.4,0
631,0,0,0.5,4999.4,0
632,0,0,0.5,4999.4,0
633,0,0,0.5,4999.4,0
634,0,0,0.5,4999.4,0
635,0,0,0.5,4999.4,0
636,0,0,0.5,4999.4,0
637,0,0,0.5,4999.4,0
638,0,0,0.5,4999.4,0
639,0,0,0.5,4999.4,0
640,0,0,0.5,4999.4,0
641,0,0,0.5,4999.4,0
642,0,0,0.5,4999.4,0
643,0,0,0.5,4999.4,0
644,0,0,0.5,4999.5,0
645,0,0,0.5,4999.5,0
646,0,0,0.5,4999.5,0
647,0,0,0.5,4999.5,0
648,0,0,0.5,4999.5,0
649,0,0,0.5,4999.5,0
650,0,0,0.5,4999.5,0
651,0,0,0.5,4999.5,0
652,0,0,0.5,4999.5,0
653,0,0,0.5,4999.5,0
654,0,0,0.5,4999.5,0
655,0,0,0.5,4999.5,0
656,0,0,0.5,4999.5,0
657,0,0,0.5,4999.5,0
658,0,0,0.5,4999.5,0
659,0,0,0.5,4999.5,0
660,0,0,0.5,4999.5,0
661,0,0,0.5,4999.5,0
662,0,0,0.5,4999.5,0
663,0,0,0.5,4999.5,0
664,0,0,0.5,4999.5,0
665,0,0,0.5,4999.5,0
666,0,0,0.5,4999.5,0
667,0,0,0.5,4999.5,0
668,0,0,0.5,4999.5,0
669,0,0,0.5,4999.4,0
670,0,0,0.5,4999.4,0
671,0,0,0.5,4999.4,0
672,0,0,0.5,4999.4,0
673,0,0,0.5,4999.4,0
674,0,0,0.5,4999.4,0
675,0,0,0.5,4999.4,0
676,0,0,0.5,4999.4,0
677,0,0,0.6,4999.4,0
678,0,0,0.6,4999.4,0
679,0,0,0.6,4999.4,0
680,0,0,0.6,4999.4,0
681,0,0,0.6,4999.4,0
682,0,0,0.6,4999.3,0
683,0,0,0.6,4999.3,0
684,0,0,0.6,4999.3,0
685,0,0,0.7,4999.3,0
686,0,0,0.7,4999.3,0
687,0,0,0.7,4999.2,0
688,0,0,0.7,4999.2,0
689,0,0,0.7,4999.2,0
690,0,0,0.8,4999.2,0
691,0,0,0.8,4999.1,0
692,0,0,0.8,4999.1,0
693,0,0,0.9,4999.1,0
694,0,0,0.9,4999,0
695,0,0,0.9,4999,0
696,0,0,1,4998.9,0
697,0,0,1,4998.9,0
698,0,0,1.1,4998.8,0
699,0,0,1.2,4998.8,0
700,0,0,1.2,4998.7,0
701,0,0,1.3,4998.6,0
702,0,0,1.4,4998.6,0
703,0,0,1.4,4998.5,0
704,0,0,1.5,4998.4,0
705,0,0,1.6,4998.3,0
706,0,0,1.7,4998.2,0.1
707,0,0,1.8,4998.1,0.1
708,0,0,1.9,4997.9,0.1
709,0,0,2.1,4997.8,0.1
710,0,0,2.2,4997.6,0.1
711,0,0,2.4,4997.5,0.1
712,0,0,2.5,4997.3,0.1
713,0,0,2.7,4997.1,0.1
714,0,0,2.9,4996.9,0.1
715,0,0,3.1,4996.7,0.1
716,0,0,3.4,4996.4,0.1
717,0,0,3.6,4996.2,0.1
718,0,0,3.9,4995.9,0.1
719,0,0,4.2,4995.6,0.1
720,0,0,4.5,4995.2,0.1
721,0,0,4.8,4994.8,0.1
722,0,0,5.2,4994.4,0.1
723,0,0,5.6,4994,0.2
724,0,0,6.1,4993.5,0.2
725,0,0.1,6.5,4993,0.2
726,0,0.1,7.1,4992.5,0.2
727,0,0.1,7.6,4991.9,0.2
728,0,0.1,8.2,4991.2,0.2
729,0,0.1,8.9,4990.5,0.2
730,0,0.1,9.6,4989.7,0.3
731,0,0.1,10.4,4988.9,0.3
732,0,0.1,11.2,4988,0.3
733,0,0.1,12.2,4987,0.3
734,0,0.1,13.2,4985.9,0.4
735,0,0.2,14.3,4984.7,0.4
736,0,0.2,15.4,4983.5,0.4
737,0,0.2,16.7,4982.1,0.5
738,0,0.2,18.1,4980.6,0.5
739,0,0.2,19.6,4978.9,0.5
740,0,0.3,21.2,4977.2,0.6
741,0,0.3,23,4975.2,0.6
742,0,0.3,24.9,4973.1,0.7
743,0,0.4,27,4970.8,0.8
744,0,0.4,29.3,4968.3,0.8
745,0,0.5,31.8,4965.6,0.9
746,0,0.5,34.4,4962.7,1
747,0,0.6,37.3,4959.5,1.1
748,0,0.7,40.5,4956,1.2
749,0,0.8,43.9,4952.2,1.3
750,0,0.8,47.6,4948.1,1.4
751,0,0.9,51.6,4943.6,1.5
752,0,1.1,56,4938.7,1.7
753,0,1.2,60.7,4933.4,1.8
754,0,1.3,65.9,4927.6,2
755,0,1.5,71.4,4921.3,2.2
756,0,1.7,77.4,4914.4,2.4
757,0,1.8,84,4906.9,2.7
758,0,2.1,91,4898.7,3
759,0,2.3,98.7,4889.8,3.2
760,0,2.6,106.9,4880.2,3.6
761,0,2.9,115.8,4869.6,3.9
762,0,3.2,125.5,4858.1,4.4
763,0,3.6,135.9,4845.6,4.8
764,0,4.1,147.1,4832,5.3
765,0,4.6,159.2,4817.2,5.9
766,0,5.1,172.2,4801,6.5
767,0,5.7,186.2,4783.4,7.2
768,0,6.4,201.1,4764.3,7.9
769,0.1,7.2,217.2,4743.5,8.8
770,0.1,8.1,234.4,4720.8,9.7
771,0.1,9,252.7,4696.2,10.7
772,0.1,10.1,272.3,4669.5,11.9
773,0.1,11.3,293.1,4640.5,13.1
774,0.1,12.7,315.1,4609,14.5
775,0.2,14.2,338.3,4574.9,16
776,0.2,15.9,362.8,4538,17.6
777,0.3,17.7,388.5,4498.1,19.4
778,0.3,19.8,415.4,4455,21.4
779,0.4,22,443.3,4408.5,23.5
780,0.5,24.5,472.2,4358.5,25.7
781,0.6,27.3,501.9,4304.8,28.1
782,0.7,30.3,532.2,4247.4,30.6
783,0.8,33.6,562.9,4186,33.3
784,1,37.2,593.8,4120.7,36.1
785,1.2,41,624.6,4051.4,39
786,1.4,45.1,654.9,3978.2,41.9
787,1.7,49.5,684.4,3901.3,44.9
788,2,54.2,712.7,3820.8,47.9
789,2.3,59.2,739.5,3737,50.9
790,2.7,64.4,764.5,3650.2,53.8
791,3.2,69.8,787.3,3560.8,56.6
792,3.7,75.3,807.7,3469.2,59.2
793,4.2,81.1,825.3,3376,61.6
794,4.9,86.9,840.2,3281.6,63.8
795,5.5,92.9,852.1,3186.5,65.7
796,6.3,98.8,861.1,3091.3,67.4
797,7.1,104.8,867.1,2996.4,68.7
798,7.9,110.8,870.3,2902.1,69.8
799,8.8,116.7,870.7,2809,70.6
800,9.8,122.5,868.6,2717.4,71.2
801,10.8,128.2,864.2,2627.5,71.4
802,11.8,133.8,857.5,2539.6,71.4
803,12.9,139.3,848.9,2453.9,71.2
804,14,144.6,838.6,2370.5,70.8
805,15.1,149.7,826.8,2289.6,70.1
806,16.2,154.7,813.6,2211.1,69.3
807,17.4,159.4,799.4,2135.3,68.4
808,18.6,164,784.2,2062,67.3
809,19.8,168.4,768.2,1991.4,66.1
810,21,172.6,751.7,1923.3,64.8
811,22.1,176.6,734.7,1857.8,63.4
812,23.3,180.5,717.3,1794.7,62
813,24.5,184.1,699.8,1734.2,60.5
814,25.7,187.6,682.1,1676,59
815,26.8,190.8,664.3,1620.1,57.4
816,27.9,193.9,646.7,1566.6,55.9
817,29.1,196.8,629.1,1515.2,54.3
818,30.2,199.6,611.7,1465.9,52.7
819,31.2,202.2,594.6,1418.7,51.2
820,32.3,204.6,577.7,1373.5,49.6
821,33.3,206.8,561.1,1330.1,48.1
822,34.3,208.9,544.8,1288.6,46.6
823,35.2,210.9,528.9,1248.9,45.1
824,36.1,212.7,513.3,1210.8,43.7
825,37,214.4,498.2,1174.4,42.3
826,37.9,215.9,483.4,1139.5,40.9
827,38.7,217.3,469,1106,39.6
828,39.5,218.6,455.1,1074,38.3
829,40.3,219.7,441.6,1043.4,37
830,41,220.7,428.4,1014,35.8
831,41.7,221.6,415.7,985.9,34.6
832,42.4,222.4,403.4,959,33.4
833,43,223.1,391.4,933.2,32.3
834,43.6,223.7,379.9,908.5,31.2
835,44.2,224.2,368.7,884.8,30.2
836,44.7,224.6,357.9,862,29.2
837,45.2,224.9,347.5,840.2,28.2
838,45.7,225.1,337.4,819.3,27.3
839,46.1,225.2,327.7,799.3,26.4
840,46.5,225.2,318.3,780,25.6
841,46.9,225.1,309.2,761.5,24.7
842,47.2,225,300.5,743.7,23.9
843,47.6,224.8,292,726.7,23.2
844,47.9,224.5,283.8,710.3,22.4
845,48.1,224.1,275.9,694.5,21.7
846,48.4,223.7,268.3,679.3,21
847,48.6,223.2,261,664.7,20.4
848,48.8,222.6,253.9,650.6,19.7
849,49,222,247,637.1,19.1
850,49.2,221.3,240.4,624,18.5
851,49.3,220.6,234,611.4,18
852,49.4,219.8,227.8,599.3,17.4
853,49.5,219,221.8,587.6,16.9
854,49.6,218.1,216,576.2,16.4
855,49.7,217.1,210.4,565.3,15.9
856,49.7,216.1,205,554.7,15.4
857,49.7,215.1,199.8,544.5,15
858,49.7,214,194.7,534.6,14.5
859,49.7,212.9,189.8,525,14.1
860,49.7,211.7,185,515.7,13.7
861,49.7,210.5,180.4,506.7,13.3
862,49.7,209.3,176,498,12.9
863,49.6,208,171.6,489.6,12.6
864,49.6,206.7,167.4,481.3,12.2
865,49.5,205.3,163.4,473.4,11.9
866,49.4,204,159.4,465.6,11.5
867,49.3,202.6,155.6,458.1,11.2
868,49.2,201.1,151.9,450.7,10.9
869,49.1,199.7,148.3,443.6,10.6
870,49,198.2,144.8,436.7,10.3
871,48.9,196.7,141.4,429.9,10
872,48.7,195.2,138.1,423.3,9.8
873,48.6,193.6,134.9,416.9,9.5
874,48.4,192.1,131.7,410.6,9.3
875,48.3,190.5,128.7,404.5,9
876,48.1,188.9,125.8,398.5,8.8
877,48,187.2,122.9,392.7,8.5
878,47.8,185.6,120.1,387,8.3
879,47.6,184,117.4,381.4,8.1
880,47.4,182.3,114.7,376,7.9
881,47.2,180.6,112.1,370.6,7.7
882,47,178.9,109.6,365.4,7.5
883,46.8,177.2,107.2,360.3,7.3
884,46.6,175.5,104.8,355.3,7.1
885,46.4,173.8,102.5,350.4,6.9
886,46.2,172.1,100.2,345.6,6.7
887,46,170.4,98,340.9,6.6
888,45.8,168.6,95.8,336.3,6.4
889,45.6,166.9,93.7,331.7,6.2
890,45.3,165.2,91.7,327.3,6.1
891,45.1,163.4,89.7,322.9,5.9
892,44.9,161.7,87.7,318.6,5.8
893,44.6,159.9,85.8,314.4,5.6
894,44.4,158.2,84,310.3,5.5
895,44.2,156.4,82.1,306.2,5.4
896,43.9,154.7,80.4,302.2,5.2
897,43.7,152.9,78.6,298.3,5.1
898,43.4,151.2,77,294.5,5
899,43.2,149.4,75.3,290.7,4.8
900,42.9,147.7,73.7,286.9,4.7
901,42.6,146,72.1,283.3,4.6
902,42.4,144.2,70.6,279.6,4.5
903,42.1,142.5,69.1,276.1,4.4
904,41.8,140.8,67.6,272.6,4.3
905,41.5,139.1,66.2,269.1,4.2
906,41.3,137.4,64.8,265.7,4
907,41,135.6,63.4,262.3,3.9
908,40.7,134,62.1,259,3.8
909,40.4,132.3,60.8,255.8,3.8
910,40.1,130.6,59.5,252.6,3.7
911,39.8,128.9,58.2,249.4,3.6
912,39.5,127.2,57,246.3,3.5
913,39.2,125.6,55.8,243.2,3.4
914,38.9,123.9,54.6,240.1,3.3
915,38.6,122.3,53.5,237.1,3.2
916,38.3,120.6,52.4,234.2,3.1
917,37.9,119,51.3,231.3,3.1
918,37.6,117.4,50.2,228.4,3
919,37.3,115.8,49.2,225.5,2.9
920,37,114.2,48.1,222.7,2.8
921,36.6,112.6,47.1,219.9,2.8
922,36.3,111,46.1,217.2,2.7
923,36,109.5,45.2,214.4,2.6
924,35.6,107.9,44.2,211.8,2.6
925,35.3,106.4,43.3,209.1,2.5
