temperature,CH3CHO,C2H3CHO,CYC5H8,CPT,CPTYO12
500,1.39E-19,1.56E-16,1.31E-10,5000,6.27E-12
501,1.80E-19,1.97E-16,1.50E-10,5000,7.13E-12
502,2.34E-19,2.47E-16,1.71E-10,5000,8.11E-12
503,3.02E-19,3.10E-16,1.95E-10,5000,9.22E-12
504,3.91E-19,3.90E-16,2.22E-10,5000,1.05E-11
505,5.05E-19,4.89E-16,2.53E-10,5000,1.19E-11
506,6.51E-19,6.13E-16,2.88E-10,5000,1.36E-11
507,8.39E-19,7.69E-16,3.29E-10,5000,1.55E-11
508,1.08E-18,9.63E-16,3.75E-10,5000,1.76E-11
509,1.39E-18,1.21E-15,4.29E-10,5000,2.01E-11
510,1.79E-18,1.51E-15,4.90E-10,5000,2.29E-11
511,2.29E-18,1.89E-15,5.60E-10,5000,2.61E-11
512,2.95E-18,2.37E-15,6.40E-10,5000,2.98E-11
513,3.78E-18,2.97E-15,7.33E-10,5000,3.41E-11
514,4.85E-18,3.72E-15,8.41E-10,5000,3.91E-11
515,6.22E-18,4.66E-15,9.65E-10,5000,4.47E-11
516,7.97E-18,5.84E-15,1.11E-09,5000,5.14E-11
517,1.02E-17,7.33E-15,1.28E-09,5000,5.90E-11
518,1.31E-17,9.20E-15,1.47E-09,5000,6.80E-11
519,1.68E-17,1.16E-14,1.70E-09,5000,7.84E-11
520,2.16E-17,1.46E-14,1.97E-09,5000,9.07E-11
521,2.78E-17,1.84E-14,2.29E-09,5000,1.05E-10
522,3.58E-17,2.32E-14,2.67E-09,5000,1.22E-10
523,4.61E-17,2.94E-14,3.12E-09,5000,1.43E-10
524,5.96E-17,3.73E-14,3.66E-09,5000,1.67E-10
525,7.73E-17,4.75E-14,4.32E-09,5000,1.97E-10
526,1.01E-16,6.08E-14,5.12E-09,5000,2.34E-10
527,1.31E-16,7.82E-14,6.10E-09,5000,2.78E-10
528,1.73E-16,1.01E-13,7.34E-09,5000,3.34E-10
529,2.29E-16,1.32E-13,8.90E-09,5000,4.05E-10
530,3.06E-16,1.74E-13,1.09E-08,5000,4.96E-10
531,4.14E-16,2.32E-13,1.36E-08,5000,6.16E-10
532,5.69E-16,3.14E-13,1.72E-08,5000,7.79E-10
533,7.99E-16,4.36E-13,2.23E-08,5000,1.01E-09
534,1.16E-15,6.24E-13,2.99E-08,5000,1.35E-09
535,1.76E-15,9.37E-13,4.21E-08,5000,1.90E-09
536,2.47E-15,1.53E-12,6.45E-08,5000,2.91E-09
537,-3.71E-11,9.81E-11,4.57E-06,5000,2.06E-07
538,-6.99E-10,5.45E-09,2.07E-04,4999.999,9.32E-06
539,2.93E-09,2.73E-08,9.42E-04,4999.998,4.23E-05
540,2.47E-08,6.74E-08,0.00215,4999.995,9.67E-05
541,8.38E-08,1.28E-07,0.0038,4999.99,1.70E-04
542,2.09E-07,2.13E-07,0.00592,4999.985,2.65E-04
543,4.45E-07,3.30E-07,0.0086,4999.979,3.85E-04
544,8.59E-07,4.89E-07,0.01196,4999.971,5.34E-04
545,1.55E-06,7.03E-07,0.01613,4999.961,7.20E-04
546,2.66E-06,9.85E-07,0.02118,4999.949,9.44E-04
547,4.43E-06,1.37E-06,0.02756,4999.934,0.00123
548,7.17E-06,1.87E-06,0.03539,4999.916,0.00157
549,1.13E-05,2.54E-06,0.04498,4999.894,0.002
550,1.75E-05,3.42E-06,0.05667,4999.868,0.00252
551,2.66E-05,4.57E-06,0.07085,4999.837,0.00314
552,3.98E-05,6.08E-06,0.08797,4999.799,0.0039
553,5.86E-05,8.02E-06,0.10851,4999.754,0.0048
554,8.50E-05,1.05E-05,0.13299,4999.701,0.00588
555,1.22E-04,1.38E-05,0.16194,4999.64,0.00715
556,1.71E-04,1.78E-05,0.19589,4999.568,0.00864
557,2.38E-04,2.30E-05,0.23528,4999.486,0.01037
558,3.25E-04,2.94E-05,0.2805,4999.393,0.01235
559,4.37E-04,3.72E-05,0.33172,4999.288,0.01459
560,5.77E-04,4.67E-05,0.3889,4999.173,0.01709
561,7.50E-04,5.79E-05,0.45169,4999.048,0.01983
562,9.55E-04,7.09E-05,0.5194,4998.916,0.02278
563,0.00119,8.56E-05,0.59091,4998.777,0.0259
564,0.00146,1.02E-04,0.66473,4998.637,0.0291
565,0.00175,1.19E-04,0.73902,4998.499,0.03232
566,0.00205,1.37E-04,0.8117,4998.366,0.03547
567,0.00236,1.55E-04,0.88059,4998.244,0.03844
568,0.00265,1.73E-04,0.9436,4998.136,0.04115
569,0.00291,1.88E-04,0.99889,4998.045,0.04351
570,0.00313,2.02E-04,1.04505,4997.974,0.04547
571,0.00331,2.13E-04,1.08112,4997.923,0.04699
