orig_name,Experiment,Lokachari,Hill,concentration
C5H8(522),cyclopentene,CYC5H8,C5H8(522),
C5H8O(825),"1,2-epoxycyclopentane",CPTYO12,C5H8O(825),
CPT(563),cyclopentane,CPT,CPT(563),CPT_frac
O2(6),O2,O2,O2(6),O2_frac
N2,,N2,N2,N2_frac
H2(2),H2,H2,H2(2),
H2O(5),water,H2O,H2O(5),
CO(12),CO,CO,CO(12),
CO2(13),CO2,CO2,CO2(13),
CH4(33),methane,CH4,CH4(33),
CH3CHO(41),acetaldehyde,CH3CHO,CH3CHO(41),
C2H4(52),ethene,C2H4,C2H4(52),
C3H6(131),propene,C3H6,C3H6(131),
C3H4O(165),acrolein,C2H3CHO,C3H4O(165),
C4H6(227),"1,3-butadiene",C4H6,C4H6(227),
C4H8(253),1-butene,C4H8-1,C4H8(253),
C5H6(478),cyclopentadiene,C5H6,C5H6(478),
C6H6(970),benzene,C6H6,C6H6(970),
HO2(8),,HO2,HO2(8),
OH(4),,OH,OH(4),
