'name','smiles','inchi','inchikey','mult','charge'
'C4H10','CCCC','InChI=1S/C4H10/c1-3-4-2/h3-4H2,1-2H3','IJDNQMDRQITEOD-UHFFFAOYSA-N',1,0
'H','[H]','InChI=1S/H','YZCKVEUIGOORGS-UHFFFAOYSA-N',2,0
'O','[O]','InChI=1S/O','QVGXLLKOCUKJST-UHFFFAOYSA-N',3,0
'OH','[OH]','InChI=1S/HO/h1H','TUJKJAMUKRIRHC-UHFFFAOYSA-N',2,0
'O2','O=O','InChI=1S/O2/c1-2','MYMOFIZGZYHOMD-UHFFFAOYSA-N',3,0
'HO2','[O]O','InChI=1S/HO2/c1-2/h1H','OUUQCZGPVNCOIJ-UHFFFAOYSA-N',2,0
'CH3','[CH3]','InChI=1S/CH3/h1H3','WCYWZMWISLQXQU-UHFFFAOYSA-N',2,0
'H2','[HH]','InChI=1S/H2/h1H','UFHFLCQGNIYNRP-UHFFFAOYSA-N',1,0
'C4H9-xtr','[CH2]CCC','InChI=1S/C4H9/c1-3-4-2/h1,3-4H2,2H3','WPWHSFAFEBZWBB-UHFFFAOYSA-N',2,0
'C4H9-0Ae','C[CH]CC','InChI=1S/C4H9/c1-3-4-2/h3H,4H2,1-2H3','ULOIAOPTGWSNHU-UHFFFAOYSA-N',2,0
'H2O','O','InChI=1S/H2O/h1H2','XLYOFNOQVPJJNP-UHFFFAOYSA-N',1,0
'H2O2','OO','InChI=1S/H2O2/c1-2/h1-2H','MHAJPDPJQMAIIY-UHFFFAOYSA-N',1,0
'CH4','C','InChI=1S/CH4/h1H4','VNWKTOKETHGBQD-UHFFFAOYSA-N',1,0
