'name','Carbon_Count','Functional_Group'
'C5H7(1202)','5','Alkane/Alkene/Alkyne'
'C5H7(500)','5','Alkane/Alkene/Alkyne'
'C5H7(504)','5','Alkane/Alkene/Alkyne'
'S(1206)r0','5','Peroxy Radical'
'S(602)','5','Peroxy Radical'
'S(1205)','5','Peroxy Radical'
'C5H7(1203)','5','Alkane/Alkene/Alkyne'
'C5H6(478)','5','Alkane/Alkene/Alkyne'
'C5H7(1204)rs0','5','Alkane/Alkene/Alkyne'
'C5H7(507)zz','5','Alkane/Alkene/Alkyne'
'C5H7(507)ze','5','Alkane/Alkene/Alkyne'
'C5H7(507)ee','5','Alkane/Alkene/Alkyne'
'C5H7(487)z','5','Alkane/Alkene/Alkyne'
'C5H7(487)e','5','Alkane/Alkene/Alkyne'
'S(1212)r0','5','Peroxide'
'S(1213)','5','Alkane/Alkene/Alkyne'
'CPND2(626)','5','Ketone/Aldehyde'
'C5H7(1215)','5','Alkane/Alkene/Alkyne'
'C5H8(1220)','5','Alkane/Alkene/Alkyne'
'S(1226)','5','Peroxy Radical'
'S(1218)','5','Peroxy Radical'
'C5H7(1221)r0','5','Alkane/Alkene/Alkyne'
'S(1225)z','5','Peroxy Radical'
'S(1225)e','5','Peroxy Radical'
'C5H8(522)','5','Alkane/Alkene/Alkyne'
'C5H9O(852)r0','5','Alcohol'
'S(1245)r0','5','Alcohol'
'S(615)r0','5','Alcohol and Ketone'
'S(1237)z','5','Alcohol'
'S(1237)e','5','Alcohol'
'S(1236)','5','Alcohol'
'S(1235)z','5','Alcohol'
'S(1235)e','5','Alcohol'
'S(1234)rrr0','5','Alcohol'
'S(1234)rrs0','5','Alcohol'
'S(1229)','5','Alcohol'
'S(1228)r0','5','Alcohol'
'S(1227)','5','Alcohol'
'S(657)','5','Hydroperoxide'
'S(660)r0','5','Hydroperoxide'
'C3H3(110)','3','Alkane/Alkene/Alkyne'
'C2H4(52)','2','Alkane/Alkene/Alkyne'
'S(177)','3','Hydroperoxide'
'S(1276)','3','Hydroperoxide'
'S(1275)','3','Alcohol'
'C3H4(114)','3','Alkane/Alkene/Alkyne'
'C3H4(112)','3','Alkane/Alkene/Alkyne'
'S(1273)','3','Peroxy Radical'
'S(1272)','3','Peroxy Radical'
'S(1210)r0','5','Hydroperoxide'
'S(1288)rs0','5','Ether'
'S(1219)','5','Hydroperoxide'
'S(606)r0','5','Ketone/Aldehyde'
'S(1253)r0','5','Alcohol and Ketone'
'S(1244)','5','Hydroperoxide'
'S(1254)r0','5','Alcohol'
'S(603)','5','Ketone/Aldehyde'
'S(604)z','5','Ketone/Aldehyde'
'S(604)e','5','Ketone/Aldehyde'
'S(1300)','5','Ester'
'S(1214)','5','Hydroperoxide'
