eq,rate
C2H3O(493) + S(1320) = HO(46) + S(1396),"SimpleRate(k=ArrheniusFunction(A=11475.65, b=2.445, E=8.638, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O3(49) = HO(46) + C5H6O2(47),"SimpleRate(k=ArrheniusFunction(A=34423870.0, b=1.511, E=39.3, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O3(51) = HO(46) + C5H6O2(50),"SimpleRate(k=ArrheniusFunction(A=6805174.0, b=1.804, E=28.039, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O3(53) = HO(46) + C5H6O2(50),"SimpleRate(k=ArrheniusFunction(A=34423870.0, b=1.511, E=39.3, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(9) + S(1109) = HO(46) + S(607),"SimpleRate(k=ArrheniusFunction(A=949092400.0, b=1.344, E=2.245, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(9) + S(235) = HO(46) + S(607),"SimpleRate(k=ArrheniusFunction(A=949092400.0, b=1.344, E=2.245, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(9) + S(236) = HO(46) + S(2892),"SimpleRate(k=ArrheniusFunction(A=372000000.0, b=1.477, E=1.61, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(9) + S(562) = HO(46) + C5H8O(61),"SimpleRate(k=ArrheniusFunction(A=949092400.0, b=1.344, E=2.245, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(9) + S(586) = HO(46) + C5H8O(170),"SimpleRate(k=ArrheniusFunction(A=372000000.0, b=1.477, E=1.61, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(9) + S(588) = HO(46) + C5H8O(156),"SimpleRate(k=ArrheniusFunction(A=372000000.0, b=1.477, E=1.61, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(9) + S(623) = HO(46) + C5H8O(420),"SimpleRate(k=ArrheniusFunction(A=19201310.0, b=1.871, E=1.544, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
HO(46) + S(562) = HO(46) + S(563),"SimpleRate(k=ArrheniusFunction(A=362.9931, b=2.804, E=14.103, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
