name,mult,charge,chi,smi
N2,1,0,InChI=1S/N2/c1-2,N#N
Ar,1,0,InChI=1S/Ar,[Ar]
He,1,0,InChI=1S/He,[He]
Ne,1,0,InChI=1S/Ne,[Ne]
C5H7O(1),2,0,"InChI=1S/C5H7O/c1-2-4-5(3-1)6-4/h4H,1-3H2",O1C2CCC[C]12
C5H7O(2),2,0,"InChI=1S/C5H7O/c1-2-4-5(3-1)6-4/h2,4-5H,1,3H2",O1C2C1[CH]CC2
C5H7O(3),2,0,"InChI=1S/C5H7O/c1-2-4-5(3-1)6-4/h1,4-5H,2-3H2",O1C2C1C[CH]C2
O2(4),3,0,InChI=1S/O2/c1-2,O=O
C5H7O(5),2,0,"InChI=1S/C5H7O/c6-5-3-1-2-4-5/h3H,1-2,4H2",O=C1CCC[CH]1
C5H7O(13),2,0,"InChI=1S/C5H7O/c6-5-3-1-2-4-5/h1,3,5H,2,4H2",[O]C1CCC=C1
C5H7O(11),2,0,"InChI=1S/C5H7O/c1-2-4-6-5-3-1/h2,4-5H,1,3H2",O1[CH]CCC=C1
C5H7O3(18),2,0,"InChI=1S/C5H7O3/c6-8-3-1-4-5(2-3)7-4/h3-5H,1-2H2",[O]OC1CC2OC2C1
C5H7O3(17),2,0,"InChI=1S/C5H7O3/c6-8-4-2-1-3-5(4)7-3/h3-5H,1-2H2",[O]OC1C2OC2CC1
C5H7O3(16),2,0,"InChI=1S/C5H7O3/c6-8-5-3-1-2-4(5)7-5/h4H,1-3H2",[O]OC12OC1CCC2
H(9),2,0,InChI=1S/H,[H]
C5H6O(10),1,0,"InChI=1S/C5H6O/c1-2-4-5(3-1)6-4/h2,5H,1,3H2",O1C2CCC=C12
C5H6O(14),1,0,"InChI=1S/C5H6O/c1-2-4-5(3-1)6-4/h1-2,4-5H,3H2",O1C2C1C=CC2
C5H7O(15),2,0,"InChI=1S/C5H7O/c1-2-3-5-4-6-5/h2,4-5H,1,3H2",C=CCC1O[CH]1
C5H7O(7),2,0,"InChI=1S/C5H7O/c1-3-5-4(2)6-5/h5H,1-3H2",[CH2]CC1OC1=C
C5H7O(12),2,0,"InChI=1S/C5H7O/c1-3-5-4(2)6-5/h3-5H,1-2H2",[CH2]C1OC1C=C
C5H7O(6),2,0,"InChI=1S/C5H7O/c1-2-3-5-4-6-5/h4H,1-3H2",[CH2]CCC=1OC=1
C5H7O3(28),2,0,"InChI=1S/C5H7O3/c6-4-2-1-3-5(4)8-7/h5H,1-3H2",O=C1C(O[O])CCC1
C5H7O(29),2,0,"InChI=1S/C5H7O/c1-2-5-3-4(1)6-5/h3-5H,1-2H2",O1C2CCC1[CH]2
C5H7O3(44),2,0,"InChI=1S/C5H7O3/c6-8-5-3-1-2-4-7-5/h2,4-5H,1,3H2",[O]OC1OC=CCC1
C5H6O(25),1,0,"InChI=1S/C5H6O/c6-5-3-1-2-4-5/h1,3H,2,4H2",O=C1CCC=C1
C5H7O(30),2,0,"InChI=1S/C5H7O/c1-2-3-4-5-6/h3-5H,1-2H2",O=CC=CC[CH2]
C5H7O(35),2,0,"InChI=1S/C5H7O/c6-5-3-1-2-4-5/h4-6H,1,3H2",OC1CC[C]=C1
C5H7O(31),2,0,"InChI=1S/C5H7O/c1-2-3-4-5-6/h1-2,5H,3-4H2",O=CCCC=[CH]
C5H7O(135),2,0,"InChI=1S/C5H7O/c6-4-3-5-1-2-5/h3-5H,1-2H2",O=C[CH]C1CC1
C5H7O(76),2,0,"InChI=1S/C5H7O/c1-2-3-4-5-6/h2,4-5H,1,3H2",O=C[CH]CC=C
C5H7O(38),2,0,"InChI=1S/C5H7O/c1-3-5-6-4-2/h3-5H,1-2H2",C=C[CH]OC=C
C5H8O(143),1,0,"InChI=1S/C5H8O/c1-2-3-4-5-6/h3-5H,2H2,1H3",O=CC=CCC
C5H8O(63),1,0,"InChI=1S/C5H8O/c1-2-4-6-5-3-1/h2,4H,1,3,5H2",O1CCCC=C1
C5H8O(62),1,0,"InChI=1S/C5H8O/c6-5-3-1-2-4-5/h1,3,5-6H,2,4H2",OC1CCC=C1
C5H8O(61),1,0,InChI=1S/C5H8O/c6-5-3-1-2-4-5/h1-4H2,O=C1CCCC1
C5H8O(60),1,0,"InChI=1S/C5H8O/c6-5-3-1-2-4-5/h3,6H,1-2,4H2",OC=1CCCC=1
HO2(45),2,0,InChI=1S/HO2/c1-2/h1H,O[O]
C5H7O(34),2,0,"InChI=1S/C5H7O/c6-5-3-1-2-4-5/h1-3,5-6H,4H2",OC1CC=C[CH]1
C5H7O(26),2,0,"InChI=1S/C5H7O/c6-5-3-1-2-4-5/h1H,2-4H2",O=C1CC[CH]C1
C5H7O3(49),2,0,"InChI=1S/C5H7O3/c6-8-3-1-4-5(2-3)7-4/h3-4,6H,1-2H2",OOC1CC2O[C]2C1
C5H7O(96),2,0,"InChI=1S/C5H7O/c1-3-5(6)4-2/h3-5H,1-2H2",[O]C(C=C)C=C
C5H7O(24),2,0,"InChI=1S/C5H7O/c1-3-5(6)4-2/h3H,1-2,4H2",O=C(C[CH2])C=C
C5H7O(19),2,0,"InChI=1S/C5H7O/c1-2-3-4-5-6/h4H,1-3H2",O=C=CCC[CH2]
C5H7O(32),2,0,"InChI=1S/C5H7O/c6-5-3-1-2-4-5/h1,3-6H,2H2",OC1[CH]CC=C1
