name,mult,charge,chi,orig_name,orig_chi,orig_smi
N2,1,0,AMChI=1/N2/c1-2,N2,InChI=1S/N2/c1-2,N#N
Ar,1,0,AMChI=1/Ar,Ar,InChI=1S/Ar,[Ar]
He,1,0,AMChI=1/He,He,InChI=1S/He,[He]
Ne,1,0,AMChI=1/Ne,Ne,InChI=1S/Ne,[Ne]
C5H7O(1)r0,2,0,"AMChI=1/C5H7O/c1-2-4-5(6-4)3-1/h5H,1-3H2/t5-/m0/s1",C5H7O(1),"InChI=1S/C5H7O/c1-2-4-5(3-1)6-4/h4H,1-3H2",O1C2CCC[C]12
C5H7O(1)r1,2,0,"AMChI=1/C5H7O/c1-2-4-5(6-4)3-1/h5H,1-3H2/t5-/m1/s1",C5H7O(1),"InChI=1S/C5H7O/c1-2-4-5(3-1)6-4/h4H,1-3H2",O1C2CCC[C]12
C5H7O(2)rs0,2,0,"AMChI=1/C5H7O/c1-2-3-5-4(1)6-5/h1,4-5H,2-3H2/t4-,5+/m0/s1",C5H7O(2),"InChI=1S/C5H7O/c1-2-4-5(3-1)6-4/h2,4-5H,1,3H2",O1C2C1[CH]CC2
C5H7O(2)rs1,2,0,"AMChI=1/C5H7O/c1-2-3-5-4(1)6-5/h1,4-5H,2-3H2/t4-,5+/m1/s1",C5H7O(2),"InChI=1S/C5H7O/c1-2-4-5(3-1)6-4/h2,4-5H,1,3H2",O1C2C1[CH]CC2
C5H7O(3)rs,2,0,"AMChI=1/C5H7O/c1-2-4-5(6-4)3-1/h1,4-5H,2-3H2/t4-,5+",C5H7O(3),"InChI=1S/C5H7O/c1-2-4-5(3-1)6-4/h1,4-5H,2-3H2",O1C2C1C[CH]C2
O2(4),3,0,AMChI=1/O2/c1-2,O2(4),InChI=1S/O2/c1-2,O=O
C5H7O(5),2,0,"AMChI=1/C5H7O/c6-5-1-2-3-4-5/h1H,2-4H2",C5H7O(5),"InChI=1S/C5H7O/c6-5-3-1-2-4-5/h3H,1-2,4H2",O=C1CCC[CH]1
C5H7O(13)r0,2,0,"AMChI=1/C5H7O/c6-5-2-1-3-4-5/h1-2,5H,3-4H2/t5-/m0/s1",C5H7O(13),"InChI=1S/C5H7O/c6-5-3-1-2-4-5/h1,3,5H,2,4H2",[O]C1CCC=C1
C5H7O(13)r1,2,0,"AMChI=1/C5H7O/c6-5-2-1-3-4-5/h1-2,5H,3-4H2/t5-/m1/s1",C5H7O(13),"InChI=1S/C5H7O/c6-5-3-1-2-4-5/h1,3,5H,2,4H2",[O]C1CCC=C1
C5H7O(11),2,0,"AMChI=1/C5H7O/c1-2-6-3-5-4-1/h1-3H,4-5H2",C5H7O(11),"InChI=1S/C5H7O/c1-2-4-6-5-3-1/h2,4-5H,1,3H2",O1[CH]CCC=C1
C5H7O3(18)rrs,2,0,"AMChI=1/C5H7O3/c6-8-3-1-4-5(7-4)2-3/h3-5H,1-2H2/t3-,4-,5+",C5H7O3(18),"InChI=1S/C5H7O3/c6-8-3-1-4-5(2-3)7-4/h3-5H,1-2H2",[O]OC1CC2OC2C1
C5H7O3(18)srs,2,0,"AMChI=1/C5H7O3/c6-8-3-1-4-5(7-4)2-3/h3-5H,1-2H2/t3+,4-,5+",C5H7O3(18),"InChI=1S/C5H7O3/c6-8-3-1-4-5(2-3)7-4/h3-5H,1-2H2",[O]OC1CC2OC2C1
C5H7O3(17)rrs0,2,0,"AMChI=1/C5H7O3/c6-8-4-2-1-3-5(4)7-3/h3-5H,1-2H2/t3-,4-,5+/m0/s1",C5H7O3(17),"InChI=1S/C5H7O3/c6-8-4-2-1-3-5(4)7-3/h3-5H,1-2H2",[O]OC1C2OC2CC1
C5H7O3(17)rss0,2,0,"AMChI=1/C5H7O3/c6-8-4-2-1-3-5(4)7-3/h3-5H,1-2H2/t3-,4+,5+/m0/s1",C5H7O3(17),"InChI=1S/C5H7O3/c6-8-4-2-1-3-5(4)7-3/h3-5H,1-2H2",[O]OC1C2OC2CC1
C5H7O3(17)rss1,2,0,"AMChI=1/C5H7O3/c6-8-4-2-1-3-5(4)7-3/h3-5H,1-2H2/t3-,4+,5+/m1/s1",C5H7O3(17),"InChI=1S/C5H7O3/c6-8-4-2-1-3-5(4)7-3/h3-5H,1-2H2",[O]OC1C2OC2CC1
C5H7O3(17)rrs1,2,0,"AMChI=1/C5H7O3/c6-8-4-2-1-3-5(4)7-3/h3-5H,1-2H2/t3-,4-,5+/m1/s1",C5H7O3(17),"InChI=1S/C5H7O3/c6-8-4-2-1-3-5(4)7-3/h3-5H,1-2H2",[O]OC1C2OC2CC1
C5H7O3(16)rr0,2,0,"AMChI=1/C5H7O3/c6-8-5-3-1-2-4(5)7-5/h4H,1-3H2/t4-,5-/m0/s1",C5H7O3(16),"InChI=1S/C5H7O3/c6-8-5-3-1-2-4(5)7-5/h4H,1-3H2",[O]OC12OC1CCC2
C5H7O3(16)rs1,2,0,"AMChI=1/C5H7O3/c6-8-5-3-1-2-4(5)7-5/h4H,1-3H2/t4-,5+/m1/s1",C5H7O3(16),"InChI=1S/C5H7O3/c6-8-5-3-1-2-4(5)7-5/h4H,1-3H2",[O]OC12OC1CCC2
C5H7O3(16)rr1,2,0,"AMChI=1/C5H7O3/c6-8-5-3-1-2-4(5)7-5/h4H,1-3H2/t4-,5-/m1/s1",C5H7O3(16),"InChI=1S/C5H7O3/c6-8-5-3-1-2-4(5)7-5/h4H,1-3H2",[O]OC12OC1CCC2
H(9),2,0,AMChI=1/H,H(9),InChI=1S/H,[H]
C5H6O(10)r0,1,0,"AMChI=1/C5H6O/c1-2-3-5-4(1)6-5/h1,5H,2-3H2/t5-/m0/s1",C5H6O(10),"InChI=1S/C5H6O/c1-2-4-5(3-1)6-4/h2,5H,1,3H2",O1C2CCC=C12
C5H6O(10)r1,1,0,"AMChI=1/C5H6O/c1-2-3-5-4(1)6-5/h1,5H,2-3H2/t5-/m1/s1",C5H6O(10),"InChI=1S/C5H6O/c1-2-4-5(3-1)6-4/h2,5H,1,3H2",O1C2CCC=C12
C5H6O(14)rs0,1,0,"AMChI=1/C5H6O/c1-2-4-5(6-4)3-1/h1-2,4-5H,3H2/t4-,5+/m0/s1",C5H6O(14),"InChI=1S/C5H6O/c1-2-4-5(3-1)6-4/h1-2,4-5H,3H2",O1C2C1C=CC2
C5H6O(14)rs1,1,0,"AMChI=1/C5H6O/c1-2-4-5(6-4)3-1/h1-2,4-5H,3H2/t4-,5+/m1/s1",C5H6O(14),"InChI=1S/C5H6O/c1-2-4-5(3-1)6-4/h1-2,4-5H,3H2",O1C2C1C=CC2
