eq,rate
C5H7O(1) = C5H7O(3),"SimpleRate(k=ArrheniusFunction(A=145000000000.0, b=0.6, E=36.9, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(1) = C5H7O(2),"SimpleRate(k=ArrheniusFunction(A=1468000.0, b=2.24, E=34.5, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(2) = C5H7O(3),"SimpleRate(k=ArrheniusFunction(A=72500000000.0, b=0.6, E=36.9, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(2) = C5H7O(3),"SimpleRate(k=ArrheniusFunction(A=7669944000.0, b=0.769, E=40.287, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(2) = C5H7O(3),"SimpleRate(k=ArrheniusFunction(A=72500000000.0, b=0.6, E=36.9, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(2) = C5H7O(3),"SimpleRate(k=ArrheniusFunction(A=72500000000.0, b=0.6, E=36.9, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(14) = C5H7O(3),"SimpleRate(k=ArrheniusFunction(A=150300000000.0, b=0.221, E=35.099, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(5) = C5H7O(1),"SimpleRate(k=ArrheniusFunction(A=1.08454e+19, b=-0.859, E=36.691, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(15) = C5H7O(3),"SimpleRate(k=ArrheniusFunction(A=150300000000.0, b=0.221, E=21.313, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(9) = C5H7O(2),"SimpleRate(k=ArrheniusFunction(A=50999600000000.0, b=-0.125, E=30.065, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(11) = C5H7O(2),"SimpleRate(k=ArrheniusFunction(A=25499800000000.0, b=-0.125, E=35.044, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(10) = C5H7O(2),"SimpleRate(k=ArrheniusFunction(A=1.33004e+45, b=-9.376, E=42.981, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(6) = C5H7O(1),"SimpleRate(k=ArrheniusFunction(A=99000000000.0, b=0.06, E=24.355, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(16) = C5H7O(3),"SimpleRate(k=ArrheniusFunction(A=1.33004e+45, b=-9.376, E=44.611, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
O2(4) + C5H7O(3) = C5H7O3(19),"SimpleRate(k=ArrheniusFunction(A=14081700000000.0, b=-0.087, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
O2(4) + C5H7O(2) = C5H7O3(18),"SimpleRate(k=ArrheniusFunction(A=7574160000000.0, b=-0.129, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
O2(4) + C5H7O(1) = C5H7O3(17),"SimpleRate(k=ArrheniusFunction(A=7574160000000.0, b=-0.129, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + C5H6O(13) = C5H7O(2),"SimpleRate(k=ArrheniusFunction(A=17784000000.0, b=1.073, E=2.175, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(14) = C5H7O(25),"SimpleRate(k=ArrheniusFunction(A=4638464000.0, b=0.824, E=26.37, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(14) = C5H7O(25),"SimpleRate(k=ArrheniusFunction(A=16098450000.0, b=0.8, E=32.5, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(14) = C5H7O(25),"SimpleRate(k=ArrheniusFunction(A=4638464000.0, b=0.824, E=26.37, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
