eq,rate
C5H7O3(84) = HO(82) + C5H6O2(83),"SimpleRate(k=ArrheniusFunction(A=6805174.0, b=1.804, E=28.039, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O3(87) = HO(82) + C5H6O2(83),"SimpleRate(k=ArrheniusFunction(A=34423870.0, b=1.511, E=39.3, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(119) = HO(82) + S(118),"SimpleRate(k=ArrheniusFunction(A=136000000.0, b=1.39, E=24.7, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(120) = HO(82) + S(580),"SimpleRate(k=ArrheniusFunction(A=17503140.0, b=1.49, E=26.44, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(1285) = HO(82) + S(780),"SimpleRate(k=ArrheniusFunction(A=136000000.0, b=1.39, E=24.7, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(134) = HO(82) + S(132),"SimpleRate(k=ArrheniusFunction(A=19000000000.0, b=0.87, E=34.5, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(1812) = HO(82) + S(392),"SimpleRate(k=ArrheniusFunction(A=803428900.0, b=1.363, E=25.651, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(217) = HO(82) + S(1846),"SimpleRate(k=ArrheniusFunction(A=3365390000.0, b=0.841, E=7.733, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(393) = HO(82) + S(392),"SimpleRate(k=ArrheniusFunction(A=20000000000.0, b=0.0, E=100.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(574) = HO(82) + S(569),"SimpleRate(k=ArrheniusFunction(A=12912600000.0, b=0.61, E=26.861, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(577) = HO(82) + S(569),"SimpleRate(k=ArrheniusFunction(A=38000000000.0, b=0.87, E=34.5, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(577) = HO(82) + S(580),"SimpleRate(k=ArrheniusFunction(A=3797722000.0, b=0.97, E=36.075, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(937) = HO(82) + S(934),"SimpleRate(k=ArrheniusFunction(A=34423870.0, b=1.511, E=39.3, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(938) = HO(82) + S(934),"SimpleRate(k=ArrheniusFunction(A=367000.0, b=2.24, E=34.5, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
