name,mult,charge,chi,smi
N2,1,0,InChI=1S/N2/c1-2,N#N
Ar,1,0,InChI=1S/Ar,[Ar]
He,1,0,InChI=1S/He,[He]
Ne,1,0,InChI=1S/Ne,[Ne]
C5H7O(1),2,0,"InChI=1S/C5H7O/c1-2-5-3-4(1)6-5/h3-5H,1-2H2",O1C2[CH]C1CC2
C5H7O(2),2,0,"InChI=1S/C5H7O/c1-2-5-3-4(1)6-5/h1,4-5H,2-3H2",O1C2C[CH]C1C2
C5H7O(3),2,0,"InChI=1S/C5H7O/c1-2-5-3-4(1)6-5/h4H,1-3H2",O1C2CC[C]1C2
O2(4),3,0,InChI=1S/O2/c1-2,O=O
C5H7O(14),2,0,"InChI=1S/C5H7O/c6-5-3-1-2-4-5/h1H,2-4H2",O=C1C[CH]CC1
C5H7O(5),2,0,"InChI=1S/C5H7O/c6-5-3-1-2-4-5/h1,3,5H,2,4H2",[O]C1CCC=C1
C5H7O(15),2,0,"InChI=1S/C5H7O/c1-5-3-2-4-6-5/h4H,1-3H2",C=C1O[CH]CC1
C5H7O(9),2,0,"InChI=1S/C5H7O/c6-5-3-1-2-4-5/h1-2,5H,3-4H2",[O]C1CC=CC1
C5H7O(11),2,0,"InChI=1S/C5H7O/c1-5-3-2-4-6-5/h2,4-5H,1,3H2",[CH2]C1CC=CO1
C5H7O(10),2,0,"InChI=1S/C5H7O/c1-2-5-3-4-6-5/h2,4-5H,1,3H2",C=CC1C[CH]O1
C5H7O(6),2,0,"InChI=1S/C5H7O/c1-2-5-3-4-6-5/h3-5H,1-2H2",[CH2]CC1OC=C1
C5H7O(16),2,0,"InChI=1S/C5H7O/c1-4-3-5(2)6-4/h4H,1-3H2",[CH2]C1CC(O1)=C
C5H7O3(19),2,0,"InChI=1S/C5H7O3/c6-8-5-2-1-4(3-5)7-5/h4H,1-3H2",[O]OC12OC(C1)CC2
C5H7O3(18),2,0,"InChI=1S/C5H7O3/c6-8-5-2-3-1-4(5)7-3/h3-5H,1-2H2",[O]OC1C2OC(C1)C2
C5H7O3(17),2,0,"InChI=1S/C5H7O3/c6-8-5-3-1-2-4(5)7-3/h3-5H,1-2H2",[O]OC1C2OC1CC2
H(8),2,0,InChI=1S/H,[H]
C5H6O(13),1,0,"InChI=1S/C5H6O/c1-2-5-3-4(1)6-5/h1-2,4-5H,3H2",O1C2C=CC1C2
C5H7O(25),2,0,"InChI=1S/C5H7O/c6-5-3-1-2-4-5/h3H,1-2,4H2",O=C1CCC[CH]1
C5H7O3(26),2,0,"InChI=1S/C5H7O3/c6-4-1-2-5(3-4)8-7/h5H,1-3H2",O=C1CCC(O[O])C1
C5H7O(27),2,0,"InChI=1S/C5H7O/c1-2-4-5(3-1)6-4/h2,4-5H,1,3H2",O1C2C1[CH]CC2
C5H7O3(43),2,0,"InChI=1S/C5H7O3/c1-4-2-3-5(7-4)8-6/h5H,1-3H2",[O]OC1CCC(O1)=C
C5H7O(52),2,0,"InChI=1S/C5H7O/c1-5-3-2-4-6-5/h2-5H,1H3",CC1O[CH]C=C1
C5H7O3(55),2,0,"InChI=1S/C5H7O3/c6-8-4-5-2-1-3-7-5/h1,3,5H,2,4H2",[O]OCC1OC=CC1
C5H7O3(62),2,0,"InChI=1S/C5H7O3/c1-2-4-3-5(7-4)8-6/h2,4-5H,1,3H2",[O]OC1CC(O1)C=C
C5H7O(33),2,0,"InChI=1S/C5H7O/c6-5-3-1-2-4-5/h1-3,5-6H,4H2",OC1CC=C[CH]1
C5H7O(63),2,0,"InChI=1S/C5H7O/c1-2-5-4(1)3-6-5/h3-5H,1-2H2",O1[CH]C2C1CC2
C5H7O3(76),2,0,"InChI=1S/C5H7O3/c1-4-2-5(8-4)3-7-6/h5H,1-3H2",[O]OCC1OC(=C)C1
C5H7O(41),2,0,"InChI=1S/C5H7O/c1-5-3-2-4-6-5/h3H,1-2,4H2",[CH2]C1=CCCO1
C5H7O(48),2,0,"InChI=1S/C5H7O/c1-4-2-5(1)6-3-4/h3-5H,1-2H2",O1[CH]C2CC1C2
C5H7O3(87),2,0,"InChI=1S/C5H7O3/c6-8-5-2-3-1-4(5)7-3/h4-6H,1-2H2",OOC1C2O[C](C1)C2
C5H7O(51),2,0,"InChI=1S/C5H7O/c1-5-3-2-4-6-5/h2,4H,3H2,1H3",C[C]1OC=CC1
C5H7O3(89),2,0,"InChI=1S/C5H7O3/c6-8-5-3-1-2-4(5)7-3/h3,5-6H,1-2H2",OOC1C2O[C]1CC2
C5H7O(31),2,0,"InChI=1S/C5H7O/c6-5-3-1-2-4-5/h1,3-6H,2H2",OC1C=CC[CH]1
C5H7O3(70),2,0,"InChI=1S/C5H7O3/c6-8-4-2-5-1-3-7-5/h1,3,5H,2,4H2",[O]OCCC1OC=C1
C5H7O(45),2,0,"InChI=1S/C5H7O/c6-5-3-1-2-4-5/h1-2,6H,3-4H2",O[C]1CC=CC1
C5H7O(38),2,0,"InChI=1S/C5H7O/c1-5-3-2-4(5)6-5/h4H,1-3H2",[CH2]C12C(CC1)O2
C5H7O(30),2,0,"InChI=1S/C5H7O/c6-5-3-1-2-4-5/h1,3,6H,2,4H2",O[C]1C=CCC1
C5H7O(59),2,0,"InChI=1S/C5H7O/c1-2-5-3-4-6-5/h2H,1,3-4H2",[CH2]C=C1OCC1
