eq,chi,obj
C#C(69) + C2H3O(571) = S(1353),"AMChI=1/C4H5O/c1-2-4(3)5/h1-2H,3H3/k4-2/r1","atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  0-2: {order: 1, stereo_parity: null}
  1-3: {order: 1, stereo_parity: null}
  1-5: {order: 0.1, stereo_parity: null}
  4-5: {order: 1, stereo_parity: null}
  4-7: {order: 1, stereo_parity: null}
  4-8: {order: 1, stereo_parity: null}
  4-9: {order: 1, stereo_parity: null}
  5-6: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1, 2, 3]
- [4, 5, 6, 7, 8, 9]
products keys:
- [0, 4, 1, 5, 6, 2, 8, 9, 7, 3]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
"
C#C(69) + C2H5(112) = C4H7(1166),"AMChI=1/C4H7/c1-2-3-4/h1-2H,3H2,4H3/k3-2/r1","atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  0-2: {order: 1, stereo_parity: null}
  1-3: {order: 1, stereo_parity: null}
  1-4: {order: 0.1, stereo_parity: null}
  4-5: {order: 1, stereo_parity: null}
  4-6: {order: 1, stereo_parity: null}
  4-7: {order: 1, stereo_parity: null}
  5-8: {order: 1, stereo_parity: null}
  5-9: {order: 1, stereo_parity: null}
  5-10: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1, 2, 3]
- [4, 5, 6, 7, 8, 9, 10]
products keys:
- [0, 5, 1, 4, 2, 8, 9, 10, 3, 6, 7]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
"
C#C(69) + C3H5(279) = C5H7(496),"AMChI=1/C5H7/c1-2-5(3)4/h1-2H,3H2,4H3/k5-2/r1","atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  0-2: {order: 1, stereo_parity: null}
  1-3: {order: 1, stereo_parity: null}
  1-6: {order: 0.1, stereo_parity: null}
  4-6: {order: 1, stereo_parity: null}
  4-7: {order: 1, stereo_parity: null}
  4-8: {order: 1, stereo_parity: null}
  5-6: {order: 1, stereo_parity: null}
  5-9: {order: 1, stereo_parity: null}
  5-10: {order: 1, stereo_parity: null}
  5-11: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1, 2, 3]
- [4, 5, 6, 7, 8, 9, 10, 11]
products keys:
- [0, 4, 5, 1, 6, 2, 7, 8, 9, 10, 11, 3]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
"
C#C(69) + C3H5(70) = C5H7(14),"AMChI=1/C5H7/c1-2-4-5-3/h1-2,5H,3-4H2/k4-2/r1","atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  0-2: {order: 1, stereo_parity: null}
  1-3: {order: 1, stereo_parity: null}
  1-4: {order: 0.1, stereo_parity: null}
  4-6: {order: 1, stereo_parity: null}
  4-7: {order: 1, stereo_parity: null}
  4-8: {order: 1, stereo_parity: null}
  5-6: {order: 1, stereo_parity: null}
  5-9: {order: 1, stereo_parity: null}
  5-10: {order: 1, stereo_parity: null}
  6-11: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1, 2, 3]
- [4, 5, 6, 7, 8, 9, 10, 11]
products keys:
- [0, 5, 1, 6, 4, 2, 9, 10, 3, 11, 8, 7]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
"
C#C(69) + C3H5O(193) = C5H7O(199),"AMChI=1/C5H7O/c1-2-3-4-5-6/h1-2,4-6H,3H2/k3-2/r1","atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  0-2: {order: 1, stereo_parity: null}
  1-3: {order: 1, stereo_parity: null}
  1-4: {order: 0.1, stereo_parity: null}
  4-5: {order: 1, stereo_parity: null}
  4-8: {order: 1, stereo_parity: null}
  4-9: {order: 1, stereo_parity: null}
  5-6: {order: 1, stereo_parity: null}
  5-10: {order: 1, stereo_parity: null}
  6-7: {order: 1, stereo_parity: null}
  6-11: {order: 1, stereo_parity: null}
  7-12: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1, 2, 3]
- [4, 5, 6, 7, 8, 9, 10, 11, 12]
products keys:
- [0, 1, 4, 5, 6, 7, 2, 3, 8, 9, 10, 11, 12]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
"
C#C(69) + C3H5O(193) = C5H7O(210),"AMChI=1/C5H7O/c1-2-5(6)4-3/h1-2,4-6H,3H2/k5-2/r1","atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  0-2: {order: 1, stereo_parity: null}
  0-6: {order: 0.1, stereo_parity: null}
  1-3: {order: 1, stereo_parity: null}
  4-5: {order: 1, stereo_parity: null}
  4-8: {order: 1, stereo_parity: null}
  4-9: {order: 1, stereo_parity: null}
  5-6: {order: 1, stereo_parity: null}
  5-10: {order: 1, stereo_parity: null}
  6-7: {order: 1, stereo_parity: null}
  6-11: {order: 1, stereo_parity: null}
  7-12: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1, 2, 3]
- [4, 5, 6, 7, 8, 9, 10, 11, 12]
products keys:
- [1, 4, 0, 5, 6, 7, 3, 8, 9, 2, 10, 11, 12]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
"
C#C(69) + C3H5O(217) = C5H7O(220),"AMChI=1/C5H7O/c1-2-3-4-5-6/h1-4,6H,5H2/k3-2/r1","atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  0-2: {order: 1, stereo_parity: null}
  1-3: {order: 1, stereo_parity: null}
  1-4: {order: 0.1, stereo_parity: null}
  4-5: {order: 1, stereo_parity: null}
  4-8: {order: 1, stereo_parity: null}
  5-6: {order: 1, stereo_parity: null}
  5-9: {order: 1, stereo_parity: null}
  6-7: {order: 1, stereo_parity: null}
  6-10: {order: 1, stereo_parity: null}
  6-11: {order: 1, stereo_parity: null}
  7-12: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1, 2, 3]
- [4, 5, 6, 7, 8, 9, 10, 11, 12]
products keys:
- [0, 1, 4, 5, 6, 7, 2, 3, 8, 9, 10, 11, 12]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
"
C#C(69) + C3H5O(280) = S(1889),"AMChI=1/C5H7O/c1-2-4-5(3)6/h1-2,6H,3-4H2/k4-2/r1","atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  0-2: {order: 1, stereo_parity: null}
  1-3: {order: 1, stereo_parity: null}
  1-4: {order: 0.1, stereo_parity: null}
  4-6: {order: 1, stereo_parity: null}
  4-8: {order: 1, stereo_parity: null}
  4-9: {order: 1, stereo_parity: null}
  5-6: {order: 1, stereo_parity: null}
  5-10: {order: 1, stereo_parity: null}
  5-11: {order: 1, stereo_parity: null}
  6-7: {order: 1, stereo_parity: null}
  7-12: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1, 2, 3]
- [4, 5, 6, 7, 8, 9, 10, 11, 12]
products keys:
- [0, 5, 1, 4, 6, 7, 2, 10, 11, 3, 8, 9, 12]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
"
C#C(69) + C3H5O(340) = C5H7O(616),"AMChI=1/C5H7O/c1-2-3-5-4-6/h1-2,4H,3,5H2/k3-2/r1","atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  0-2: {order: 1, stereo_parity: null}
  1-3: {order: 1, stereo_parity: null}
  1-4: {order: 0.1, stereo_parity: null}
  4-5: {order: 1, stereo_parity: null}
  4-8: {order: 1, stereo_parity: null}
  4-9: {order: 1, stereo_parity: null}
  5-6: {order: 1, stereo_parity: null}
  5-10: {order: 1, stereo_parity: null}
  5-11: {order: 1, stereo_parity: null}
  6-7: {order: 1, stereo_parity: null}
  6-12: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1, 2, 3]
- [4, 5, 6, 7, 8, 9, 10, 11, 12]
products keys:
- [0, 1, 4, 5, 6, 7, 2, 3, 8, 9, 10, 11, 12]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
"
C#C(69) + S(1139) = S(1535),"AMChI=1/C5H7O/c1-2-4(6)5-3/h1-2H,5H2,3H3/k4-2/r1","atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  0-2: {order: 1, stereo_parity: null}
  0-6: {order: 0.1, stereo_parity: null}
  1-3: {order: 1, stereo_parity: null}
  4-5: {order: 1, stereo_parity: null}
  4-8: {order: 1, stereo_parity: null}
  4-9: {order: 1, stereo_parity: null}
  4-10: {order: 1, stereo_parity: null}
  5-6: {order: 1, stereo_parity: null}
  5-11: {order: 1, stereo_parity: null}
  5-12: {order: 1, stereo_parity: null}
  6-7: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1, 2, 3]
- [4, 5, 6, 7, 8, 9, 10, 11, 12]
products keys:
- [1, 4, 0, 5, 6, 7, 3, 8, 9, 10, 2, 11, 12]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
"
