eq,rate
C5H7(1) = C5H7(2),"SimpleRate(k=ArrheniusFunction(A=190540000000.0, b=0.853, E=47.848, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7(1) = C5H7(3),"SimpleRate(k=ArrheniusFunction(A=3320000000.0, b=0.99, E=33.8, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7(1) = C5H7(2),"SimpleRate(k=ArrheniusFunction(A=11820000000.0, b=0.86, E=35.7, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7(2) = C5H7(3),"SimpleRate(k=ArrheniusFunction(A=112400000.0, b=1.72, E=44.3, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7(1) = C5H7(2),"SimpleRate(k=ArrheniusFunction(A=190540000000.0, b=0.853, E=47.848, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7(1) = C5H7(2),"SimpleRate(k=ArrheniusFunction(A=190540000000.0, b=0.853, E=47.848, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
O2(4) + C5H7(2) = C5H7O2(16),"SimpleRate(k=ArrheniusFunction(A=14255240000000.0, b=-0.054, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
O2(4) + C5H7(3) = C5H7O2(17),"SimpleRate(k=ArrheniusFunction(A=7127620000000.0, b=-0.054, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
O2(4) + C5H7(1) = C5H7O2(15),"SimpleRate(k=ArrheniusFunction(A=7127620000000.0, b=-0.054, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7(6) = C5H7(1),"SimpleRate(k=ArrheniusFunction(A=3026730.0, b=1.409, E=15.695, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + C5H6(12) = C5H7(2),"SimpleRate(k=ArrheniusFunction(A=3300000000.0, b=1.48, E=0.9, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7(3) = H(8) + C5H6(12),"SimpleRate(k=ArrheniusFunction(A=4190000000.0, b=1.37, E=31.9, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7(3) = C5H7(13),"SimpleRate(k=ArrheniusFunction(A=2.16908e+19, b=-0.859, E=46.264, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7(11) = C5H7(2),"SimpleRate(k=ArrheniusFunction(A=102676000000.0, b=0.557, E=37.541, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7(14) = C5H7(3),"SimpleRate(k=ArrheniusFunction(A=1290000000.0, b=0.62, E=9.1, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7(14) = C5H7(11),"SimpleRate(k=ArrheniusFunction(A=18460000000.0, b=0.74, E=34.7, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O2(15) = C5H7O2(30),"SimpleRate(k=ArrheniusFunction(A=239100000000.0, b=0.287, E=20.709, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O2(15) = C5H7O2(31),"SimpleRate(k=ArrheniusFunction(A=3365390000.0, b=0.841, E=16.936, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O2(16) = HO(21) + C5H6O(22),"SimpleRate(k=ArrheniusFunction(A=2.301204e-19, b=9.037, E=15.53, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O2(15) = HO(21) + C5H6O(22),"SimpleRate(k=ArrheniusFunction(A=1195993000.0, b=0.63, E=12.16, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
