eq,rate
C2H3(194) + S(576) = HO(21) + S(1233),"SimpleRate(k=ArrheniusFunction(A=19775.14, b=2.41, E=0.233, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C2H5(112) + S(1947) = HO(21) + S(2565),"SimpleRate(k=ArrheniusFunction(A=417.2208, b=2.667, E=4.788, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O2(34) = HO(21) + C5H6O(364),"SimpleRate(k=ArrheniusFunction(A=150300000000.0, b=0.221, E=2.123, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
CH3(114) + S(2870) = HO(21) + S(1988),"SimpleRate(k=ArrheniusFunction(A=15673.41, b=2.41, E=5.995, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
CH3(114) + S(576) = HO(21) + S(1066),"SimpleRate(k=ArrheniusFunction(A=41670.0, b=2.299, E=6.83, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + C5H8O2(46) = HO(21) + C5H8O(309),"SimpleRate(k=ArrheniusFunction(A=949092400.0, b=1.344, E=2.245, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + S(1927) = HO(21) + S(1924),"SimpleRate(k=ArrheniusFunction(A=237912000.0, b=1.614, E=0.486, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + S(1947) = HO(21) + S(2450),"SimpleRate(k=ArrheniusFunction(A=3942139000.0, b=1.258, E=1.214, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + S(2349) = HO(21) + S(1739),"SimpleRate(k=ArrheniusFunction(A=19201310.0, b=1.871, E=1.544, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + S(258) = HO(21) + C3H4O(267),"SimpleRate(k=ArrheniusFunction(A=2241288000.0, b=1.862, E=2.781, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + S(2870) = HO(21) + S(1233),"SimpleRate(k=ArrheniusFunction(A=19201310.0, b=1.871, E=1.544, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + S(576) = HO(21) + C2H4O(573),"SimpleRate(k=ArrheniusFunction(A=6670000000000.0, b=0.1, E=1.544, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(138) = HO(21) + C5H6O(136),"SimpleRate(k=ArrheniusFunction(A=2154272000.0, b=1.068, E=47.277, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(138) = HO(21) + C5H6O(325),"SimpleRate(k=ArrheniusFunction(A=272000.0, b=1.92, E=7.897, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(161) = HO(21) + C5H8O(309),"SimpleRate(k=ArrheniusFunction(A=136000000.0, b=1.39, E=24.7, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(1752) = HO(21) + S(1233),"SimpleRate(k=ArrheniusFunction(A=22826280000.0, b=0.906, E=40.135, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(1880) = HO(21) + S(1233),"SimpleRate(k=ArrheniusFunction(A=74200.0, b=2.23, E=10.59, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(2252) = HO(21) + S(2720),"SimpleRate(k=ArrheniusFunction(A=71554180.0, b=1.0, E=64.05, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(2252) = HO(21) + S(2781),"SimpleRate(k=ArrheniusFunction(A=105000000.0, b=1.192, E=3.641, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(247) = HO(21) + C5H8O(309),"SimpleRate(k=ArrheniusFunction(A=367000.0, b=2.24, E=34.5, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(266) = HO(21) + S(1288),"SimpleRate(k=ArrheniusFunction(A=123100000000.0, b=0.765, E=55.941, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(4016) = HO(21) + S(1066),"SimpleRate(k=ArrheniusFunction(A=41798.32, b=2.346, E=31.644, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(576) + C3H3(38) = HO(21) + C5H6O(136),"SimpleRate(k=ArrheniusFunction(A=12994.62, b=2.41, E=7.722, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(576) + C3H3(38) = HO(21) + C5H6O(325),"SimpleRate(k=ArrheniusFunction(A=83.35275, b=2.78, E=10.318, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(576) + C3H5(284) = HO(21) + S(1739),"SimpleRate(k=ArrheniusFunction(A=19775.14, b=2.41, E=0.233, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(576) + C3H5(70) = HO(21) + C5H8O(837),"SimpleRate(k=ArrheniusFunction(A=14913.13, b=2.51, E=10.029, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
