name,mult,charge,chi,smi
N2,1,0,InChI=1S/N2/c1-2,N#N
Ar,1,0,InChI=1S/Ar,[Ar]
He,1,0,InChI=1S/He,[He]
Ne,1,0,InChI=1S/Ne,[Ne]
C5H7(1),2,0,"InChI=1S/C5H7/c1-2-4-5-3-1/h1H,2,4-5H2",C1CC=[C]C1
C5H7(2),2,0,"InChI=1S/C5H7/c1-2-4-5-3-1/h1-3H,4-5H2",C1C=C[CH]C1
C5H7(3),2,0,"InChI=1S/C5H7/c1-2-4-5-3-1/h1-2,5H,3-4H2",C1C=CC[CH]1
O2(4),3,0,InChI=1S/O2/c1-2,O=O
C5H7O2(16),2,0,"InChI=1S/C5H7O2/c6-7-5-3-1-2-4-5/h1,3,5H,2,4H2",[O]OC1CCC=C1
C5H7O2(17),2,0,"InChI=1S/C5H7O2/c6-7-5-3-1-2-4-5/h1-2,5H,3-4H2",[O]OC1CC=CC1
C5H7O2(15),2,0,"InChI=1S/C5H7O2/c6-7-5-3-1-2-4-5/h3H,1-2,4H2",[O]OC=1CCCC=1
C5H7(6),2,0,"InChI=1S/C5H7/c1-3-5-4-2/h1H,2,4-5H2",[CH2]CCC#C
H(8),2,0,InChI=1S/H,[H]
C5H6(12),1,0,"InChI=1S/C5H6/c1-2-4-5-3-1/h1-4H,5H2",C1C=CC=C1
C5H7(13),2,0,"InChI=1S/C5H7/c1-2-5-3-4(1)5/h1,4-5H,2-3H2",C12C[CH]C2C1
C5H7(11),2,0,"InChI=1S/C5H7/c1-3-5-4-2/h3-5H,1-2H2",C=C[CH]C=C
C5H7(14),2,0,"InChI=1S/C5H7/c1-3-5-4-2/h1,3-4H,2,5H2",C=CCC=[CH]
C5H7O2(30),2,0,"InChI=1S/C5H7O2/c1-2-4-5(3-1)7-6-4/h4H,1-3H2",O1O[C]2C1CCC2
C5H7O2(31),2,0,"InChI=1S/C5H7O2/c1-2-4-5(3-1)6-7-5/h3H,1-2,4H2",O1OC12CCC[CH]2
HO(21),2,0,InChI=1S/HO/h1H,[OH]
C5H6O(22),1,0,"InChI=1S/C5H6O/c6-5-3-1-2-4-5/h1,3H,2,4H2",O=C1C=CCC1
C5H7(35),2,0,"InChI=1S/C5H7/c1-5-3-2-4-5/h1H,2-4H2",[CH]=C1CCC1
C#CCCC(47),1,0,"InChI=1S/C5H8/c1-3-5-4-2/h1H,4-5H2,2H3",CCCC#C
HO2(18),2,0,InChI=1S/HO2/c1-2/h1H,O[O]
C5H7O2(66),2,0,"InChI=1S/C5H7O2/c1-3-5(4-2)7-6/h3-5H,1-2H2",[O]OC(C=C)C=C
C5H7O2(42),2,0,"InChI=1S/C5H7O2/c1-2-3-4-5-7-6/h1H,3-5H2",[O]OCCCC#C
C5H7(53),2,0,"InChI=1S/C5H7/c1-5-3-2-4-5/h2-3,5H,1,4H2",[CH2]C1CC=C1
C5H7O2(65),2,0,"InChI=1S/C5H7O2/c1-2-3-4-5-7-6/h2-4H,1,5H2",[O]OCC=CC=C
C5H8(43),1,0,"InChI=1S/C5H8/c1-2-4-5-3-1/h1-2H,3-5H2",C1CC=CC1
C5H9O(159),2,0,"InChI=1S/C5H9O/c6-5-3-1-2-4-5/h3,5-6H,1-2,4H2",OC1CCC[CH]1
C5H8O(148),1,0,"InChI=1S/C5H8O/c6-4-5-2-1-3-5/h1-2,5-6H,3-4H2",OCC1CC=C1
S(106),2,0,"InChI=1S/C5H7O2/c6-4-2-1-3-5(4)7/h2,4,6H,1,3H2",OC1C(=O)CC[CH]1
C5H8O(102),1,0,"InChI=1S/C5H8O/c1-2-3-4-5-6/h2,4-6H,1,3H2",OC=CCC=C
C5H8O(101),1,0,"InChI=1S/C5H8O/c1-3-5(6)4-2/h3-6H,1-2H2",OC(C=C)C=C
C5H8O(100),1,0,"InChI=1S/C5H8O/c1-2-3-4-5-6/h2-4,6H,1,5H2",OCC=CC=C
C5H8O(99),1,0,"InChI=1S/C5H8O/c6-5-2-3-1-4(3)5/h3-6H,1-2H2",OC1CC2C1C2
O(92),1,0,InChI=1S/H2O/h1H2,O
C5H8O(90),1,0,"InChI=1S/C5H8O/c6-5-3-1-2-4-5/h1-2,5-6H,3-4H2",OC1CC=CC1
C5H8O(89),1,0,"InChI=1S/C5H8O/c6-5-3-1-2-4-5/h1,3,5-6H,2,4H2",OC1CCC=C1
C5H8O(88),1,0,"InChI=1S/C5H8O/c6-5-3-1-2-4-5/h3,6H,1-2,4H2",OC1=CCCC1
C5H8O2(45),1,0,"InChI=1S/C5H8O2/c6-7-5-3-1-2-4-5/h1-2,5-6H,3-4H2",OOC1CC=CC1
C5H8O2(44),1,0,"InChI=1S/C5H8O2/c6-7-5-3-1-2-4-5/h1,3,5-6H,2,4H2",OOC1CCC=C1
C3H3(38),2,0,"InChI=1S/C3H3/c1-3-2/h1H,2H2",[CH2]C#C
C2H4(37),1,0,InChI=1S/C2H4/c1-2/h1-2H2,C=C
S(258),1,0,"InChI=1S/C3H4O2/c1-2-3-5-4/h3-4H,1H2",OOC=C=C
S(257),1,0,"InChI=1S/C3H4O2/c1-2-3-5-4/h1,4H,3H2",OOCC#C
C3H4O(256),1,0,"InChI=1S/C3H4O/c1-2-3-4/h3-4H,1H2",OC=C=C
C3H4(254),1,0,InChI=1S/C3H4/c1-3-2/h1-2H2,C=C=C
