name,mult,charge,chi,orig_name,orig_chi,orig_smi
N2,1,0,AMChI=1/N2/c1-2,N2,InChI=1S/N2/c1-2,N#N
Ar,1,0,AMChI=1/Ar,Ar,InChI=1S/Ar,[Ar]
He,1,0,AMChI=1/He,He,InChI=1S/He,[He]
Ne,1,0,AMChI=1/Ne,Ne,InChI=1S/Ne,[Ne]
C5H7(1),2,0,"AMChI=1/C5H7/c1-2-4-5-3-1/h2H,3-5H2",C5H7(1),"InChI=1S/C5H7/c1-2-4-5-3-1/h1H,2,4-5H2",C1CC=[C]C1
C5H7(2),2,0,"AMChI=1/C5H7/c1-2-4-5-3-1/h1-3H,4-5H2",C5H7(2),"InChI=1S/C5H7/c1-2-4-5-3-1/h1-3H,4-5H2",C1C=C[CH]C1
C5H7(3),2,0,"AMChI=1/C5H7/c1-2-5-3-4-1/h1-3H,4-5H2",C5H7(3),"InChI=1S/C5H7/c1-2-4-5-3-1/h1-2,5H,3-4H2",C1C=CC[CH]1
O2(4),3,0,AMChI=1/O2/c1-2,O2(4),InChI=1S/O2/c1-2,O=O
C5H7O2(16)r0,2,0,"AMChI=1/C5H7O2/c6-7-5-2-1-3-4-5/h1-2,5H,3-4H2/t5-/m0/s1",C5H7O2(16),"InChI=1S/C5H7O2/c6-7-5-3-1-2-4-5/h1,3,5H,2,4H2",[O]OC1CCC=C1
C5H7O2(16)r1,2,0,"AMChI=1/C5H7O2/c6-7-5-2-1-3-4-5/h1-2,5H,3-4H2/t5-/m1/s1",C5H7O2(16),"InChI=1S/C5H7O2/c6-7-5-3-1-2-4-5/h1,3,5H,2,4H2",[O]OC1CCC=C1
C5H7O2(17),2,0,"AMChI=1/C5H7O2/c6-7-5-3-1-2-4-5/h1-2,5H,3-4H2",C5H7O2(17),"InChI=1S/C5H7O2/c6-7-5-3-1-2-4-5/h1-2,5H,3-4H2",[O]OC1CC=CC1
C5H7O2(15),2,0,"AMChI=1/C5H7O2/c6-7-5-1-2-3-4-5/h1H,2-4H2",C5H7O2(15),"InChI=1S/C5H7O2/c6-7-5-3-1-2-4-5/h3H,1-2,4H2",[O]OC=1CCCC=1
C5H7(6),2,0,"AMChI=1/C5H7/c1-3-5-4-2/h1H,2,4-5H2",C5H7(6),"InChI=1S/C5H7/c1-3-5-4-2/h1H,2,4-5H2",[CH2]CCC#C
H(8),2,0,AMChI=1/H,H(8),InChI=1S/H,[H]
C5H6(12),1,0,"AMChI=1/C5H6/c1-2-4-5-3-1/h1-4H,5H2",C5H6(12),"InChI=1S/C5H6/c1-2-4-5-3-1/h1-4H,5H2",C1C=CC=C1
C5H7(13)rs0,2,0,"AMChI=1/C5H7/c1-2-5-3-4(1)5/h1,4-5H,2-3H2/t4-,5+/m0/s1",C5H7(13),"InChI=1S/C5H7/c1-2-5-3-4(1)5/h1,4-5H,2-3H2",C12C[CH]C2C1
C5H7(13)rs1,2,0,"AMChI=1/C5H7/c1-2-5-3-4(1)5/h1,4-5H,2-3H2/t4-,5+/m1/s1",C5H7(13),"InChI=1S/C5H7/c1-2-5-3-4(1)5/h1,4-5H,2-3H2",C12C[CH]C2C1
C5H7(11)zz,2,0,"AMChI=1/C5H7/c1-3-5-4-2/h3-5H,1-2H2/b5-3-,5-4-",C5H7(11),"InChI=1S/C5H7/c1-3-5-4-2/h3-5H,1-2H2",C=C[CH]C=C
C5H7(11)ze,2,0,"AMChI=1/C5H7/c1-3-5-4-2/h3-5H,1-2H2/b5-3-,5-4+",C5H7(11),"InChI=1S/C5H7/c1-3-5-4-2/h3-5H,1-2H2",C=C[CH]C=C
C5H7(11)ee,2,0,"AMChI=1/C5H7/c1-3-5-4-2/h3-5H,1-2H2/b5-3+,5-4+",C5H7(11),"InChI=1S/C5H7/c1-3-5-4-2/h3-5H,1-2H2",C=C[CH]C=C
C5H7(14)z,2,0,"AMChI=1/C5H7/c1-3-5-4-2/h1,3-4H,2,5H2/b3-1-",C5H7(14),"InChI=1S/C5H7/c1-3-5-4-2/h1,3-4H,2,5H2",C=CCC=[CH]
C5H7(14)e,2,0,"AMChI=1/C5H7/c1-3-5-4-2/h1,3-4H,2,5H2/b3-1+",C5H7(14),"InChI=1S/C5H7/c1-3-5-4-2/h1,3-4H,2,5H2",C=CCC=[CH]
C5H7O2(30)r0,2,0,"AMChI=1/C5H7O2/c1-2-4-5(3-1)7-6-4/h5H,1-3H2/t5-/m0/s1",C5H7O2(30),"InChI=1S/C5H7O2/c1-2-4-5(3-1)7-6-4/h4H,1-3H2",O1O[C]2C1CCC2
C5H7O2(30)r1,2,0,"AMChI=1/C5H7O2/c1-2-4-5(3-1)7-6-4/h5H,1-3H2/t5-/m1/s1",C5H7O2(30),"InChI=1S/C5H7O2/c1-2-4-5(3-1)7-6-4/h4H,1-3H2",O1O[C]2C1CCC2
C5H7O2(31),2,0,"AMChI=1/C5H7O2/c1-2-3-4-5(1)6-7-5/h1H,2-4H2",C5H7O2(31),"InChI=1S/C5H7O2/c1-2-4-5(3-1)6-7-5/h3H,1-2,4H2",O1OC12CCC[CH]2
HO(21),2,0,AMChI=1/HO/h1H,HO(21),InChI=1S/HO/h1H,[OH]
C5H6O(22),1,0,"AMChI=1/C5H6O/c6-5-2-1-3-4-5/h1-2H,3-4H2",C5H6O(22),"InChI=1S/C5H6O/c6-5-3-1-2-4-5/h1,3H,2,4H2",O=C1C=CCC1
C5H7(35),2,0,"AMChI=1/C5H7/c1-5-3-2-4-5/h1H,2-4H2",C5H7(35),"InChI=1S/C5H7/c1-5-3-2-4-5/h1H,2-4H2",[CH]=C1CCC1
C#CCCC(47),1,0,"AMChI=1/C5H8/c1-3-5-4-2/h1H,4-5H2,2H3",C#CCCC(47),"InChI=1S/C5H8/c1-3-5-4-2/h1H,4-5H2,2H3",CCCC#C
HO2(18),2,0,AMChI=1/HO2/c1-2/h2H,HO2(18),InChI=1S/HO2/c1-2/h1H,O[O]
C5H7O2(66),2,0,"AMChI=1/C5H7O2/c1-3-5(4-2)7-6/h3-5H,1-2H2",C5H7O2(66),"InChI=1S/C5H7O2/c1-3-5(4-2)7-6/h3-5H,1-2H2",[O]OC(C=C)C=C
C5H7O2(42),2,0,"AMChI=1/C5H7O2/c1-2-3-4-5-7-6/h1H,3-5H2",C5H7O2(42),"InChI=1S/C5H7O2/c1-2-3-4-5-7-6/h1H,3-5H2",[O]OCCCC#C
